00007ff8400abe30 (__DATA,__data) non-external _C
00007ff8400b8a78 (__DATA,__bss) non-external _EMSG
00007ff8400b8a79 (__DATA,__bss) non-external _EMSG
00007ff8400add98 (__DATA,__bss) non-external _NXArgc_pointer
00007ff8400add90 (__DATA,__bss) non-external _NXArgv_pointer
00007ff800b76c98 (__TEXT,__text) non-external (was a private external) __BIG5_init
00007ff800b76ccf (__TEXT,__text) non-external __BIG5_mbrtowc
00007ff800b76dcd (__TEXT,__text) non-external __BIG5_mbsinit
00007ff800b76d90 (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00007ff8400780c0 (__DATA_CONST,__const) non-external __C_messages_locale
00007ff8400780e0 (__DATA_CONST,__const) non-external __C_monetary_locale
00007ff840078188 (__DATA_CONST,__const) non-external __C_numeric_locale
00007ff840078390 (__DATA_CONST,__const) non-external __C_time_locale
00007ff8400ac6c0 (__DATA,__data) external __CurrentRuneLocale
00007ff8400acf08 (__DATA,__constrw) external __DefaultRuneLocale
00007ff8400adb90 (__DATA,__constrw) non-external (was a private external) __DefaultRuneXLocale
00007ff800b791cb (__TEXT,__text) non-external (was a private external) __EUC_CN_init
00007ff800b79231 (__TEXT,__text) non-external __EUC_CN_mbrtowc
00007ff800b79277 (__TEXT,__text) non-external __EUC_CN_mbsnrtowcs
00007ff800b79255 (__TEXT,__text) non-external __EUC_CN_wcrtomb
00007ff800b79281 (__TEXT,__text) non-external __EUC_CN_wcsnrtombs
00007ff800b79366 (__TEXT,__text) non-external (was a private external) __EUC_JP_init
00007ff800b793cc (__TEXT,__text) non-external __EUC_JP_mbrtowc
00007ff800b79421 (__TEXT,__text) non-external __EUC_JP_mbsnrtowcs
00007ff800b793f6 (__TEXT,__text) non-external __EUC_JP_wcrtomb
00007ff800b7942b (__TEXT,__text) non-external __EUC_JP_wcsnrtombs
00007ff800b792a6 (__TEXT,__text) non-external (was a private external) __EUC_KR_init
00007ff800b7930c (__TEXT,__text) non-external __EUC_KR_mbrtowc
00007ff800b79352 (__TEXT,__text) non-external __EUC_KR_mbsnrtowcs
00007ff800b79330 (__TEXT,__text) non-external __EUC_KR_wcrtomb
00007ff800b7935c (__TEXT,__text) non-external __EUC_KR_wcsnrtombs
00007ff800b7949b (__TEXT,__text) non-external (was a private external) __EUC_TW_init
00007ff800b79501 (__TEXT,__text) non-external __EUC_TW_mbrtowc
00007ff800b79553 (__TEXT,__text) non-external __EUC_TW_mbsnrtowcs
00007ff800b7952b (__TEXT,__text) non-external __EUC_TW_wcrtomb
00007ff800b7955d (__TEXT,__text) non-external __EUC_TW_wcsnrtombs
00007ff800b79435 (__TEXT,__text) non-external (was a private external) __EUC_init
00007ff800b79567 (__TEXT,__text) non-external __EUC_mbrtowc_impl
00007ff800b7928b (__TEXT,__text) non-external __EUC_mbsinit
00007ff800b79699 (__TEXT,__text) non-external __EUC_wcrtomb_impl
00007ff800ba0eb1 (__TEXT,__text) external __Exit
00007ff800b7985e (__TEXT,__text) non-external (was a private external) __GB18030_init
00007ff800b79895 (__TEXT,__text) non-external __GB18030_mbrtowc
00007ff800b79aed (__TEXT,__text) non-external __GB18030_mbsinit
00007ff800b799e4 (__TEXT,__text) non-external __GB18030_wcrtomb
00007ff800b79b07 (__TEXT,__text) non-external (was a private external) __GB2312_init
00007ff800b79b3e (__TEXT,__text) non-external __GB2312_mbrtowc
00007ff800b79c7d (__TEXT,__text) non-external __GB2312_mbsinit
00007ff800b79c40 (__TEXT,__text) non-external __GB2312_wcrtomb
00007ff800b79c97 (__TEXT,__text) non-external (was a private external) __GBK_init
00007ff800b79cce (__TEXT,__text) non-external __GBK_mbrtowc
00007ff800b79dcc (__TEXT,__text) non-external __GBK_mbsinit
00007ff800b79d8f (__TEXT,__text) non-external __GBK_wcrtomb
00007ff800b7b399 (__TEXT,__text) non-external (was a private external) __MSKanji_init
00007ff800b7b3d0 (__TEXT,__text) non-external __MSKanji_mbrtowc
00007ff800b7b619 (__TEXT,__text) non-external __MSKanji_mbsinit
00007ff800b7b4ac (__TEXT,__text) non-external __MSKanji_wcrtomb
00007ff800b5f43f (__TEXT,__text) external __NSGetArgc
00007ff800b5f432 (__TEXT,__text) external __NSGetArgv
00007ff800b5f44c (__TEXT,__text) external __NSGetEnviron
00007ff800b5f466 (__TEXT,__text) external __NSGetMachExecuteHeader
