0000000182cc7f88 (__DATA,__data) external _NDR_record
0000000180baec34 (__TEXT,__text) non-external __Xexception_raise
0000000180baeb1c (__TEXT,__text) non-external __Xexception_raise_state
0000000180bae9bc (__TEXT,__text) non-external __Xexception_raise_state_identity
0000000180b9693c (__TEXT,__text) external _____sigwait_nocancel
0000000180bc9058 (__TEXT,__const) external ____kernelVersionNumber
0000000180bc9020 (__TEXT,__const) external ____kernelVersionString
0000000180b96968 (__TEXT,__text) external ___abort_with_payload
0000000180b96994 (__TEXT,__text) external ___accept
0000000180b969c0 (__TEXT,__text) external ___accept_nocancel
0000000180b969ec (__TEXT,__text) external ___access_extended
0000000180b96a18 (__TEXT,__text) external ___aio_suspend_nocancel
0000000180b96a44 (__TEXT,__text) external ___bind
0000000180b96a70 (__TEXT,__text) external ___bsdthread_create
0000000180b96a9c (__TEXT,__text) external ___bsdthread_ctl
0000000180b96ac8 (__TEXT,__text) external ___bsdthread_register
0000000180b96af4 (__TEXT,__text) external ___bsdthread_terminate
0000000180badba8 (__TEXT,__text) external ___carbon_delete
0000000180b96b20 (__TEXT,__text) external ___channel_get_info
0000000180b96b4c (__TEXT,__text) external ___channel_get_opt
0000000180b96b78 (__TEXT,__text) external ___channel_open
0000000180b96ba4 (__TEXT,__text) external ___channel_set_opt
0000000180b96bd0 (__TEXT,__text) external ___channel_sync
0000000180b96bfc (__TEXT,__text) external ___chmod
0000000180b96c28 (__TEXT,__text) external ___chmod_extended
0000000180b96c54 (__TEXT,__text) external ___close_nocancel
0000000180b96c80 (__TEXT,__text) external ___coalition
0000000180b96cac (__TEXT,__text) external ___coalition_info
0000000180b96cd8 (__TEXT,__text) external ___coalition_ledger
0000000180b9ec74 (__TEXT,__text) external ___commpage_gettimeofday
0000000180b9ec7c (__TEXT,__text) non-external ___commpage_gettimeofday_internal
0000000180b96d04 (__TEXT,__text) external ___connect
0000000180b96d30 (__TEXT,__text) external ___connect_nocancel
0000000180b96d5c (__TEXT,__text) external ___copyfile
0000000180b96d88 (__TEXT,__text) external ___crossarch_trap
0000000180b96db4 (__TEXT,__text) external ___csrctl
0000000180ba5060 (__TEXT,__text) external ___darwin_check_fd_set_overflow
0000000180b96de0 (__TEXT,__text) external ___debug_syscall_reject
0000000180b96e0c (__TEXT,__text) external ___debug_syscall_reject_config
0000000180b96e38 (__TEXT,__text) external ___delete
0000000180b96e64 (__TEXT,__text) external ___disable_threadsignal
0000000180b9f414 (__TEXT,__text) external ___error
0000000180b96e90 (__TEXT,__text) external ___execve
0000000180b96ebc (__TEXT,__text) external ___exit
0000000180b96ee8 (__TEXT,__text) external ___fchmod
0000000180b96f14 (__TEXT,__text) external ___fchmod_extended
0000000180b96f40 (__TEXT,__text) external ___fcntl
0000000180b96f6c (__TEXT,__text) external ___fcntl_nocancel
0000000180b96f98 (__TEXT,__text) external ___fork
0000000180b96fe4 (__TEXT,__text) external ___fs_snapshot
0000000180b97010 (__TEXT,__text) external ___fstat64_extended
0000000180b9703c (__TEXT,__text) external ___fstat_extended
0000000180b97068 (__TEXT,__text) external ___fsync_nocancel
0000000180bab5f4 (__TEXT,__text) external ___get_remove_counter
0000000180b97094 (__TEXT,__text) external ___getattrlist
0000000180b970c0 (__TEXT,__text) external ___getdirentries64
0000000180b970ec (__TEXT,__text) external ___gethostuuid
0000000180b97118 (__TEXT,__text) external ___getlogin
0000000180b97144 (__TEXT,__text) external ___getpeername
0000000180b97170 (__TEXT,__text) external ___getpid
0000000180b971c0 (__TEXT,__text) external ___getrlimit
0000000180b971ec (__TEXT,__text) external ___getsgroups
0000000180b97218 (__TEXT,__text) external ___getsockname
0000000180b97244 (__TEXT,__text) external ___gettid
0000000180b9729c (__TEXT,__text) external ___gettimeofday
0000000180b97270 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
0000000180b972cc (__TEXT,__text) external ___getwgroups
0000000180b972f8 (__TEXT,__text) external ___guarded_open_dprotected_np
0000000180b97324 (__TEXT,__text) external ___guarded_open_np
0000000180b97350 (__TEXT,__text) external ___identitysvc
0000000180bab608 (__TEXT,__text) external ___inc_remove_counter
0000000180b9737c (__TEXT,__text) external ___initgroups
0000000180b973a8 (__TEXT,__text) external ___ioctl
0000000180b973d4 (__TEXT,__text) external ___iopolicysys
0000000180b97400 (__TEXT,__text) external ___kdebug_trace
0000000180b9742c (__TEXT,__text) external ___kdebug_trace64
0000000180b97458 (__TEXT,__text) external ___kdebug_trace_string
0000000180b97484 (__TEXT,__text) external ___kdebug_typefilter
0000000180bc90c8 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
0000000180bc9090 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
0000000180b974b0 (__TEXT,__text) external ___kill
0000000180b974dc (__TEXT,__text) external ___kqueue_workloop_ctl
0000000180b97508 (__TEXT,__text) external ___lchown
0000000180b9bbd0 (__TEXT,__text) external ___libkernel_init
0000000180b9bc84 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
0000000180b9bc80 (__TEXT,__text) external ___libkernel_init_late
0000000180b9ba08 (__TEXT,__text) external ___libkernel_platform_init
0000000180b9ba40 (__TEXT,__text) external ___libkernel_voucher_init
0000000180b97534 (__TEXT,__text) external ___listen
0000000180b97560 (__TEXT,__text) external ___log_data
0000000180b9758c (__TEXT,__text) external ___lseek
0000000180b975b8 (__TEXT,__text) external ___lstat64_extended
0000000180b975e4 (__TEXT,__text) external ___lstat_extended
0000000180b97610 (__TEXT,__text) external ___mac_execve
0000000180b9763c (__TEXT,__text) external ___mac_get_fd
0000000180b97668 (__TEXT,__text) external ___mac_get_file
0000000180b97694 (__TEXT,__text) external ___mac_get_link
0000000180b976c0 (__TEXT,__text) external ___mac_get_mount
0000000180b976ec (__TEXT,__text) external ___mac_get_pid
0000000180b97718 (__TEXT,__text) external ___mac_get_proc
0000000180b97744 (__TEXT,__text) external ___mac_getfsstat
0000000180b97770 (__TEXT,__text) external ___mac_mount
0000000180b9779c (__TEXT,__text) external ___mac_set_fd
0000000180b977c8 (__TEXT,__text) external ___mac_set_file
0000000180b977f4 (__TEXT,__text) external ___mac_set_link
0000000180b97820 (__TEXT,__text) external ___mac_set_proc
0000000180b9784c (__TEXT,__text) external ___mac_syscall
0000000180b97878 (__TEXT,__text) external ___mach_bridge_remote_time
0000000180b978a4 (__TEXT,__text) external ___mach_eventlink_signal
0000000180b978d0 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
0000000180b978fc (__TEXT,__text) external ___mach_eventlink_wait_until
0000000180b97928 (__TEXT,__text) external ___map_with_linking_np
0000000180b97954 (__TEXT,__text) external ___memorystatus_available_memory
0000000180b97980 (__TEXT,__text) external ___microstackshot
0000000180b979ac (__TEXT,__text) external ___mkdir_extended
0000000180b979d8 (__TEXT,__text) external ___mkfifo_extended
0000000180b97a04 (__TEXT,__text) external ___mmap
0000000180b97a30 (__TEXT,__text) external ___mprotect
0000000180b97a5c (__TEXT,__text) external ___msgctl
0000000180b97a88 (__TEXT,__text) external ___msgrcv_nocancel
0000000180b97ab4 (__TEXT,__text) external ___msgsnd_nocancel
0000000180b97ae0 (__TEXT,__text) external ___msgsys
0000000180b97b0c (__TEXT,__text) external ___msync
0000000180b97b38 (__TEXT,__text) external ___msync_nocancel
0000000180b97b64 (__TEXT,__text) external ___munmap
0000000180b97b90 (__TEXT,__text) external ___nexus_create
0000000180b97bbc (__TEXT,__text) external ___nexus_deregister
0000000180b97be8 (__TEXT,__text) external ___nexus_destroy
0000000180b97c14 (__TEXT,__text) external ___nexus_get_opt
0000000180b97c40 (__TEXT,__text) external ___nexus_open
0000000180b97c6c (__TEXT,__text) external ___nexus_register
0000000180b97c98 (__TEXT,__text) external ___nexus_set_opt
0000000180b97cc4 (__TEXT,__text) external ___open
0000000180b97cf0 (__TEXT,__text) external ___open_dprotected_np
0000000180b97d1c (__TEXT,__text) external ___open_extended
0000000180b97d48 (__TEXT,__text) external ___open_nocancel
0000000180b97d74 (__TEXT,__text) external ___openat
0000000180b97da0 (__TEXT,__text) external ___openat_dprotected_np
0000000180b97dcc (__TEXT,__text) external ___openat_nocancel
0000000182cc8100 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
0000000180baab9c (__TEXT,__text) non-external ___os_nexus_config_flow
0000000180baa9f8 (__TEXT,__text) external ___os_nexus_flow_add
0000000180baaa84 (__TEXT,__text) external ___os_nexus_flow_del
0000000180baac1c (__TEXT,__text) external ___os_nexus_get_llink_info
0000000180baa804 (__TEXT,__text) external ___os_nexus_ifattach
0000000180baa930 (__TEXT,__text) external ___os_nexus_ifdetach
0000000180b97df8 (__TEXT,__text) external ___oslog_coproc
0000000180b97e24 (__TEXT,__text) external ___oslog_coproc_reg
0000000180b97e50 (__TEXT,__text) external ___persona
0000000180b97e7c (__TEXT,__text) external ___pipe
0000000180b97eb4 (__TEXT,__text) external ___poll_nocancel
0000000180b97ee0 (__TEXT,__text) external ___posix_spawn
0000000180b97f0c (__TEXT,__text) external ___pread_nocancel
0000000180b97f38 (__TEXT,__text) external ___preadv_nocancel
0000000180b97f64 (__TEXT,__text) external ___proc_info
0000000180b97f90 (__TEXT,__text) external ___proc_info_extended_id
0000000180b97fbc (__TEXT,__text) external ___process_policy
0000000180b97fe8 (__TEXT,__text) external ___pselect
0000000180b98014 (__TEXT,__text) external ___pselect_nocancel
0000000180b98040 (__TEXT,__text) external ___psynch_cvbroad
0000000180b9806c (__TEXT,__text) external ___psynch_cvclrprepost
0000000180b98098 (__TEXT,__text) external ___psynch_cvsignal
0000000180b980c4 (__TEXT,__text) external ___psynch_cvwait
0000000180b980f0 (__TEXT,__text) external ___psynch_mutexdrop
0000000180b9811c (__TEXT,__text) external ___psynch_mutexwait
0000000180b98148 (__TEXT,__text) external ___psynch_rw_downgrade
0000000180b98174 (__TEXT,__text) external ___psynch_rw_longrdlock
0000000180b981a0 (__TEXT,__text) external ___psynch_rw_rdlock
0000000180b981cc (__TEXT,__text) external ___psynch_rw_unlock
0000000180b981f8 (__TEXT,__text) external ___psynch_rw_unlock2
0000000180b98224 (__TEXT,__text) external ___psynch_rw_upgrade
0000000180b98250 (__TEXT,__text) external ___psynch_rw_wrlock
0000000180b9827c (__TEXT,__text) external ___psynch_rw_yieldwrlock
0000000180b982a8 (__TEXT,__text) external ___pthread_canceled
0000000180b982d4 (__TEXT,__text) external ___pthread_chdir
0000000180b98300 (__TEXT,__text) external ___pthread_fchdir
0000000180b9832c (__TEXT,__text) external ___pthread_kill
0000000180b98358 (__TEXT,__text) external ___pthread_markcancel
0000000180b98384 (__TEXT,__text) external ___pthread_sigmask
0000000180b983b0 (__TEXT,__text) external ___ptrace
0000000180b983e8 (__TEXT,__text) external ___pwrite_nocancel
0000000180b98414 (__TEXT,__text) external ___pwritev_nocancel
0000000180b98440 (__TEXT,__text) external ___read_nocancel
0000000180b9846c (__TEXT,__text) external ___readv_nocancel
0000000180b98498 (__TEXT,__text) external ___reboot
0000000180b984c4 (__TEXT,__text) external ___record_system_event
0000000180b984f0 (__TEXT,__text) external ___recvfrom
0000000180b9851c (__TEXT,__text) external ___recvfrom_nocancel
0000000180b98548 (__TEXT,__text) external ___recvmsg
0000000180b98574 (__TEXT,__text) external ___recvmsg_nocancel
0000000182cc8120 (__DATA,__bss) non-external ___remove_counter
0000000180b985a0 (__TEXT,__text) external ___rename
0000000180b985cc (__TEXT,__text) external ___renameat
0000000180b985f8 (__TEXT,__text) external ___renameatx_np
0000000180b98624 (__TEXT,__text) external ___rmdir
0000000180b97610 (__TEXT,__text) external ___sandbox_me
0000000180b97770 (__TEXT,__text) external ___sandbox_mm
0000000180b9784c (__TEXT,__text) external ___sandbox_ms
0000000180b97820 (__TEXT,__text) external ___sandbox_msp
0000000180b98650 (__TEXT,__text) external ___select
0000000180b9867c (__TEXT,__text) external ___select_nocancel
0000000180b986a8 (__TEXT,__text) external ___sem_open
0000000180b986d4 (__TEXT,__text) external ___sem_wait_nocancel
0000000180b98700 (__TEXT,__text) external ___semctl
0000000180b9872c (__TEXT,__text) external ___semsys
0000000180b98758 (__TEXT,__text) external ___semwait_signal
0000000180b98784 (__TEXT,__text) external ___semwait_signal_nocancel
0000000180b987b0 (__TEXT,__text) external ___sendmsg
0000000180b987dc (__TEXT,__text) external ___sendmsg_nocancel
0000000180b98808 (__TEXT,__text) external ___sendto
0000000180b98834 (__TEXT,__text) external ___sendto_nocancel
0000000180b98860 (__TEXT,__text) external ___setattrlist
0000000180b9888c (__TEXT,__text) external ___setlogin
0000000180b988b8 (__TEXT,__text) external ___setpriority
0000000180b988e4 (__TEXT,__text) external ___setregid
0000000180b98910 (__TEXT,__text) external ___setreuid
0000000180b9893c (__TEXT,__text) external ___setrlimit
0000000180b98968 (__TEXT,__text) external ___setsgroups
0000000180b98994 (__TEXT,__text) external ___settid
0000000180b989c0 (__TEXT,__text) external ___settid_with_pid
0000000180b989ec (__TEXT,__text) external ___settimeofday
0000000180b98a18 (__TEXT,__text) external ___setwgroups
0000000180b98a44 (__TEXT,__text) external ___sfi_ctl
0000000180b98a70 (__TEXT,__text) external ___sfi_pidctl
0000000180b98a9c (__TEXT,__text) external ___shared_region_check_np
0000000180b98ac8 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
0000000180b98af4 (__TEXT,__text) external ___shm_open
0000000180b98b20 (__TEXT,__text) external ___shmctl
0000000180b98b4c (__TEXT,__text) external ___shmsys
0000000180b98b78 (__TEXT,__text) external ___sigaction
0000000180b98ba4 (__TEXT,__text) external ___sigaltstack
0000000180b98bd0 (__TEXT,__text) external ___sigreturn
0000000180b98bfc (__TEXT,__text) external ___sigsuspend
0000000180b98c28 (__TEXT,__text) external ___sigsuspend_nocancel
0000000180b98c54 (__TEXT,__text) external ___sigwait
0000000180b98c80 (__TEXT,__text) external ___socketpair
0000000180b98cac (__TEXT,__text) external ___stack_snapshot_with_config
0000000180b98cd8 (__TEXT,__text) external ___stat64_extended
0000000180b98d04 (__TEXT,__text) external ___stat_extended
0000000180ba2500 (__TEXT,__text) non-external ___statfs_ext_impl
0000000180b98d30 (__TEXT,__text) external ___syscall
0000000182cc87b8 (__DATA,__common) external ___syscall_logger
0000000180b98d6c (__TEXT,__text) external ___sysctl
0000000180b98d98 (__TEXT,__text) external ___sysctlbyname
0000000180b98dc4 (__TEXT,__text) external ___telemetry
0000000180b98df0 (__TEXT,__text) external ___terminate_with_payload
0000000180b98e1c (__TEXT,__text) external ___thread_selfid
0000000180b98e48 (__TEXT,__text) external ___thread_selfusage
0000000180b98e74 (__TEXT,__text) external ___ulock_wait
0000000180b98ea0 (__TEXT,__text) external ___ulock_wait2
0000000180b98ecc (__TEXT,__text) external ___ulock_wake
0000000180b98ef8 (__TEXT,__text) external ___umask_extended
0000000180b98f24 (__TEXT,__text) external ___unlink
0000000180b98f50 (__TEXT,__text) external ___unlinkat
0000000180b98f7c (__TEXT,__text) external ___vfork
0000000180b98fec (__TEXT,__text) external ___wait4
0000000180b99018 (__TEXT,__text) external ___wait4_nocancel
0000000180b99044 (__TEXT,__text) external ___waitid_nocancel
0000000180b99070 (__TEXT,__text) external ___work_interval_ctl
0000000180b9909c (__TEXT,__text) external ___workq_kernreturn
0000000180b990c8 (__TEXT,__text) external ___workq_open
0000000180b990f4 (__TEXT,__text) external ___write_nocancel
0000000180b99120 (__TEXT,__text) external ___writev_nocancel
0000000182cc8170 (__DATA,__common) external __cpu_capabilities
0000000182cc8174 (__DATA,__common) external __cpu_has_altivec
0000000182cc7db8 (__DATA,__data) external __current_pid
0000000182cc80e0 (__DATA,__bss) non-external __dlsym
0000000180b965a0 (__TEXT,__text) external __exclaves_ctl_trap
0000000180b96ebc (__TEXT,__text) external __exit
0000000180b96860 (__TEXT,__text) external __get_cpu_capabilities
0000000182cc80f8 (__DATA,__bss) non-external __gethostuuid_callback
0000000180ba1a40 (__TEXT,__text) external __getprivatesystemidentifier
0000000180bb1888 (__TEXT,__text) external __host_page_size
0000000180bab77c (__TEXT,__text) external __init_cpu_capabilities
0000000180bb311c (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
0000000180bb4600 (__TEXT,__text) external __kernelrpc_mach_port_allocate
0000000180bb5bdc (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
0000000180bb44e4 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
0000000180bb5a6c (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
0000000180b96384 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
0000000180bb79bc (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
0000000180bb6aa8 (__TEXT,__text) external __kernelrpc_mach_port_construct
0000000180b963d8 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
0000000180bb4870 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
0000000180b96390 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
