                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff80cd8862f (__TEXT,__text) external __cg_jcopy_block_row
00007ff80cd885d7 (__TEXT,__text) external __cg_jcopy_sample_rows
00007ff80cda7dff (__TEXT,__text) external __cg_jinit_1pass_quantizer
00007ff80cd7f1bb (__TEXT,__text) external __cg_jinit_2pass_quantizer
00007ff80cd8754b (__TEXT,__text) external __cg_jinit_c_coef_controller
00007ff80cd88649 (__TEXT,__text) external __cg_jinit_c_main_controller
00007ff80cd93b50 (__TEXT,__text) external __cg_jinit_c_master_control
00007ff80cd8881d (__TEXT,__text) external __cg_jinit_c_prep_controller
00007ff80cd7e224 (__TEXT,__text) external __cg_jinit_color_converter
00007ff80cd86a38 (__TEXT,__text) external __cg_jinit_color_deconverter
00007ff80cd7e10b (__TEXT,__text) external __cg_jinit_compress_master
00007ff80cd929c4 (__TEXT,__text) external __cg_jinit_d_coef_controller
00007ff80cd954f8 (__TEXT,__text) external __cg_jinit_d_main_controller
00007ff80cd96124 (__TEXT,__text) external __cg_jinit_d_post_controller
00007ff80cd9fb53 (__TEXT,__text) external __cg_jinit_downsampler
00007ff80cd86095 (__TEXT,__text) external __cg_jinit_forward_dct
00007ff80cda0f1d (__TEXT,__text) external __cg_jinit_huff_decoder
00007ff80cda4eba (__TEXT,__text) external __cg_jinit_huff_encoder
00007ff80cd897b1 (__TEXT,__text) external __cg_jinit_input_controller
00007ff80cd7eb0e (__TEXT,__text) external __cg_jinit_inverse_dct
00007ff80cd808e4 (__TEXT,__text) external __cg_jinit_marker_reader
00007ff80cda3c16 (__TEXT,__text) external __cg_jinit_marker_writer
00007ff80cd94f24 (__TEXT,__text) external __cg_jinit_master_decompress
00007ff80cda913a (__TEXT,__text) external __cg_jinit_memory_mgr
00007ff80cda0882 (__TEXT,__text) external __cg_jinit_merged_upsampler
00007ff80cd95c10 (__TEXT,__text) external __cg_jinit_upsampler
00007ff80cd9f783 (__TEXT,__text) external __cg_jpeg_CreateCompress
00007ff80cd88f08 (__TEXT,__text) external __cg_jpeg_CreateDecompress
00007ff80cd82f19 (__TEXT,__text) external __cg_jpeg_abort
00007ff80cd9f8b2 (__TEXT,__text) external __cg_jpeg_abort_compress
00007ff80cd88ff3 (__TEXT,__text) external __cg_jpeg_abort_decompress
00007ff80cd91e4c (__TEXT,__text) external __cg_jpeg_add_quant_table
00007ff80cd82fa6 (__TEXT,__text) external __cg_jpeg_alloc_huff_table
00007ff80cd82f89 (__TEXT,__text) external __cg_jpeg_alloc_quant_table
00007ff80cd94bee (__TEXT,__text) external __cg_jpeg_calc_output_dimensions
00007ff80cd8906c (__TEXT,__text) external __cg_jpeg_consume_input
00007ff80cda35cc (__TEXT,__text) external __cg_jpeg_copy_critical_parameters
00007ff80cd921f0 (__TEXT,__text) external __cg_jpeg_default_colorspace
00007ff80cd82f5b (__TEXT,__text) external __cg_jpeg_destroy
00007ff80cd9f8a8 (__TEXT,__text) external __cg_jpeg_destroy_compress
00007ff80cd88fe9 (__TEXT,__text) external __cg_jpeg_destroy_decompress
00007ff80cda8bc9 (__TEXT,__text) external __cg_jpeg_fdct_float
00007ff80cda3146 (__TEXT,__text) external __cg_jpeg_fdct_ifast
00007ff80cd96a4f (__TEXT,__text) external __cg_jpeg_fdct_islow
00007ff80cd9f90f (__TEXT,__text) external __cg_jpeg_finish_compress
00007ff80cd89356 (__TEXT,__text) external __cg_jpeg_finish_decompress
00007ff80cda4e30 (__TEXT,__text) external __cg_jpeg_finish_output
00007ff80cd84572 (__TEXT,__text) external __cg_jpeg_free_large
00007ff80cd84558 (__TEXT,__text) external __cg_jpeg_free_small
00007ff80cd84565 (__TEXT,__text) external __cg_jpeg_get_large
00007ff80cd8454b (__TEXT,__text) external __cg_jpeg_get_small
00007ff80cd89319 (__TEXT,__text) external __cg_jpeg_has_multiple_scans
00007ff80cd8b40f (__TEXT,__text) external __cg_jpeg_idct_1x1
00007ff80cd8b35e (__TEXT,__text) external __cg_jpeg_idct_2x2
00007ff80cd8b070 (__TEXT,__text) external __cg_jpeg_idct_4x4
00007ff80cd9665c (__TEXT,__text) external __cg_jpeg_idct_float
00007ff80cd85c24 (__TEXT,__text) external __cg_jpeg_idct_ifast
00007ff80cd8a2ab (__TEXT,__text) external __cg_jpeg_idct_islow
00007ff80cd892dc (__TEXT,__text) external __cg_jpeg_input_complete
00007ff80cd8457f (__TEXT,__text) external __cg_jpeg_mem_available
00007ff80cd846ec (__TEXT,__text) external __cg_jpeg_mem_init
00007ff80cd846f7 (__TEXT,__text) external __cg_jpeg_mem_term
00007ff80cdaa970 (__TEXT,__const) external __cg_jpeg_natural_order
00007ff80cd94eaa (__TEXT,__text) external __cg_jpeg_new_colormap
00007ff80cd84590 (__TEXT,__text) external __cg_jpeg_open_backing_store
00007ff80cd91fda (__TEXT,__text) external __cg_jpeg_quality_scaling
00007ff80cd964c8 (__TEXT,__text) external __cg_jpeg_read_coefficients
00007ff80cd88ffd (__TEXT,__text) external __cg_jpeg_read_header
00007ff80cda4d0a (__TEXT,__text) external __cg_jpeg_read_raw_data
00007ff80cda4c5b (__TEXT,__text) external __cg_jpeg_read_scanlines
00007ff80cd80668 (__TEXT,__text) external __cg_jpeg_resync_to_restart
00007ff80cd8240f (__TEXT,__text) external __cg_jpeg_save_markers
00007ff80cd9226c (__TEXT,__text) external __cg_jpeg_set_colorspace
00007ff80cd9208b (__TEXT,__text) external __cg_jpeg_set_defaults
00007ff80cd91f8f (__TEXT,__text) external __cg_jpeg_set_linear_quality
00007ff80cd827cd (__TEXT,__text) external __cg_jpeg_set_marker_processor
00007ff80cd92011 (__TEXT,__text) external __cg_jpeg_set_quality
00007ff80cd9263c (__TEXT,__text) external __cg_jpeg_simple_progression
00007ff80cd91c3c (__TEXT,__text) external __cg_jpeg_start_compress
00007ff80cda4a6e (__TEXT,__text) external __cg_jpeg_start_decompress
00007ff80cda4dc7 (__TEXT,__text) external __cg_jpeg_start_output
00007ff80cda0643 (__TEXT,__text) external __cg_jpeg_std_error
00007ff84087c3a0 (__DATA_CONST,__const) external __cg_jpeg_std_message_table
00007ff80cda8e32 (__TEXT,__text) external __cg_jpeg_stdio_dest
00007ff80cd846fd (__TEXT,__text) external __cg_jpeg_stdio_src
00007ff80cd9f8bc (__TEXT,__text) external __cg_jpeg_suppress_tables
00007ff80cda346b (__TEXT,__text) external __cg_jpeg_write_coefficients
00007ff80cd9fae3 (__TEXT,__text) external __cg_jpeg_write_m_byte
00007ff80cd9fa87 (__TEXT,__text) external __cg_jpeg_write_m_header
00007ff80cd9f9f8 (__TEXT,__text) external __cg_jpeg_write_marker
00007ff80cd91d81 (__TEXT,__text) external __cg_jpeg_write_raw_data
00007ff80cd91cbd (__TEXT,__text) external __cg_jpeg_write_scanlines
00007ff80cd9faf5 (__TEXT,__text) external __cg_jpeg_write_tables
00007ff80cd885bc (__TEXT,__text) external __cg_jround_up
00007ff80cd87528 (__TEXT,__text) external __cg_switch_color_deconverter
00007ff80cda9a8a (__TEXT,__text) non-external _access_virt_barray
00007ff80cda991e (__TEXT,__text) non-external _access_virt_sarray
00007ff80cda9554 (__TEXT,__text) non-external _alloc_barray
00007ff80cda865d (__TEXT,__text) non-external _alloc_fs_workspace
00007ff80cda93a7 (__TEXT,__text) non-external _alloc_large
00007ff80cda9489 (__TEXT,__text) non-external _alloc_sarray
00007ff80cda923c (__TEXT,__text) non-external _alloc_small
00007ff80cd85aa4 (__TEXT,__text) non-external _arith_decode
00007ff80cd84360 (__TEXT,__text) non-external _arith_encode
00007ff80cdab880 (__TEXT,__const) non-external _base_dither_matrix
00007ff80cdab7b0 (__TEXT,__const) non-external _bmask
00007ff80cd871be (__TEXT,__text) non-external _build_ycc_rgb_table
00007ff80cd846de (__TEXT,__text) non-external _close_backing_store
00007ff80cd7e9d8 (__TEXT,__text) non-external _cmyk_ycck_convert
00007ff80cda8735 (__TEXT,__text) non-external _color_quantize
00007ff80cda86bc (__TEXT,__text) non-external _color_quantize3
00007ff80cd87711 (__TEXT,__text) non-external _compress_data
00007ff80cd87a12 (__TEXT,__text) non-external _compress_first_pass
00007ff80cd883c1 (__TEXT,__text) non-external _compress_output
00007ff80cda38ed (__TEXT,__text) non-external _compress_output
00007ff80cd92ccc (__TEXT,__text) non-external _consume_data
00007ff80cd8980f (__TEXT,__text) non-external _consume_markers
00007ff80cda8519 (__TEXT,__text) non-external _create_colorindex
