                 (undefined) external _CBAdvertisementDataIsConnectable (from CoreBluetooth)
                 (undefined) external _CBAdvertisementDataServiceDataKey (from CoreBluetooth)
                 (undefined) external _CBCentralManagerScanOptionAllowDuplicatesKey (from CoreBluetooth)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytes (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFNumberGetValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _DNSServiceBrowse (from libSystem)
                 (undefined) external _DNSServiceCreateConnection (from libSystem)
                 (undefined) external _DNSServiceGetAddrInfo (from libSystem)
                 (undefined) external _DNSServiceReconfirmRecord (from libSystem)
                 (undefined) external _DNSServiceRefDeallocate (from libSystem)
                 (undefined) external _DNSServiceRegister (from libSystem)
                 (undefined) external _DNSServiceRegisterRecord (from libSystem)
                 (undefined) external _DNSServiceResolve (from libSystem)
                 (undefined) external _DNSServiceSetDispatchQueue (from libSystem)
                 (undefined) external _DNSServiceUpdateRecord (from libSystem)
                 (undefined) external _IOIteratorNext (from IOKit)
                 (undefined) external _IOObjectGetRetainCount (from IOKit)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IORegistryEntryGetParentEntry (from IOKit)
                 (undefined) external _IOServiceGetMatchingServices (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
00000002363cd0c8 (__DATA_CONST,__const) external _MTRArrayValueType
00000002363cd040 (__DATA_CONST,__const) external _MTRAttributePathKey
00000002363cd090 (__DATA_CONST,__const) external _MTRBooleanValueType
00000002363cd048 (__DATA_CONST,__const) external _MTRCommandPathKey
00000002363cd078 (__DATA_CONST,__const) external _MTRContextTagKey
00000002363cd058 (__DATA_CONST,__const) external _MTRDataKey
00000002363cd0b0 (__DATA_CONST,__const) external _MTRDoubleValueType
00000002363cf2f0 (__DATA_CONST,__const) external _MTRErrorDomain
00000002363cd060 (__DATA_CONST,__const) external _MTRErrorKey
00000002363cd0d0 (__DATA_CONST,__const) external _MTREventNumberKey
00000002363cd050 (__DATA_CONST,__const) external _MTREventPathKey
00000002363cd0d8 (__DATA_CONST,__const) external _MTREventPriorityKey
00000002363cd0e8 (__DATA_CONST,__const) external _MTREventSystemUpTimeKey
00000002363cd0e0 (__DATA_CONST,__const) external _MTREventTimeTypeKey
00000002363cd0f0 (__DATA_CONST,__const) external _MTREventTimestampDateKey
00000002363cd0a8 (__DATA_CONST,__const) external _MTRFloatValueType
00000002363cf2f8 (__DATA_CONST,__const) external _MTRInteractionErrorDomain
00000002363cd0b8 (__DATA_CONST,__const) external _MTRNullValueType
00000002363cd0a0 (__DATA_CONST,__const) external _MTROctetStringValueType
00000001eeba9ba0 (__TEXT,__text) external _MTRSetLogCallback
00000002363cd080 (__DATA_CONST,__const) external _MTRSignedIntegerValueType
00000001eed71a60 (__TEXT,__const) external _MTRSizeThreadExtendedPANID
00000001eed71a68 (__TEXT,__const) external _MTRSizeThreadExtendedPanId
00000001eed71a70 (__TEXT,__const) external _MTRSizeThreadMasterKey
00000001eed71a58 (__TEXT,__const) external _MTRSizeThreadNetworkName
00000001eed71a80 (__TEXT,__const) external _MTRSizeThreadPANID
00000001eed71a78 (__TEXT,__const) external _MTRSizeThreadPSKc
00000002363cd0c0 (__DATA_CONST,__const) external _MTRStructureValueType
00000002363cd068 (__DATA_CONST,__const) external _MTRTypeKey
00000002363cd098 (__DATA_CONST,__const) external _MTRUTF8StringValueType
00000002363cd088 (__DATA_CONST,__const) external _MTRUnsignedIntegerValueType
00000002363cd070 (__DATA_CONST,__const) external _MTRValueKey
                 (undefined) external _NSCalendarIdentifierGregorian (from CoreFoundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedFailureReasonErrorKey (from Foundation)
                 (undefined) external _NSStringFromClass (from Foundation)
0000000231f834c0 (__AUTH,__objc_data) external _OBJC_CLASS_$_AttestationInfo
                 (undefined) external _OBJC_CLASS_$_CBCentralManager (from CoreBluetooth)
                 (undefined) external _OBJC_CLASS_$_CBUUID (from CoreBluetooth)
0000000231f80c20 (__AUTH,__objc_data) external _OBJC_CLASS_$_CSRInfo
0000000231f7c828 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAccessControlClusterAccessControlEntry
0000000231f7c8f0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAccessControlClusterAccessControlEntryChangedEvent
0000000231f7c7b0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAccessControlClusterAccessControlEntryStruct
0000000231f7c940 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAccessControlClusterAccessControlExtensionChangedEvent
0000000231f7c850 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAccessControlClusterAccessControlExtensionStruct
0000000231f7c710 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAccessControlClusterAccessControlTargetStruct
0000000231f7c8c8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAccessControlClusterExtensionEntry
0000000231f7c788 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAccessControlClusterTarget
0000000231f7ac30 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAccountLoginClusterGetSetupPINParams
0000000231f7ac80 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAccountLoginClusterGetSetupPINResponseParams
0000000231f7acd0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAccountLoginClusterLoginParams
0000000231f7ad20 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAccountLoginClusterLogoutParams
0000000231f7ca80 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRActionsClusterActionFailedEvent
0000000231f7c990 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRActionsClusterActionStruct
0000000231f77080 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRActionsClusterDisableActionParams
0000000231f770d0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRActionsClusterDisableActionWithDurationParams
0000000231f76fe0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRActionsClusterEnableActionParams
0000000231f77030 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRActionsClusterEnableActionWithDurationParams
0000000231f7c9e0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRActionsClusterEndpointListStruct
0000000231f76d60 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRActionsClusterInstantActionParams
0000000231f76db0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRActionsClusterInstantActionWithTransitionParams
0000000231f76ef0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRActionsClusterPauseActionParams
0000000231f76f40 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRActionsClusterPauseActionWithDurationParams
0000000231f76f90 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRActionsClusterResumeActionParams
0000000231f76e00 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRActionsClusterStartActionParams
0000000231f76e50 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRActionsClusterStartActionWithDurationParams
0000000231f7ca30 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRActionsClusterStateChangedEvent
0000000231f76ea0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRActionsClusterStopActionParams
0000000231f77e90 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAdministratorCommissioningClusterOpenBasicCommissioningWindowParams
0000000231f77e40 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAdministratorCommissioningClusterOpenCommissioningWindowParams
0000000231f77ee0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAdministratorCommissioningClusterRevokeCommissioningParams
0000000231f802e8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRApplicationBasicClusterApplicationBasicApplication
0000000231f80270 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRApplicationBasicClusterApplicationStruct
0000000231f801a8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRApplicationLauncherClusterApplication
0000000231f80248 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRApplicationLauncherClusterApplicationEP
0000000231f801d0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRApplicationLauncherClusterApplicationEPStruct
0000000231f80130 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRApplicationLauncherClusterApplicationStruct
0000000231f7ab90 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRApplicationLauncherClusterHideAppParams
0000000231f7aaf0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRApplicationLauncherClusterLaunchAppParams
0000000231f7abe0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRApplicationLauncherClusterLauncherResponseParams
0000000231f7ab40 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRApplicationLauncherClusterStopAppParams
0000000231f83560 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAsyncCallbackQueueWorkItem
0000000231f83510 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAsyncCallbackWorkQueue
