00007ff800441468 (__TEXT,__text) external _NSAddImage
00007ff800441432 (__TEXT,__text) external _NSAddLibrary
00007ff80044144d (__TEXT,__text) external _NSAddLibraryWithSearching
00007ff800440fa5 (__TEXT,__text) external _NSAddressOfSymbol
00007ff800441221 (__TEXT,__text) external _NSCreateObjectFileImageFromFile
00007ff800440f22 (__TEXT,__text) external _NSCreateObjectFileImageFromMemory
00007ff80044123f (__TEXT,__text) external _NSDestroyObjectFileImage
00007ff800440f63 (__TEXT,__text) external _NSGetSectionDataInObjectFileImage
00007ff80044141e (__TEXT,__text) external _NSInstallLinkEditErrorHandlers
00007ff8004412aa (__TEXT,__text) external _NSIsSymbolDefinedInObjectFileImage
00007ff80044131b (__TEXT,__text) external _NSIsSymbolNameDefined
00007ff800441354 (__TEXT,__text) external _NSIsSymbolNameDefinedInImage
00007ff800441336 (__TEXT,__text) external _NSIsSymbolNameDefinedWithHint
00007ff8004412e3 (__TEXT,__text) external _NSLibraryNameForModule
00007ff8004413fa (__TEXT,__text) external _NSLinkEditError
00007ff800440f43 (__TEXT,__text) external _NSLinkModule
00007ff800441372 (__TEXT,__text) external _NSLookupAndBindSymbol
00007ff80044138d (__TEXT,__text) external _NSLookupAndBindSymbolWithHint
00007ff8004413ab (__TEXT,__text) external _NSLookupSymbolInImage
00007ff800440f87 (__TEXT,__text) external _NSLookupSymbolInModule
00007ff8004413df (__TEXT,__text) external _NSModuleForSymbol
00007ff8004412c8 (__TEXT,__text) external _NSNameOfModule
00007ff8004413cb (__TEXT,__text) external _NSNameOfSymbol
00007ff80044125a (__TEXT,__text) external _NSSymbolDefinitionCountInObjectFileImage
00007ff80044126e (__TEXT,__text) external _NSSymbolDefinitionNameInObjectFileImage
00007ff800441282 (__TEXT,__text) external _NSSymbolReferenceCountInObjectFileImage
00007ff800441296 (__TEXT,__text) external _NSSymbolReferenceNameInObjectFileImage
00007ff8004412fe (__TEXT,__text) external _NSUnLinkModule
00007ff800440096 (__TEXT,__text) external _NSVersionOfLinkTimeLibrary
00007ff8004402d2 (__TEXT,__text) external _NSVersionOfRunTimeLibrary
00007ff8438cb780 (__DATA_DIRTY,__common) external _NXArgc
00007ff8438cb788 (__DATA_DIRTY,__common) external _NXArgv
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
