
/Volumes/macOS Mojave/usr/lib/system/libsystem_platform.dylib (for architecture i386):
00005378 (__TEXT,__text) external _MKGetTimeBaseInfo
00008220 (__DATA,__bss) non-external _MKGetTimeBaseInfo.MKGetTimeBaseInfo_spin_lock
00008218 (__DATA,__bss) non-external _MKGetTimeBaseInfo.mti
00002050 (__TEXT,__text) external _OSAtomicAdd32
00002050 (__TEXT,__text) external _OSAtomicAdd32Barrier
00002094 (__TEXT,__text) external _OSAtomicAdd64
00002094 (__TEXT,__text) external _OSAtomicAdd64Barrier
00001f90 (__TEXT,__text) external _OSAtomicAnd32
00001f90 (__TEXT,__text) external _OSAtomicAnd32Barrier
00001fd8 (__TEXT,__text) external _OSAtomicAnd32Orig
00001fd8 (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
00002014 (__TEXT,__text) external _OSAtomicCompareAndSwap32
00002014 (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
0000202c (__TEXT,__text) external _OSAtomicCompareAndSwap64
0000202c (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
00002014 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
00002014 (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
00002014 (__TEXT,__text) external _OSAtomicCompareAndSwapLong
00002014 (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
00002014 (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
00002014 (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
00002084 (__TEXT,__text) external _OSAtomicDecrement32
00002084 (__TEXT,__text) external _OSAtomicDecrement32Barrier
000020dc (__TEXT,__text) external _OSAtomicDecrement64
000020dc (__TEXT,__text) external _OSAtomicDecrement64Barrier
00002198 (__TEXT,__text) external _OSAtomicDequeue
00002174 (__TEXT,__text) external _OSAtomicEnqueue
000021f0 (__TEXT,__text) external _OSAtomicFifoDequeue
000021bc (__TEXT,__text) external _OSAtomicFifoEnqueue
00002074 (__TEXT,__text) external _OSAtomicIncrement32
00002064 (__TEXT,__text) non-external (was a private external) _OSAtomicIncrement32$VARIANT$up
00002074 (__TEXT,__text) external _OSAtomicIncrement32Barrier
00002064 (__TEXT,__text) non-external (was a private external) _OSAtomicIncrement32Barrier$VARIANT$up
000020b8 (__TEXT,__text) external _OSAtomicIncrement64
000020b8 (__TEXT,__text) external _OSAtomicIncrement64Barrier
00001fa8 (__TEXT,__text) external _OSAtomicOr32
