                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
0000000191840710 (__TEXT,__text) non-external _alone_decode
00000001918409b4 (__TEXT,__text) non-external _alone_decoder_end
00000001918409f4 (__TEXT,__text) non-external _alone_decoder_memconfig
000000019183f140 (__TEXT,__text) non-external _alone_encode
000000019183f258 (__TEXT,__text) non-external _alone_encoder_end
000000019183efc4 (__TEXT,__text) non-external _alone_encoder_init
000000019184a520 (__TEXT,__text) non-external _arm64_code
000000019184d0d4 (__TEXT,__text) non-external _arm_code
000000019184d1c0 (__TEXT,__text) non-external _armthumb_code
0000000191840c20 (__TEXT,__text) non-external _auto_decode
0000000191840d9c (__TEXT,__text) non-external _auto_decoder_end
0000000191840ddc (__TEXT,__text) non-external _auto_decoder_get_check
0000000191840b18 (__TEXT,__text) non-external _auto_decoder_init
0000000191840df4 (__TEXT,__text) non-external _auto_decoder_memconfig
0000000191852b68 (__TEXT,__const) non-external _bcj_optmap
000000019183f340 (__TEXT,__text) non-external _block_buffer_encode
0000000191841144 (__TEXT,__text) non-external _block_decode
00000001918413b8 (__TEXT,__text) non-external _block_decoder_end
0000000191839c60 (__TEXT,__text) non-external _block_encode
000000019183f5e4 (__TEXT,__text) non-external _block_encode_normal
000000019183f74c (__TEXT,__text) non-external _block_encode_uncompressed
000000019183ddf8 (__TEXT,__text) non-external _block_encoder_end
0000000191837dd4 (__TEXT,__text) non-external _block_encoder_init
000000019183f8f4 (__TEXT,__text) non-external _block_encoder_update
000000019183ccfc (__TEXT,__text) non-external _bt_find_func
000000019183ae14 (__TEXT,__text) non-external _bt_skip_func
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _clock_gettime (from libSystem)
000000019184ca98 (__TEXT,__text) non-external _copy_or_code
0000000191845e6c (__TEXT,__text) non-external _decode_buffer
0000000191841868 (__TEXT,__text) non-external _decoder_find
00000001ee87c468 (__AUTH_CONST,__const) non-external _decoders
000000019184c318 (__TEXT,__text) non-external _delta_coder_end
000000019184c53c (__TEXT,__text) non-external _delta_decode
000000019184c3a8 (__TEXT,__text) non-external _delta_encode
000000019184c4d8 (__TEXT,__text) non-external _delta_encoder_update
0000000191852b80 (__TEXT,__const) non-external _delta_optmap
0000000191838364 (__TEXT,__text) non-external _encoder_find
00000001ee87c200 (__AUTH_CONST,__const) non-external _encoders
000000019184e930 (__TEXT,__const) non-external _features
0000000191846b58 (__TEXT,__text) non-external _file_info_decode
0000000191847124 (__TEXT,__text) non-external _file_info_decoder_end
0000000191847180 (__TEXT,__text) non-external _file_info_decoder_memconfig
00000001ee87c5c8 (__AUTH_CONST,__const) non-external _filter_name_map
                 (undefined) external _free (from libSystem)
000000019183ce48 (__TEXT,__text) non-external _get_literal_price
000000019184d6c4 (__TEXT,__text) non-external _get_options
000000019184deb4 (__TEXT,__text) non-external _get_progress
000000019184be2c (__TEXT,__text) non-external _get_thread
000000019184220c (__TEXT,__text) non-external _hash_append
0000000191843fa0 (__TEXT,__text) non-external _hc_find_func
000000019184cf50 (__TEXT,__text) non-external _ia64_code
0000000191854d08 (__TEXT,__const) non-external _ia64_code.BRANCH_TABLE
000000019183eb0c (__TEXT,__text) non-external _index_cat_helper
0000000191841b78 (__TEXT,__text) non-external _index_decode
0000000191841e50 (__TEXT,__text) non-external _index_decoder_end
0000000191841e94 (__TEXT,__text) non-external _index_decoder_memconfig
000000019183d640 (__TEXT,__text) non-external _index_encode
000000019183df00 (__TEXT,__text) non-external _index_encoder_end
000000019183df7c (__TEXT,__text) non-external _index_stream_end
0000000191837a58 (__TEXT,__text) non-external _index_tree_append
000000019183df04 (__TEXT,__text) non-external _index_tree_node_end
0000000191838b14 (__TEXT,__text) non-external _is_options_valid
000000019183da64 (__TEXT,__text) non-external _iter_set_info
0000000191838b6c (__TEXT,__text) non-external _length_encoder_reset
