                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
0000000194270e70 (__TEXT,__text) external _pcre_assign_jit_stack
00000001d5d2a720 (__DATA,__common) external _pcre_callout
0000000194251ee8 (__TEXT,__text) external _pcre_compile
0000000194251efc (__TEXT,__text) external _pcre_compile2
000000019425b920 (__TEXT,__text) external _pcre_config
0000000194270ad8 (__TEXT,__text) external _pcre_copy_named_substring
0000000194270a68 (__TEXT,__text) external _pcre_copy_substring
000000019425b9f0 (__TEXT,__text) external _pcre_dfa_exec
00000001942624c8 (__TEXT,__text) external _pcre_exec
00000001d72fc5c0 (__AUTH,__data) external _pcre_free
0000000194272c14 (__TEXT,__text) external _pcre_free_study
0000000194270e54 (__TEXT,__text) external _pcre_free_substring
0000000194270d28 (__TEXT,__text) external _pcre_free_substring_list
00000001942704d8 (__TEXT,__text) external _pcre_fullinfo
0000000194270dd8 (__TEXT,__text) external _pcre_get_named_substring
0000000194270798 (__TEXT,__text) external _pcre_get_stringnumber
00000001942708ac (__TEXT,__text) external _pcre_get_stringtable_entries
0000000194270d38 (__TEXT,__text) external _pcre_get_substring
0000000194270c1c (__TEXT,__text) external _pcre_get_substring_list
0000000194270e74 (__TEXT,__text) external _pcre_jit_free_unused_memory
0000000194270e64 (__TEXT,__text) external _pcre_jit_stack_alloc
0000000194270e6c (__TEXT,__text) external _pcre_jit_stack_free
0000000194270e78 (__TEXT,__text) external _pcre_maketables
00000001d72fc5b8 (__AUTH,__data) external _pcre_malloc
0000000194251c4c (__TEXT,__text) external _pcre_pattern_to_host_byte_order
0000000194271658 (__TEXT,__text) external _pcre_refcount
00000001d72fc5d0 (__AUTH,__data) external _pcre_stack_free
00000001d5d2a728 (__DATA,__common) external _pcre_stack_guard
00000001d72fc5c8 (__AUTH,__data) external _pcre_stack_malloc
00000001942716bc (__TEXT,__text) external _pcre_study
000000019427321c (__TEXT,__text) external _pcre_version
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
