00007ff81ee07e86 (__TEXT,__text) external _MarcoAction
00007ff81ee07e8e (__TEXT,__text) external _MarcoActionWithUserInfo
00007ff81ee07e2e (__TEXT,__text) external _MarcoAddCallMetric
00007ff81ee07e36 (__TEXT,__text) external _MarcoAddCallMetric_Double
00007ff81ee07e3e (__TEXT,__text) external _MarcoAddCallMetric_Float
00007ff81ee07e46 (__TEXT,__text) external _MarcoAddCallMetric_Int
00007ff81ee07e4e (__TEXT,__text) external _MarcoAddCallMetric_Short
00007ff81ee07eb6 (__TEXT,__text) external _MarcoAddLogFile
00007ff81ee07e26 (__TEXT,__text) external _MarcoBeginSession
00007ff81ee07f2e (__TEXT,__text) external _MarcoCanLogMadridMessageBodies
00007ff81ee07f26 (__TEXT,__text) external _MarcoCanLogMadridMessageBodiesCF
00007ff81ee07dda (__TEXT,__text) external _MarcoConnect
00007ff81ee07de5 (__TEXT,__text) external _MarcoDiconnect
00007ff81ee07dca (__TEXT,__text) external _MarcoEndSession
00007ff81ee07e7e (__TEXT,__text) external _MarcoEvent
00007ff81ee07e6e (__TEXT,__text) external _MarcoLog
00007ff81ee07e5e (__TEXT,__text) external _MarcoLogCallInfo
00007ff81ee07f36 (__TEXT,__text) external _MarcoLogLocalPreview
00007ff81ee07f55 (__TEXT,__text) external _MarcoLogLocalPreviewEvent
00007ff81ee07ece (__TEXT,__text) external _MarcoLogMadrid
00007ff81ee07ed6 (__TEXT,__text) external _MarcoLogMadridCF
00007ff81ee07eee (__TEXT,__text) external _MarcoLogMadridCF_V
00007ff81ee07d9a (__TEXT,__text) external _MarcoLogMadridEvent
00007ff81ee07ede (__TEXT,__text) external _MarcoLogMadridEventCF
00007ff81ee07f06 (__TEXT,__text) external _MarcoLogMadridEventCF_V
00007ff81ee07dba (__TEXT,__text) external _MarcoLogMadridLevel
00007ff81ee07ef6 (__TEXT,__text) external _MarcoLogMadridLevelCF_V
00007ff81ee07ebe (__TEXT,__text) external _MarcoLogRegistration
00007ff81ee07da2 (__TEXT,__text) external _MarcoLoggingStringForMessageData
00007ff81ee07e06 (__TEXT,__text) external _MarcoMadridLogLevel
00007ff81ee07e66 (__TEXT,__text) external _MarcoNoteCheckpoint
00007ff81ee07e56 (__TEXT,__text) external _MarcoNoteQuality
00007ff81ee07e96 (__TEXT,__text) external _MarcoPerformSnapshot
00007ff81ee07e76 (__TEXT,__text) external _MarcoPulse
00007ff81ee07ea6 (__TEXT,__text) external _MarcoSetFailureReason
00007ff81ee07e9e (__TEXT,__text) external _MarcoSetInitiator
00007ff81ee07eae (__TEXT,__text) external _MarcoSetRecipient
00007ff81ee07db2 (__TEXT,__text) external _MarcoShouldLog
00007ff81ee07e0e (__TEXT,__text) external _MarcoShouldLogCallMetric
00007ff81ee07dd2 (__TEXT,__text) external _MarcoShouldLogCheckpoints
00007ff81ee07dc2 (__TEXT,__text) external _MarcoShouldLogLocalPreview
00007ff81ee07dfe (__TEXT,__text) external _MarcoShouldLogMadrid
00007ff81ee07f16 (__TEXT,__text) external _MarcoShouldLogMadridCF
00007ff81ee07daa (__TEXT,__text) external _MarcoShouldLogMadridEvent
00007ff81ee07f1e (__TEXT,__text) external _MarcoShouldLogMadridEventCF
00007ff81ee07d8a (__TEXT,__text) external _MarcoShouldLogMadridLevel
00007ff81ee07efe (__TEXT,__text) external _MarcoShouldLogMadridLevelCF
00007ff81ee07e16 (__TEXT,__text) external _MarcoShouldLogQuality
00007ff81ee07df6 (__TEXT,__text) external _MarcoShouldLogRegistration
00007ff81ee07e1e (__TEXT,__text) external _MarcoStartPing
00007ff81ee07df0 (__TEXT,__text) external _MarcoSyncLoggingsPreferences
00007ff81ee07f4a (__TEXT,__text) external _MarcoWarnLocalPreview
00007ff81ee07d92 (__TEXT,__text) external _MarcoWarnMadrid
00007ff81ee07ee6 (__TEXT,__text) external _MarcoWarnMadridCF
00007ff81ee07f0e (__TEXT,__text) external _MarcoWarnMadridCF_V
00007ff81ee07ec6 (__TEXT,__text) external _MarcoWarnRegistration
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
