00000001804533a0 (__TEXT,__text) external _NSAddImage
0000000180453330 (__TEXT,__text) external _NSAddLibrary
0000000180453368 (__TEXT,__text) external _NSAddLibraryWithSearching
0000000180452cf8 (__TEXT,__text) external _NSAddressOfSymbol
0000000180452ec4 (__TEXT,__text) external _NSCreateObjectFileImageFromFile
0000000180452c10 (__TEXT,__text) external _NSCreateObjectFileImageFromMemory
0000000180452ef8 (__TEXT,__text) external _NSDestroyObjectFileImage
0000000180452c80 (__TEXT,__text) external _NSGetSectionDataInObjectFileImage
00000001804532f0 (__TEXT,__text) external _NSInstallLinkEditErrorHandlers
0000000180453028 (__TEXT,__text) external _NSIsSymbolDefinedInObjectFileImage
00000001804530f0 (__TEXT,__text) external _NSIsSymbolNameDefined
0000000180453154 (__TEXT,__text) external _NSIsSymbolNameDefinedInImage
0000000180453120 (__TEXT,__text) external _NSIsSymbolNameDefinedWithHint
000000018045308c (__TEXT,__text) external _NSLibraryNameForModule
00000001804532ac (__TEXT,__text) external _NSLinkEditError
0000000180452c48 (__TEXT,__text) external _NSLinkModule
0000000180453188 (__TEXT,__text) external _NSLookupAndBindSymbol
00000001804531b8 (__TEXT,__text) external _NSLookupAndBindSymbolWithHint
00000001804531f4 (__TEXT,__text) external _NSLookupSymbolInImage
0000000180452cbc (__TEXT,__text) external _NSLookupSymbolInModule
0000000180453274 (__TEXT,__text) external _NSModuleForSymbol
000000018045305c (__TEXT,__text) external _NSNameOfModule
0000000180453234 (__TEXT,__text) external _NSNameOfSymbol
0000000180452f28 (__TEXT,__text) external _NSSymbolDefinitionCountInObjectFileImage
0000000180452f68 (__TEXT,__text) external _NSSymbolDefinitionNameInObjectFileImage
0000000180452fa8 (__TEXT,__text) external _NSSymbolReferenceCountInObjectFileImage
0000000180452fe8 (__TEXT,__text) external _NSSymbolReferenceNameInObjectFileImage
00000001804530bc (__TEXT,__text) external _NSUnLinkModule
0000000180451ba0 (__TEXT,__text) external _NSVersionOfLinkTimeLibrary
0000000180451e6c (__TEXT,__text) external _NSVersionOfRunTimeLibrary
00000001e82a9838 (__DATA_DIRTY,__common) external _NXArgc
00000001e82a9840 (__DATA_DIRTY,__common) external _NXArgv
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
00000001804518b4 (__TEXT,__text) external __NSGetExecutablePath
000000018046a280 (__TEXT,__text) non-external (was a private external) __Z10bytesToHexPKhmPc
