00007ffa19333f0a (__TEXT,__text) external _CGLGetCurrentContext
00007ffa19333eed (__TEXT,__text) external _CGLSetCurrentContext
00007ffa19329daa (__TEXT,__text) external _glAccum
00007ffa193300e8 (__TEXT,__text) external _glActiveShaderProgram
00007ffa193327f7 (__TEXT,__text) external _glActiveStencilFaceEXT
00007ffa1932cbf2 (__TEXT,__text) external _glActiveTexture
00007ffa193314fa (__TEXT,__text) external _glActiveTextureARB
00007ffa19329dc3 (__TEXT,__text) external _glAlphaFunc
00007ffa19329ddc (__TEXT,__text) external _glAreTexturesResident
00007ffa19329dfb (__TEXT,__text) external _glArrayElement
00007ffa1933204e (__TEXT,__text) external _glAttachObjectARB
00007ffa1932dfe6 (__TEXT,__text) external _glAttachShader
00007ffa19329e14 (__TEXT,__text) external _glBegin
00007ffa1932ebcf (__TEXT,__text) external _glBeginConditionalRender
00007ffa19333dfe (__TEXT,__text) external _glBeginConditionalRenderNV
00007ffa1932d7b4 (__TEXT,__text) external _glBeginQuery
00007ffa19331d77 (__TEXT,__text) external _glBeginQueryARB
00007ffa1932febd (__TEXT,__text) external _glBeginQueryIndexed
00007ffa1932eae1 (__TEXT,__text) external _glBeginTransformFeedback
00007ffa1933303a (__TEXT,__text) external _glBeginTransformFeedbackEXT
00007ffa1932e4af (__TEXT,__text) external _glBindAttribLocation
00007ffa1933248a (__TEXT,__text) external _glBindAttribLocationARB
00007ffa1932d854 (__TEXT,__text) external _glBindBuffer
00007ffa19331e17 (__TEXT,__text) external _glBindBufferARB
00007ffa1932eb3b (__TEXT,__text) external _glBindBufferBase
00007ffa19333019 (__TEXT,__text) external _glBindBufferBaseEXT
00007ffa19332ff5 (__TEXT,__text) external _glBindBufferOffsetEXT
00007ffa1932eb14 (__TEXT,__text) external _glBindBufferRange
00007ffa19332fce (__TEXT,__text) external _glBindBufferRangeEXT
00007ffa1932ef19 (__TEXT,__text) external _glBindFragDataLocation
00007ffa1933358a (__TEXT,__text) external _glBindFragDataLocationEXT
00007ffa1932f619 (__TEXT,__text) external _glBindFragDataLocationIndexed
00007ffa1932e75f (__TEXT,__text) external _glBindFramebuffer
