                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
000000018e365f50 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
000000018e3626d0 (__TEXT,__text) external _FSp_profile_init
000000018e3626d8 (__TEXT,__text) external _FSp_profile_init_path
000000018e365f58 (__TEXT,__text) external _FSp_put_svc_key
000000018e365f60 (__TEXT,__text) external _FSp_read_service_key
00000001d6a35078 (__DATA,__data) external _GSS_C_NT_ANONYMOUS
00000001d6a35090 (__DATA,__data) external _GSS_C_NT_EXPORT_NAME
00000001d6a35050 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE
00000001d6a35038 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE_X
00000001d6a35008 (__DATA,__data) external _GSS_C_NT_MACHINE_UID_NAME
00000001d6a35020 (__DATA,__data) external _GSS_C_NT_STRING_UID_NAME
00000001d6a34ff0 (__DATA,__data) external _GSS_C_NT_USER_NAME
00000001d6a35118 (__DATA,__data) external _GSS_KRB5_MECHANISM
00000001d6a350e8 (__DATA,__data) external _GSS_KRB5_NT_MACHINE_UID_NAME
00000001d6a350b0 (__DATA,__data) external _GSS_KRB5_NT_PRINCIPAL_NAME
00000001d6a350f8 (__DATA,__data) external _GSS_KRB5_NT_STRING_UID_NAME
00000001d6a350d8 (__DATA,__data) external _GSS_KRB5_NT_USER_NAME
000000018e366088 (__TEXT,__text) external _K5ClientGetAuthenticatorForServiceDeprecated
000000018e366080 (__TEXT,__text) external _K5ClientGetTicketForServiceDeprecated
000000018e365ff0 (__TEXT,__text) external _KClientAddCredentialsDeprecated
