
/System/Cryptexes/OS/usr/lib/system/libsystem_kernel.dylib (for architecture x86_64):
0000000000042310 (__DATA,__data) external _NDR_record
0000000000019e22 (__TEXT,__text) non-external __Xexception_raise
0000000000019eca (__TEXT,__text) non-external __Xexception_raise_state
0000000000019fd4 (__TEXT,__text) non-external __Xexception_raise_state_identity
000000000000b0e0 (__TEXT,__text) external _____sigwait_nocancel
000000000002b738 (__TEXT,__const) external ____kernelVersionNumber
000000000002b700 (__TEXT,__const) external ____kernelVersionString
000000000000b0f8 (__TEXT,__text) external ___abort_with_payload
0000000000007868 (__TEXT,__text) external ___accept
000000000000b110 (__TEXT,__text) external ___accept_nocancel
000000000000b128 (__TEXT,__text) external ___access_extended
000000000000b140 (__TEXT,__text) external ___aio_suspend_nocancel
0000000000006d48 (__TEXT,__text) external ___bind
0000000000003b54 (__TEXT,__text) external ___bsdthread_create
00000000000022f8 (__TEXT,__text) external ___bsdthread_ctl
00000000000055d0 (__TEXT,__text) external ___bsdthread_register
0000000000002fa4 (__TEXT,__text) external ___bsdthread_terminate
000000000000c6b6 (__TEXT,__text) non-external ___bzero
000000000000aa97 (__TEXT,__text) external ___carbon_delete
000000000000b158 (__TEXT,__text) external ___channel_get_info
000000000000b170 (__TEXT,__text) external ___channel_get_opt
000000000000b188 (__TEXT,__text) external ___channel_open
000000000000b1a0 (__TEXT,__text) external ___channel_set_opt
000000000000b1b8 (__TEXT,__text) external ___channel_sync
0000000000003ae4 (__TEXT,__text) external ___chmod
00000000000051b0 (__TEXT,__text) external ___chmod_extended
0000000000001fb0 (__TEXT,__text) external ___close_nocancel
000000000000b1d0 (__TEXT,__text) external ___coalition
000000000000b1e8 (__TEXT,__text) external ___coalition_info
000000000000b200 (__TEXT,__text) external ___coalition_ledger
00000000000023c4 (__TEXT,__text) external ___commpage_gettimeofday
00000000000023cb (__TEXT,__text) non-external ___commpage_gettimeofday_internal
0000000000004234 (__TEXT,__text) external ___connect
00000000000040c0 (__TEXT,__text) external ___connect_nocancel
000000000000b218 (__TEXT,__text) external ___copyfile
000000000000b230 (__TEXT,__text) external ___crossarch_trap
0000000000001378 (__TEXT,__text) external ___csrctl
000000000001319b (__TEXT,__text) external ___darwin_check_fd_set_overflow
000000000000b248 (__TEXT,__text) external ___debug_syscall_reject
000000000000b260 (__TEXT,__text) external ___debug_syscall_reject_config
000000000000aab0 (__TEXT,__text) external ___delete
0000000000002f8c (__TEXT,__text) external ___disable_threadsignal
00000000000012df (__TEXT,__text) external ___error
000000000000b278 (__TEXT,__text) external ___execve
00000000000068d0 (__TEXT,__text) external ___exit
000000000000443c (__TEXT,__text) external ___fchmod
00000000000052e4 (__TEXT,__text) external ___fchmod_extended
0000000000001598 (__TEXT,__text) external ___fcntl
0000000000004090 (__TEXT,__text) external ___fcntl_nocancel
0000000000006bb0 (__TEXT,__text) external ___fork
000000000000b290 (__TEXT,__text) external ___fs_snapshot
00000000000052cc (__TEXT,__text) external ___fstat64_extended
000000000000b2a8 (__TEXT,__text) external ___fstat_extended
000000000000b2c0 (__TEXT,__text) external ___fsync_nocancel
00000000000083f9 (__TEXT,__text) external ___get_remove_counter
00000000000012f8 (__TEXT,__text) external ___getattrlist
0000000000002280 (__TEXT,__text) external ___getdirentries64
0000000000005180 (__TEXT,__text) external ___gethostuuid
000000000000a590 (__TEXT,__text) external ___getlogin
0000000000004338 (__TEXT,__text) external ___getpeername
0000000000000f34 (__TEXT,__text) external ___getpid
000000000000279c (__TEXT,__text) external ___getrlimit
000000000000b2d8 (__TEXT,__text) external ___getsgroups
0000000000006c50 (__TEXT,__text) external ___getsockname
000000000000218c (__TEXT,__text) external ___gettid
0000000000003b99 (__TEXT,__text) external ___gettimeofday
0000000000003b84 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
000000000000b2f0 (__TEXT,__text) external ___getwgroups
000000000000b308 (__TEXT,__text) external ___guarded_open_dprotected_np
00000000000037dc (__TEXT,__text) external ___guarded_open_np
000000000000b320 (__TEXT,__text) external ___identitysvc
00000000000039bb (__TEXT,__text) external ___inc_remove_counter
000000000000a578 (__TEXT,__text) external ___initgroups
000000000000421c (__TEXT,__text) external ___ioctl
0000000000004484 (__TEXT,__text) external ___iopolicysys
000000000000b338 (__TEXT,__text) external ___kdebug_trace
0000000000002e14 (__TEXT,__text) external ___kdebug_trace64
000000000000b350 (__TEXT,__text) external ___kdebug_trace_string
00000000000053b4 (__TEXT,__text) external ___kdebug_typefilter
000000000002b7a8 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
000000000002b770 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
0000000000007304 (__TEXT,__text) external ___kill
0000000000005b00 (__TEXT,__text) external ___kqueue_workloop_ctl
0000000000005344 (__TEXT,__text) external ___lchown
00000000000053cb (__TEXT,__text) external ___libkernel_init
000000000000c92b (__TEXT,__text) external ___libkernel_init_after_boot_tasks
000000000000c879 (__TEXT,__text) external ___libkernel_init_late
00000000000055bf (__TEXT,__text) external ___libkernel_platform_init
0000000000000f27 (__TEXT,__text) external ___libkernel_voucher_init
0000000000007850 (__TEXT,__text) external ___listen
000000000000b368 (__TEXT,__text) external ___log_data
0000000000002010 (__TEXT,__text) external ___lseek
00000000000051c8 (__TEXT,__text) external ___lstat64_extended
000000000000b380 (__TEXT,__text) external ___lstat_extended
000000000000b398 (__TEXT,__text) external ___mac_execve
000000000000b3b0 (__TEXT,__text) external ___mac_get_fd
000000000000b3c8 (__TEXT,__text) external ___mac_get_file
000000000000b3e0 (__TEXT,__text) external ___mac_get_link
000000000000b3f8 (__TEXT,__text) external ___mac_get_mount
000000000000b410 (__TEXT,__text) external ___mac_get_pid
000000000000b428 (__TEXT,__text) external ___mac_get_proc
000000000000b440 (__TEXT,__text) external ___mac_getfsstat
000000000000b458 (__TEXT,__text) external ___mac_mount
000000000000b470 (__TEXT,__text) external ___mac_set_fd
000000000000b488 (__TEXT,__text) external ___mac_set_file
000000000000b4a0 (__TEXT,__text) external ___mac_set_link
0000000000007804 (__TEXT,__text) external ___mac_set_proc
00000000000020a8 (__TEXT,__text) external ___mac_syscall
000000000000b4b8 (__TEXT,__text) external ___mach_bridge_remote_time
000000000000b4d0 (__TEXT,__text) external ___mach_eventlink_signal
000000000000b4e8 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
000000000000b500 (__TEXT,__text) external ___mach_eventlink_wait_until
000000000000b518 (__TEXT,__text) external ___map_with_linking_np
000000000000b530 (__TEXT,__text) external ___memorystatus_available_memory
000000000000b548 (__TEXT,__text) external ___microstackshot
000000000000b560 (__TEXT,__text) external ___mkdir_extended
000000000000b578 (__TEXT,__text) external ___mkfifo_extended
0000000000001698 (__TEXT,__text) external ___mmap
0000000000003b6c (__TEXT,__text) external ___mprotect
000000000000b590 (__TEXT,__text) external ___msgctl
000000000000b5a8 (__TEXT,__text) external ___msgrcv_nocancel
000000000000b5c0 (__TEXT,__text) external ___msgsnd_nocancel
000000000000b5d8 (__TEXT,__text) external ___msgsys
0000000000005ab4 (__TEXT,__text) external ___msync
000000000000b5f0 (__TEXT,__text) external ___msync_nocancel
00000000000038c8 (__TEXT,__text) external ___munmap
000000000000b608 (__TEXT,__text) external ___nexus_create
000000000000b620 (__TEXT,__text) external ___nexus_deregister
000000000000b638 (__TEXT,__text) external ___nexus_destroy
000000000000b650 (__TEXT,__text) external ___nexus_get_opt
000000000000b668 (__TEXT,__text) external ___nexus_open
000000000000b680 (__TEXT,__text) external ___nexus_register
000000000000b698 (__TEXT,__text) external ___nexus_set_opt
0000000000001328 (__TEXT,__text) external ___open
00000000000052b4 (__TEXT,__text) external ___open_dprotected_np
000000000000aa68 (__TEXT,__text) external ___open_extended
00000000000015e0 (__TEXT,__text) external ___open_nocancel
0000000000001fc8 (__TEXT,__text) external ___openat
000000000000b6b0 (__TEXT,__text) external ___openat_dprotected_np
0000000000005374 (__TEXT,__text) external ___openat_nocancel
0000000000043020 (__DATA_DIRTY,__bss) non-external ___os_ch_md_redzone_cookie
000000000001754c (__TEXT,__text) non-external ___os_nexus_config_flow
0000000000017404 (__TEXT,__text) external ___os_nexus_flow_add
000000000001746d (__TEXT,__text) external ___os_nexus_flow_del
00000000000175b0 (__TEXT,__text) external ___os_nexus_get_llink_info
0000000000017289 (__TEXT,__text) external ___os_nexus_ifattach
000000000001736f (__TEXT,__text) external ___os_nexus_ifdetach
000000000000b6c8 (__TEXT,__text) external ___oslog_coproc
000000000000b6e0 (__TEXT,__text) external ___oslog_coproc_reg
0000000000003c3c (__TEXT,__text) external ___persona
0000000000005acc (__TEXT,__text) external ___pipe
000000000000b6f8 (__TEXT,__text) external ___poll_nocancel
0000000000006630 (__TEXT,__text) external ___posix_spawn
000000000000b710 (__TEXT,__text) external ___pread_nocancel
000000000000b728 (__TEXT,__text) external ___preadv_nocancel
0000000000001bfc (__TEXT,__text) external ___proc_info
000000000000b740 (__TEXT,__text) external ___proc_info_extended_id
0000000000006cb4 (__TEXT,__text) external ___process_policy
0000000000005904 (__TEXT,__text) external ___pselect
000000000000b758 (__TEXT,__text) external ___pselect_nocancel
000000000000371c (__TEXT,__text) external ___psynch_cvbroad
0000000000003bdc (__TEXT,__text) external ___psynch_cvclrprepost
00000000000047ac (__TEXT,__text) external ___psynch_cvsignal
0000000000003704 (__TEXT,__text) external ___psynch_cvwait
0000000000002fbc (__TEXT,__text) external ___psynch_mutexdrop
0000000000002e88 (__TEXT,__text) external ___psynch_mutexwait
000000000000b770 (__TEXT,__text) external ___psynch_rw_downgrade
000000000000b788 (__TEXT,__text) external ___psynch_rw_longrdlock
0000000000004e54 (__TEXT,__text) external ___psynch_rw_rdlock
0000000000004e3c (__TEXT,__text) external ___psynch_rw_unlock
000000000000b7a0 (__TEXT,__text) external ___psynch_rw_unlock2
000000000000b7b8 (__TEXT,__text) external ___psynch_rw_upgrade
0000000000004e24 (__TEXT,__text) external ___psynch_rw_wrlock
000000000000b7d0 (__TEXT,__text) external ___psynch_rw_yieldwrlock
000000000000a7d4 (__TEXT,__text) external ___pthread_canceled
0000000000006320 (__TEXT,__text) external ___pthread_chdir
0000000000006308 (__TEXT,__text) external ___pthread_fchdir
00000000000077d4 (__TEXT,__text) external ___pthread_kill
000000000000b7e8 (__TEXT,__text) external ___pthread_markcancel
0000000000006874 (__TEXT,__text) external ___pthread_sigmask
