                 (undefined) external _CCHmac (from libSystem)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetCStringPtr (from CoreFoundation)
0000000191276778 (__TEXT,__text) external _NEAuditTokenForPID
000000019127ce08 (__TEXT,__text) non-external _NEAuditTokenForPID.cold.1
000000019127ce88 (__TEXT,__text) non-external _NEAuditTokenForPID.cold.2
00000001912768fc (__TEXT,__text) external _NECopyAuditPortForAuditToken
00000001912768a0 (__TEXT,__text) external _NECopyBootstrapPortForPID
0000000191276624 (__TEXT,__text) external _NECopySigningIdentifierForPID
0000000191276660 (__TEXT,__text) external _NECopySigningIdentifierForXPCMessage
000000019127ccb4 (__TEXT,__text) non-external _NECopySigningIdentifierForXPCMessage.cold.1
000000019127cd38 (__TEXT,__text) non-external _NECopySigningIdentifierForXPCMessage.cold.2
000000019127cd7c (__TEXT,__text) non-external _NECopySigningIdentifierForXPCMessage.cold.3
0000000191276848 (__TEXT,__text) external _NEGIDForAuditToken
                 (undefined) external _NEHelperCacheCopySigningIdentifierMapping (from libSystem)
000000019126041c (__TEXT,__text) external _NEHelperTrackerAddIP
000000019125fcac (__TEXT,__text) external _NEHelperTrackerAddIPForAllFlows
00000001d6a78026 (__DATA,__bss) non-external _NEHelperTrackerAddIPForAllFlows.buffer
000000019127771c (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.1
0000000191277b54 (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.10
0000000191277bc0 (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.11
0000000191277c2c (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.12
00000001912777d0 (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.2
0000000191277840 (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.3
00000001912778ac (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.4
