00007ffb0ae8c962 (__TEXT,__text) non-external _DiToMD5
00007ffb0ae8cbe2 (__TEXT,__text) non-external _DiToSHA1
00007ffb0ae75600 (__TEXT,__text) external _DriverExecutableMain
00007ffb41666dc8 (__DATA_CONST,__const) external _IOBufferMemoryDescriptor_Class
00007ffb0ae74f9d (__TEXT,__text) external _IOCallOnce
00007ffb41667088 (__DATA_CONST,__const) external _IOCommandPool_Class
00007ffb41666f90 (__DATA_CONST,__const) external _IOCommand_Class
00007ffb41667180 (__DATA_CONST,__const) external _IODMACommand_Class
00007ffb41667330 (__DATA_CONST,__const) external _IODataQueueDispatchSource_Class
00007ffb0ae71fd6 (__TEXT,__text) external _IODelay
00007ffb416674e0 (__DATA_CONST,__const) external _IODispatchQueue_Class
00007ffb41667690 (__DATA_CONST,__const) external _IODispatchSource_Class
00007ffb0ae75c0d (__TEXT,__text) external _IODriverKitTest
00007ffb0ae9dbfc (__TEXT,__text) non-external _IODriverKitTest.cold.1
00007ffb0ae9dc1f (__TEXT,__text) non-external _IODriverKitTest.cold.2
00007ffb0ae9dc42 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00007ffb0ae9dc65 (__TEXT,__text) non-external _IODriverKitTest.cold.4
00007ffb0ae9dc88 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00007ffb0ae9dcab (__TEXT,__text) non-external _IODriverKitTest.cold.6
00007ffb0ae9dcd6 (__TEXT,__text) non-external _IODriverKitTest.cold.7
00007ffb0ae9dcf9 (__TEXT,__text) non-external _IODriverKitTest.cold.8
00007ffb41667840 (__DATA_CONST,__const) external _IOEventLink_Class
00007ffb416679f0 (__DATA_CONST,__const) external _IOExtensiblePaniclog_Class
00007ffb0ae71f82 (__TEXT,__text) external _IOFree
00007ffb0ae71fbc (__TEXT,__text) external _IOFreeData
00007ffb0ae75bf1 (__TEXT,__text) external _IOGetExecutableSDKVersion
00007ffb416682c0 (__DATA_CONST,__const) external _IOHistogramReporter_Class
00007ffb41667bd0 (__DATA_CONST,__const) external _IOInterruptDispatchSource_Class
00007ffb0ae71fe9 (__TEXT,__text) non-external (was a private external) _IOLibInit
00007ffb0ae74ca0 (__TEXT,__text) external _IOLockAlloc
00007ffb0ae74cf9 (__TEXT,__text) external _IOLockAssert
00007ffb0ae9d673 (__TEXT,__text) non-external _IOLockAssert.cold.1
00007ffb0ae74cc5 (__TEXT,__text) external _IOLockFree
00007ffb0ae74cdb (__TEXT,__text) external _IOLockLock
