00007ff8400a4790 (__DATA,__data) external _NDR_record
00007ff800af24f3 (__TEXT,__text) non-external __Xexception_raise
00007ff800af259b (__TEXT,__text) non-external __Xexception_raise_state
00007ff800af268d (__TEXT,__text) non-external __Xexception_raise_state_identity
00007ff800adf440 (__TEXT,__text) external _____sigwait_nocancel
00007ff800b08868 (__TEXT,__const) external ____kernelVersionNumber
00007ff800b08830 (__TEXT,__const) external ____kernelVersionString
00007ff800adf458 (__TEXT,__text) external ___abort_with_payload
00007ff800adf470 (__TEXT,__text) external ___accept
00007ff800adf488 (__TEXT,__text) external ___accept_nocancel
00007ff800adf4a0 (__TEXT,__text) external ___access_extended
00007ff800adf4b8 (__TEXT,__text) external ___aio_suspend_nocancel
00007ff800adf4d0 (__TEXT,__text) external ___bind
00007ff800adf4e8 (__TEXT,__text) external ___bsdthread_create
00007ff800adf500 (__TEXT,__text) external ___bsdthread_ctl
00007ff800adf518 (__TEXT,__text) external ___bsdthread_register
00007ff800adf530 (__TEXT,__text) external ___bsdthread_terminate
00007ff800af1838 (__TEXT,__text) external ___carbon_delete
00007ff800adf548 (__TEXT,__text) external ___channel_get_info
00007ff800adf560 (__TEXT,__text) external ___channel_get_opt
00007ff800adf578 (__TEXT,__text) external ___channel_open
00007ff800adf590 (__TEXT,__text) external ___channel_set_opt
00007ff800adf5a8 (__TEXT,__text) external ___channel_sync
00007ff800adf5c0 (__TEXT,__text) external ___chmod
00007ff800adf5d8 (__TEXT,__text) external ___chmod_extended
00007ff800adf5f0 (__TEXT,__text) external ___close_nocancel
00007ff800adf608 (__TEXT,__text) external ___coalition
00007ff800adf620 (__TEXT,__text) external ___coalition_info
00007ff800adf638 (__TEXT,__text) external ___coalition_ledger
00007ff800ae51b2 (__TEXT,__text) external ___commpage_gettimeofday
00007ff800ae51b9 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00007ff800adf650 (__TEXT,__text) external ___connect
00007ff800adf668 (__TEXT,__text) external ___connect_nocancel
00007ff800adf680 (__TEXT,__text) external ___copyfile
00007ff800adf698 (__TEXT,__text) external ___crossarch_trap
00007ff800adf6b0 (__TEXT,__text) external ___csrctl
00007ff800ae9e28 (__TEXT,__text) external ___darwin_check_fd_set_overflow
00007ff800adf6c8 (__TEXT,__text) external ___debug_syscall_reject
00007ff800adf6e0 (__TEXT,__text) external ___debug_syscall_reject_config
00007ff800adf6f8 (__TEXT,__text) external ___delete
00007ff800adf710 (__TEXT,__text) external ___disable_threadsignal
00007ff800ae58c3 (__TEXT,__text) external ___error
00007ff800adf728 (__TEXT,__text) external ___execve
00007ff800adf740 (__TEXT,__text) external ___exit
00007ff800adf758 (__TEXT,__text) external ___fchmod
00007ff800adf770 (__TEXT,__text) external ___fchmod_extended
00007ff800adf788 (__TEXT,__text) external ___fcntl
00007ff800adf7a0 (__TEXT,__text) external ___fcntl_nocancel
00007ff800adf7b8 (__TEXT,__text) external ___fork
00007ff800adf7f0 (__TEXT,__text) external ___fs_snapshot
00007ff800adf808 (__TEXT,__text) external ___fstat64_extended
00007ff800adf820 (__TEXT,__text) external ___fstat_extended
00007ff800adf838 (__TEXT,__text) external ___fsync_nocancel
00007ff800aef455 (__TEXT,__text) external ___get_remove_counter
00007ff800adf850 (__TEXT,__text) external ___getattrlist
00007ff800adf868 (__TEXT,__text) external ___getdirentries64
00007ff800adf880 (__TEXT,__text) external ___gethostuuid
00007ff800adf898 (__TEXT,__text) external ___getlogin
00007ff800adf8b0 (__TEXT,__text) external ___getpeername
00007ff800adf8c8 (__TEXT,__text) external ___getpid
00007ff800adf8fc (__TEXT,__text) external ___getrlimit
00007ff800adf914 (__TEXT,__text) external ___getsgroups
00007ff800adf92c (__TEXT,__text) external ___getsockname
00007ff800adf944 (__TEXT,__text) external ___gettid
00007ff800adf971 (__TEXT,__text) external ___gettimeofday
00007ff800adf95c (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00007ff800adf99c (__TEXT,__text) external ___getwgroups
00007ff800adf9b4 (__TEXT,__text) external ___guarded_open_dprotected_np
00007ff800adf9cc (__TEXT,__text) external ___guarded_open_np
00007ff800adf9e4 (__TEXT,__text) external ___identitysvc
00007ff800aef460 (__TEXT,__text) external ___inc_remove_counter
00007ff800adf9fc (__TEXT,__text) external ___initgroups
00007ff800adfa14 (__TEXT,__text) external ___ioctl
00007ff800adfa2c (__TEXT,__text) external ___iopolicysys
00007ff800adfa44 (__TEXT,__text) external ___kdebug_trace
00007ff800adfa5c (__TEXT,__text) external ___kdebug_trace64
00007ff800adfa74 (__TEXT,__text) external ___kdebug_trace_string
00007ff800adfa8c (__TEXT,__text) external ___kdebug_typefilter
00007ff800b088d8 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00007ff800b088a0 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00007ff800adfaa4 (__TEXT,__text) external ___kill
00007ff800adfabc (__TEXT,__text) external ___kqueue_workloop_ctl
00007ff800adfad4 (__TEXT,__text) external ___lchown
00007ff800ae205a (__TEXT,__text) external ___libkernel_init
00007ff800ae208d (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00007ff800ae208c (__TEXT,__text) external ___libkernel_init_late
00007ff800ae1ee3 (__TEXT,__text) external ___libkernel_platform_init
00007ff800ae1f0a (__TEXT,__text) external ___libkernel_voucher_init
00007ff800adfaec (__TEXT,__text) external ___listen
00007ff800adfb04 (__TEXT,__text) external ___log_data
00007ff800adfb1c (__TEXT,__text) external ___lseek
00007ff800adfb34 (__TEXT,__text) external ___lstat64_extended
00007ff800adfb4c (__TEXT,__text) external ___lstat_extended
00007ff800adfb64 (__TEXT,__text) external ___mac_execve
00007ff800adfb7c (__TEXT,__text) external ___mac_get_fd
00007ff800adfb94 (__TEXT,__text) external ___mac_get_file
00007ff800adfbac (__TEXT,__text) external ___mac_get_link
00007ff800adfbc4 (__TEXT,__text) external ___mac_get_mount
00007ff800adfbdc (__TEXT,__text) external ___mac_get_pid
00007ff800adfbf4 (__TEXT,__text) external ___mac_get_proc
00007ff800adfc0c (__TEXT,__text) external ___mac_getfsstat
00007ff800adfc24 (__TEXT,__text) external ___mac_mount
00007ff800adfc3c (__TEXT,__text) external ___mac_set_fd
00007ff800adfc54 (__TEXT,__text) external ___mac_set_file
00007ff800adfc6c (__TEXT,__text) external ___mac_set_link
00007ff800adfc84 (__TEXT,__text) external ___mac_set_proc
00007ff800adfc9c (__TEXT,__text) external ___mac_syscall
00007ff800adfcb4 (__TEXT,__text) external ___mach_bridge_remote_time
00007ff800adfccc (__TEXT,__text) external ___mach_eventlink_signal
00007ff800adfce4 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00007ff800adfcfc (__TEXT,__text) external ___mach_eventlink_wait_until
00007ff800adfd14 (__TEXT,__text) external ___map_with_linking_np
00007ff800adfd2c (__TEXT,__text) external ___memorystatus_available_memory
00007ff800adfd44 (__TEXT,__text) external ___microstackshot
00007ff800adfd5c (__TEXT,__text) external ___mkdir_extended
00007ff800adfd74 (__TEXT,__text) external ___mkfifo_extended
00007ff800adfd8c (__TEXT,__text) external ___mmap
00007ff800adfda4 (__TEXT,__text) external ___mprotect
00007ff800adfdbc (__TEXT,__text) external ___msgctl
00007ff800adfdd4 (__TEXT,__text) external ___msgrcv_nocancel
00007ff800adfdec (__TEXT,__text) external ___msgsnd_nocancel
00007ff800adfe04 (__TEXT,__text) external ___msgsys
00007ff800adfe1c (__TEXT,__text) external ___msync
00007ff800adfe34 (__TEXT,__text) external ___msync_nocancel
00007ff800adfe4c (__TEXT,__text) external ___munmap
00007ff800adfe64 (__TEXT,__text) external ___nexus_create
00007ff800adfe7c (__TEXT,__text) external ___nexus_deregister
00007ff800adfe94 (__TEXT,__text) external ___nexus_destroy
00007ff800adfeac (__TEXT,__text) external ___nexus_get_opt
00007ff800adfec4 (__TEXT,__text) external ___nexus_open
00007ff800adfedc (__TEXT,__text) external ___nexus_register
00007ff800adfef4 (__TEXT,__text) external ___nexus_set_opt
00007ff800adff0c (__TEXT,__text) external ___open
00007ff800adff24 (__TEXT,__text) external ___open_dprotected_np
00007ff800adff3c (__TEXT,__text) external ___open_extended
00007ff800adff54 (__TEXT,__text) external ___open_nocancel
00007ff800adff6c (__TEXT,__text) external ___openat
00007ff800adff84 (__TEXT,__text) external ___openat_dprotected_np
00007ff800adff9c (__TEXT,__text) external ___openat_nocancel
00007ff8400a4ec0 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
00007ff800aeea5e (__TEXT,__text) external ___os_nexus_flow_add
00007ff800aeead1 (__TEXT,__text) external ___os_nexus_flow_del
00007ff800aeec09 (__TEXT,__text) external ___os_nexus_get_llink_info
00007ff800aee884 (__TEXT,__text) external ___os_nexus_ifattach
00007ff800aee995 (__TEXT,__text) external ___os_nexus_ifdetach
00007ff800adffb4 (__TEXT,__text) external ___persona
00007ff800adffcc (__TEXT,__text) external ___pipe
00007ff800adffe8 (__TEXT,__text) external ___poll_nocancel
00007ff800ae0000 (__TEXT,__text) external ___posix_spawn
00007ff800ae0018 (__TEXT,__text) external ___pread_nocancel
00007ff800ae0030 (__TEXT,__text) external ___preadv_nocancel
00007ff800ae0048 (__TEXT,__text) external ___proc_info
00007ff800ae0060 (__TEXT,__text) external ___proc_info_extended_id
00007ff800ae0078 (__TEXT,__text) external ___process_policy
00007ff800ae0090 (__TEXT,__text) external ___pselect
00007ff800ae00a8 (__TEXT,__text) external ___pselect_nocancel
00007ff800ae00c0 (__TEXT,__text) external ___psynch_cvbroad
00007ff800ae00d8 (__TEXT,__text) external ___psynch_cvclrprepost
00007ff800ae00f0 (__TEXT,__text) external ___psynch_cvsignal
00007ff800ae0108 (__TEXT,__text) external ___psynch_cvwait
00007ff800ae0120 (__TEXT,__text) external ___psynch_mutexdrop
00007ff800ae0138 (__TEXT,__text) external ___psynch_mutexwait
00007ff800ae0150 (__TEXT,__text) external ___psynch_rw_downgrade
00007ff800ae0168 (__TEXT,__text) external ___psynch_rw_longrdlock
00007ff800ae0180 (__TEXT,__text) external ___psynch_rw_rdlock
00007ff800ae0198 (__TEXT,__text) external ___psynch_rw_unlock
00007ff800ae01b0 (__TEXT,__text) external ___psynch_rw_unlock2
00007ff800ae01c8 (__TEXT,__text) external ___psynch_rw_upgrade
00007ff800ae01e0 (__TEXT,__text) external ___psynch_rw_wrlock
00007ff800ae01f8 (__TEXT,__text) external ___psynch_rw_yieldwrlock
00007ff800ae0210 (__TEXT,__text) external ___pthread_canceled
00007ff800ae0228 (__TEXT,__text) external ___pthread_chdir
00007ff800ae0240 (__TEXT,__text) external ___pthread_fchdir
00007ff800ae0258 (__TEXT,__text) external ___pthread_kill
00007ff800ae0270 (__TEXT,__text) external ___pthread_markcancel
00007ff800ae0288 (__TEXT,__text) external ___pthread_sigmask
00007ff800ae02a0 (__TEXT,__text) external ___ptrace
00007ff800ae02c4 (__TEXT,__text) external ___pwrite_nocancel
00007ff800ae02dc (__TEXT,__text) external ___pwritev_nocancel
00007ff800ae02f4 (__TEXT,__text) external ___read_nocancel
00007ff800ae030c (__TEXT,__text) external ___readv_nocancel
00007ff800ae0324 (__TEXT,__text) external ___reboot
00007ff800ae033c (__TEXT,__text) external ___record_system_event
00007ff800ae0354 (__TEXT,__text) external ___recvfrom
00007ff800ae036c (__TEXT,__text) external ___recvfrom_nocancel
00007ff800ae0384 (__TEXT,__text) external ___recvmsg
00007ff800ae039c (__TEXT,__text) external ___recvmsg_nocancel
00007ff8400a4ee0 (__DATA,__bss) non-external ___remove_counter
00007ff800ae03b4 (__TEXT,__text) external ___rename
00007ff800ae03cc (__TEXT,__text) external ___renameat
00007ff800ae03e4 (__TEXT,__text) external ___renameatx_np
00007ff800ae03fc (__TEXT,__text) external ___rmdir
00007ff800adfb64 (__TEXT,__text) external ___sandbox_me
00007ff800adfc24 (__TEXT,__text) external ___sandbox_mm
00007ff800adfc9c (__TEXT,__text) external ___sandbox_ms
00007ff800adfc84 (__TEXT,__text) external ___sandbox_msp
00007ff800ae0414 (__TEXT,__text) external ___select
00007ff800ae042c (__TEXT,__text) external ___select_nocancel
00007ff800ae0444 (__TEXT,__text) external ___sem_open
00007ff800ae045c (__TEXT,__text) external ___sem_wait_nocancel
00007ff800ae0474 (__TEXT,__text) external ___semctl
00007ff800ae048c (__TEXT,__text) external ___semsys
00007ff800ae04a4 (__TEXT,__text) external ___semwait_signal
00007ff800ae04bc (__TEXT,__text) external ___semwait_signal_nocancel
00007ff800ae04d4 (__TEXT,__text) external ___sendmsg
00007ff800ae04ec (__TEXT,__text) external ___sendmsg_nocancel
00007ff800ae0504 (__TEXT,__text) external ___sendto
00007ff800ae051c (__TEXT,__text) external ___sendto_nocancel
00007ff800ae0534 (__TEXT,__text) external ___setattrlist
00007ff800ae054c (__TEXT,__text) external ___setlogin
00007ff800ae0564 (__TEXT,__text) external ___setpriority
00007ff800ae057c (__TEXT,__text) external ___setregid
00007ff800ae0594 (__TEXT,__text) external ___setreuid
00007ff800ae05ac (__TEXT,__text) external ___setrlimit
00007ff800ae05c4 (__TEXT,__text) external ___setsgroups
00007ff800ae05dc (__TEXT,__text) external ___settid
00007ff800ae05f4 (__TEXT,__text) external ___settid_with_pid
00007ff800ae060c (__TEXT,__text) external ___settimeofday
00007ff800ae0624 (__TEXT,__text) external ___setwgroups
00007ff800ae063c (__TEXT,__text) external ___sfi_ctl
00007ff800ae0654 (__TEXT,__text) external ___sfi_pidctl
00007ff800ae066c (__TEXT,__text) external ___shared_region_check_np
00007ff800ae0684 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
00007ff800ae069c (__TEXT,__text) external ___shm_open
00007ff800ae06b4 (__TEXT,__text) external ___shmctl
00007ff800ae06cc (__TEXT,__text) external ___shmsys
00007ff800ae06e4 (__TEXT,__text) external ___sigaction
00007ff800ae06fc (__TEXT,__text) external ___sigaltstack
00007ff800ae0714 (__TEXT,__text) external ___sigreturn
00007ff800ae072c (__TEXT,__text) external ___sigsuspend
00007ff800ae0744 (__TEXT,__text) external ___sigsuspend_nocancel
00007ff800ae075c (__TEXT,__text) external ___sigwait
00007ff800ae0774 (__TEXT,__text) external ___socketpair
00007ff800ae078c (__TEXT,__text) external ___stack_snapshot_with_config
00007ff800ae07a4 (__TEXT,__text) external ___stat64_extended
00007ff800ae07bc (__TEXT,__text) external ___stat_extended
00007ff800ae07d4 (__TEXT,__text) external ___syscall
00007ff8400a4e80 (__DATA,__common) external ___syscall_logger
00007ff800ae07ec (__TEXT,__text) external ___sysctl
00007ff800ae0804 (__TEXT,__text) external ___sysctlbyname
00007ff800ae081c (__TEXT,__text) external ___telemetry
00007ff800ae0834 (__TEXT,__text) external ___terminate_with_payload
00007ff800ae084c (__TEXT,__text) external ___thread_selfid
00007ff800ae0864 (__TEXT,__text) external ___thread_selfusage
00007ff800ae087c (__TEXT,__text) external ___ulock_wait
00007ff800ae0894 (__TEXT,__text) external ___ulock_wait2
00007ff800ae08ac (__TEXT,__text) external ___ulock_wake
00007ff800ae08c4 (__TEXT,__text) external ___umask_extended
00007ff800ae08dc (__TEXT,__text) external ___unlink
00007ff800ae08f4 (__TEXT,__text) external ___unlinkat
00007ff800ae090c (__TEXT,__text) external ___vfork
00007ff800ae0964 (__TEXT,__text) external ___wait4
00007ff800ae097c (__TEXT,__text) external ___wait4_nocancel
00007ff800ae0994 (__TEXT,__text) external ___waitid_nocancel
00007ff800ae09ac (__TEXT,__text) external ___work_interval_ctl
00007ff800ae09c4 (__TEXT,__text) external ___workq_kernreturn
00007ff800ae09dc (__TEXT,__text) external ___workq_open
00007ff800ae09f4 (__TEXT,__text) external ___write_nocancel
00007ff800ae0a0c (__TEXT,__text) external ___writev_nocancel
00007ff8400a4834 (__DATA,__common) external __cpu_capabilities
00007ff8400a4830 (__DATA,__common) external __cpu_has_altivec
00007ff8400a45b0 (__DATA,__data) non-external (was a private external) __current_pid
00007ff8400a4e98 (__DATA,__bss) non-external __dlsym
00007ff800adeed4 (__TEXT,__text) external __exclaves_ctl_trap
00007ff800adf740 (__TEXT,__text) external __exit
00007ff800adf430 (__TEXT,__text) external __get_cpu_capabilities
00007ff8400a4eb8 (__DATA,__bss) non-external __gethostuuid_callback
00007ff800ae7219 (__TEXT,__text) external __getprivatesystemidentifier
00007ff800af4cf8 (__TEXT,__text) external __host_page_size
00007ff800aef5a0 (__TEXT,__text) external __init_cpu_capabilities
00007ff800af61ed (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
00007ff800af74b7 (__TEXT,__text) external __kernelrpc_mach_port_allocate
00007ff800af880d (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
00007ff800af73c7 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00007ff800af86bb (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00007ff800adecc4 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00007ff800afa1e0 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00007ff800af9522 (__TEXT,__text) external __kernelrpc_mach_port_construct
00007ff800aded18 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
00007ff800af76da (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00007ff800adecd0 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
00007ff800af75eb (__TEXT,__text) external __kernelrpc_mach_port_destroy
00007ff800af965e (__TEXT,__text) external __kernelrpc_mach_port_destruct
