00007ffb0a5ca57b (__TEXT,__text) external _LLVMExtraCreateBinary
00007ffb0a5ca676 (__TEXT,__text) external _LLVMExtraDisposeBinary
00007ffb0a5ca533 (__TEXT,__text) external _LLVMExtraDisposeSharedModule
00007ffb0a5ca762 (__TEXT,__text) external _LLVMExtraGetSymbolImplAddress
00007ffb0a5ca8b0 (__TEXT,__text) external _LLVMExtraGetSymbolImplName
00007ffb0a5ca809 (__TEXT,__text) external _LLVMExtraGetSymbolImplSize
00007ffb0a5ca688 (__TEXT,__text) external _LLVMExtraMachOUniversalBinaryCopyIRForArch
00007ffb0a5ca4ee (__TEXT,__text) external _LLVMExtraMakeSharedModule
00007ffb0a5ca44d (__TEXT,__text) external _MTLArchiveAddMember
00007ffb0a5ca3ed (__TEXT,__text) external _MTLArchiveCreate
00007ffb0a5ca42b (__TEXT,__text) external _MTLArchiveDestroy
00007ffb0a5ccb61 (__TEXT,__text) external _MTLArchiveGetAsObject
00007ffb0a5ca4d5 (__TEXT,__text) external _MTLArchiveGetMemberNo
00007ffb0a5ca4bd (__TEXT,__text) external _MTLArchiveGetMembersCount
00007ffb0a5ccbdf (__TEXT,__text) external _MTLCreateScript
00007ffb0a5ccd29 (__TEXT,__text) external _MTLDestroyScript
00007ffb0a5c4fac (__TEXT,__text) external _MTLDowngradeAIRModule
00007ffb0a5c8198 (__TEXT,__text) external _MTLFunctionGroupCreate
00007ffb0a5c8342 (__TEXT,__text) external _MTLFunctionGroupDestroy
00007ffb0a5c8396 (__TEXT,__text) external _MTLFunctionGroupGetFunctionAtIndex
00007ffb0a5c838d (__TEXT,__text) external _MTLFunctionGroupGetFunctionsCount
00007ffb0a5c8376 (__TEXT,__text) external _MTLFunctionGroupGetName
00007ffb0a5c4486 (__TEXT,__text) external _MTLGPUArchiverAddDescriptor
00007ffb0a5c43b0 (__TEXT,__text) external _MTLGPUArchiverAddPipeline
00007ffb0a5c490f (__TEXT,__text) external _MTLGPUArchiverAddTool
00007ffb0a5c42be (__TEXT,__text) external _MTLGPUArchiverAddUnit
00007ffb0a5c4aa5 (__TEXT,__text) external _MTLGPUArchiverBuildToBuffer
00007ffb0a5c4b51 (__TEXT,__text) external _MTLGPUArchiverBuildToFD
00007ffb0a5c3e6e (__TEXT,__text) external _MTLGPUArchiverCreateCoreImageWriter
00007ffb0a5c40f0 (__TEXT,__text) external _MTLGPUArchiverCreateCoreImageWriterWithId
00007ffb0a5c3f44 (__TEXT,__text) external _MTLGPUArchiverCreateDynamicLibraryWriter
00007ffb0a5c41c6 (__TEXT,__text) external _MTLGPUArchiverCreateDynamicLibraryWriterWithId
00007ffb0a5c3d98 (__TEXT,__text) external _MTLGPUArchiverCreateExecutableWriter
00007ffb0a5c401a (__TEXT,__text) external _MTLGPUArchiverCreateExecutableWriterWithId
00007ffb0a5c429c (__TEXT,__text) external _MTLGPUArchiverDestroy
00007ffb0a5c4cb6 (__TEXT,__text) external _MTLGPUArchiverDumpStateToBuffer
00007ffb0a5c4d62 (__TEXT,__text) external _MTLGPUArchiverDumpStateToFD
00007ffb0a5c4c1e (__TEXT,__text) external _MTLGPUArchiverFlush
00007ffb0a5c4e6e (__TEXT,__text) external _MTLGPUArchiverFromId
00007ffb0a5c4a0d (__TEXT,__text) external _MTLGPUArchiverPackUnits
00007ffb0a5c486b (__TEXT,__text) external _MTLGPUArchiverSetActivePlatform
