00007ff90f6574ae (__TEXT,__text) non-external +[Caller current]
00007ff90f657a89 (__TEXT,__text) non-external +[Caller pathFromPid:]
00007ff90f659c26 (__TEXT,__text) non-external +[DaemonUtils _enumAllSubrequirements:processingBlock:]
00007ff90f659ceb (__TEXT,__text) non-external +[DaemonUtils _isNonUiExtensionPointIdentifier:]
00007ff90f659860 (__TEXT,__text) non-external +[DaemonUtils _updateDFRStatus]
00007ff90f668ae6 (__TEXT,__text) non-external +[DaemonUtils _updateDFRStatus].cold.1
00007ff90f659942 (__TEXT,__text) non-external +[DaemonUtils _updateWithDFRStatus:source:]
00007ff90f658df5 (__TEXT,__text) non-external +[DaemonUtils callerDisplayNameWithPid:auditToken:bundleId:]
00007ff90f659057 (__TEXT,__text) non-external +[DaemonUtils callerIdWithPid:auditToken:]
00007ff90f65a477 (__TEXT,__text) non-external +[DaemonUtils canCallToDependencies]
00007ff90f65979e (__TEXT,__text) non-external +[DaemonUtils deviceHasAtLeastSimulatedDFR]
00007ff90f6596dc (__TEXT,__text) non-external +[DaemonUtils deviceHasDFR]
00007ff90f659e7e (__TEXT,__text) non-external +[DaemonUtils deviceHasPearl]
00007ff90f668ba4 (__TEXT,__text) non-external +[DaemonUtils deviceHasPearl].cold.1
00007ff90f659d6a (__TEXT,__text) non-external +[DaemonUtils deviceHasSEP]
00007ff90f668b58 (__TEXT,__text) non-external +[DaemonUtils deviceHasSEP].cold.1
00007ff90f659a6d (__TEXT,__text) non-external +[DaemonUtils deviceHasSecureDFR]
00007ff90f65a131 (__TEXT,__text) non-external +[DaemonUtils deviceHasSecureDoublePressHW]
00007ff90f65a1bc (__TEXT,__text) non-external +[DaemonUtils deviceHasSpecialTouchID]
00007ff90f65a238 (__TEXT,__text) non-external +[DaemonUtils deviceHasTouchIDAndSecureDoublePress]
00007ff90f659f92 (__TEXT,__text) non-external +[DaemonUtils deviceHasTouchID]
00007ff90f668bf0 (__TEXT,__text) non-external +[DaemonUtils deviceHasTouchID].cold.1
00007ff90f65a1fa (__TEXT,__text) non-external +[DaemonUtils deviceIsPoseidon]
00007ff90f65a0a6 (__TEXT,__text) non-external +[DaemonUtils deviceSupportsSecureDoubleClick]
00007ff90f659a51 (__TEXT,__text) non-external +[DaemonUtils dfrHardwarePresent]
00007ff90f659a3f (__TEXT,__text) non-external +[DaemonUtils dfrPresent]
00007ff90f659a60 (__TEXT,__text) non-external +[DaemonUtils dfrStatus]
00007ff90f65a3fd (__TEXT,__text) non-external +[DaemonUtils dispatchOnServer:]
00007ff90f65a276 (__TEXT,__text) non-external +[DaemonUtils dispatchReallyAfter:tolerance:queue:block:]
00007ff90f65a39f (__TEXT,__text) non-external +[DaemonUtils dispatchSyncOnMain:]
00007ff90f659441 (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:]
00007ff90f6689a4 (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.1
00007ff90f6689fe (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.2
00007ff90f668a58 (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.3
00007ff90f668a8c (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.4
00007ff90f65933f (__TEXT,__text) non-external +[DaemonUtils isClosedLidPreventingUseOfTouchID]
00007ff90f659120 (__TEXT,__text) non-external +[DaemonUtils isLidClosed]
00007ff90f6688f0 (__TEXT,__text) non-external +[DaemonUtils isLidClosed].cold.1
00007ff90f668924 (__TEXT,__text) non-external +[DaemonUtils isLidClosed].cold.2
00007ff90f668958 (__TEXT,__text) non-external +[DaemonUtils isLidClosed].cold.3
00007ff90f658d9e (__TEXT,__text) non-external +[DaemonUtils queue]
00007ff90f658d1f (__TEXT,__text) non-external +[DaemonUtils sharedInstance]
00007ff90f6688c0 (__TEXT,__text) non-external +[DaemonUtils sharedInstance].cold.1
00007ff90f65580f (__TEXT,__text) non-external +[EvaluationRequest current]
00007ff90f6569bb (__TEXT,__text) non-external +[EvaluationRequest isApplePayPolicy:]
00007ff90f65439a (__TEXT,__text) non-external +[InstalledAppsCache sharedInstance]
00007ff90f6686af (__TEXT,__text) non-external +[InstalledAppsCache sharedInstance].cold.1
00007ff90f64e448 (__TEXT,__text) non-external +[LAAnalyticsPasscodeFallbackPeriod _persistedInstancesStorage]
00007ff90f66805b (__TEXT,__text) non-external +[LAAnalyticsPasscodeFallbackPeriod _persistedInstancesStorage].cold.1
00007ff90f64db22 (__TEXT,__text) non-external +[LAAnalyticsPasscodeFallbackPeriod activePersistentInstances]
00007ff90f661817 (__TEXT,__text) non-external +[LASIORemoteCall call]
00007ff90f664aad (__TEXT,__text) non-external +[LASecureIO secureIO]
00007ff90f660f81 (__TEXT,__text) non-external +[LASecureIOArchive createArchiveFromPath:]
00007ff90f6608d0 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:]
00007ff90f6613ca (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.1
00007ff90f6614a4 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.2
00007ff90f661581 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.3
00007ff90f66165e (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.4
00007ff90f66173b (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.5
00007ff90f6515e6 (__TEXT,__text) non-external +[LASecureIOHelper sharedInstance]
00007ff90f6683cf (__TEXT,__text) non-external +[LASecureIOHelper sharedInstance].cold.1
00007ff90f667f6c (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromCredentialType:]
00007ff90f667f42 (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromNotification:]
00007ff90f667ee2 (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromOperation:]
00007ff90f667f02 (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromScene:]
00007ff90f667f22 (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromUserInput:]
00007ff90f64e6d2 (__TEXT,__text) non-external +[NSDictionary(Merge) dictionaryByMerging:with:]
00007ff90f64e96c (__TEXT,__text) non-external +[PreflightCache sharedInstance]
00007ff90f668073 (__TEXT,__text) non-external +[PreflightCache sharedInstance].cold.1
00007ff90f654650 (__TEXT,__text) non-external +[PreflightCacheInvalidationSource voidInvalidationSource]
00007ff90f6686c7 (__TEXT,__text) non-external +[PreflightCacheInvalidationSource voidInvalidationSource].cold.1
00007ff90f652c27 (__TEXT,__text) non-external +[PushButtonMonitor sharedInstance]
00007ff90f6684a5 (__TEXT,__text) non-external +[PushButtonMonitor sharedInstance].cold.1
00007ff90f655573 (__TEXT,__text) non-external +[Request current]
00007ff90f6554fc (__TEXT,__text) non-external +[Request localRequest]
00007ff90f6553cf (__TEXT,__text) non-external +[Request requestFromCurrentConnection]
00007ff90f668752 (__TEXT,__text) non-external +[Request requestFromCurrentConnection].cold.1
00007ff90f66876a (__TEXT,__text) non-external +[Request requestFromCurrentConnection].cold.2
00007ff90f657bac (__TEXT,__text) non-external +[TrustedAccessoryHelper sharedInstance]
00007ff90f66885e (__TEXT,__text) non-external +[TrustedAccessoryHelper sharedInstance].cold.1
00007ff90f6502b3 (__TEXT,__text) non-external +[WatchMonitor sharedInstance]
00007ff90f668229 (__TEXT,__text) non-external +[WatchMonitor sharedInstance].cold.1
00007ff90f64dad6 (__TEXT,__text) non-external -[BiometryHelper _isTrustedAccessorySupported]
00007ff90f654df2 (__TEXT,__text) non-external -[BiometryLockoutInvalidationSource initWithPreflightCache:]
00007ff90f654eed (__TEXT,__text) non-external -[BiometryLockoutInvalidationSource invalidationReason]
00007ff90f654e28 (__TEXT,__text) non-external -[BiometryLockoutInvalidationSource updateStatus]
