00000001a241afc8 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001a241afec (__TEXT,__text) non-external +[AMFI preflightBinary:withPlatform:error:]
00000001a240f040 (__TEXT,__text) non-external +[AppWrapper isAppWrapper:]
00000001a240f19c (__TEXT,__text) non-external +[AppWrapper wrappedAppURL:]
00000001a241b274 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:]
00000001a241e070 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.1
00000001a241e0f0 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.2
00000001a241b53c (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperProfileIsTrusted:]
00000001a240f884 (__TEXT,__text) non-external +[GKScanResult supportsSecureCoding]
00000001a241535c (__TEXT,__text) non-external +[MIS currentDeviceID]
00000001a24153f4 (__TEXT,__text) non-external +[MIS findProvisioningProfile:]
00000001a2415914 (__TEXT,__text) non-external +[MIS installProvisioningProfile:]
00000001a241d624 (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.1
00000001a241d658 (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.2
00000001a241533c (__TEXT,__text) non-external +[MIS isAvailable]
00000001a2415828 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:]
00000001a241d5bc (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.1
00000001a241d5f0 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.2
00000001a2415774 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:]
00000001a241d588 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:].cold.1
00000001a2415580 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:]
00000001a241d458 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.1
00000001a241d4c4 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.2
00000001a241d4f8 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.3
00000001a241d52c (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.4
00000001a2415b24 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:]
00000001a241d790 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.1
00000001a241d810 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.2
00000001a2415a0c (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:]
00000001a241d6b4 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.1
00000001a241d734 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.2
00000001a241a218 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:]
00000001a241dd28 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.1
00000001a241dd84 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.2
00000001a2410be0 (__TEXT,__text) non-external +[SPExecutionHistoryItem executionHistoryItemWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00000001a2410d20 (__TEXT,__text) non-external +[SPExecutionHistoryItem supportsSecureCoding]
00000001a240f3a8 (__TEXT,__text) non-external +[SPExecutionPolicyItem supportsSecureCoding]
00000001a240a990 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:]
00000001a241b9b4 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.1
00000001a241ba88 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.2
00000001a240a6e4 (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths]
00000001a2414f14 (__TEXT,__text) non-external +[SPKernelExtensionHistoryItem supportsSecureCoding]
00000001a24113b0 (__TEXT,__text) non-external +[SPKernelExtensionPolicy findBundledKernelExtensions:]
00000001a2409030 (__TEXT,__text) non-external +[SPKernelExtensionPolicyItem supportsSecureCoding]
00000001a2410668 (__TEXT,__text) non-external +[SPLog exec]
00000001a24109b0 (__TEXT,__text) non-external +[SPLog generateSignpostID]
00000001a2410530 (__TEXT,__text) non-external +[SPLog generic]
00000001a24105cc (__TEXT,__text) non-external +[SPLog kext]
00000001a2410704 (__TEXT,__text) non-external +[SPLog measurements]
00000001a24109a4 (__TEXT,__text) non-external +[SPLog setVerboseLogging:]
00000001a24107a0 (__TEXT,__text) non-external +[SPLog signposts]
00000001a241083c (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled]
00000001a2417bf0 (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:]
00000001a2417628 (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:]
00000001a2416b34 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:]
00000001a241d9a4 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:].cold.1
00000001a2416988 (__TEXT,__text) non-external +[SPMigration gatekeeperMigrationDataPath:]
00000001a2416974 (__TEXT,__text) non-external +[SPMigration kernelExtensionMigrationDataPath:]
00000001a2416f38 (__TEXT,__text) non-external +[SPMigration readKernelExtensionMigrationPolicy:]
00000001a2416aec (__TEXT,__text) non-external +[SPMigration volumeRequiresGatekeeperMigration:]
00000001a241699c (__TEXT,__text) non-external +[SPMigration volumeRequiresKernelExtensionMigration:]
00000001a2419abc (__TEXT,__text) non-external +[SPProvenanceMetadata supportsSecureCoding]
00000001a240a238 (__TEXT,__text) non-external -[AKELData .cxx_destruct]
00000001a240a160 (__TEXT,__text) non-external -[AKELData findLegacyKextBundleID:]
00000001a240a004 (__TEXT,__text) non-external -[AKELData initWithURL:]
00000001a2409e90 (__TEXT,__text) non-external -[AKELData init]
00000001a240a1fc (__TEXT,__text) non-external -[AKELData isKextAllowedWithoutSecureTimestamp:]
00000001a240a124 (__TEXT,__text) non-external -[AKELData isLegacyKextAllowed:]
00000001a2409c6c (__TEXT,__text) non-external -[AKELData loadFromBundleData:]
00000001a240a11c (__TEXT,__text) non-external -[AKELData reloadIfNecessary]
00000001a241b258 (__TEXT,__text) non-external -[AppWrapperPolicyResult description]
00000001a241b1ac (__TEXT,__text) non-external -[AppWrapperPolicyResult initWithValid:withSignerCategory:withModified:]
00000001a241b26c (__TEXT,__text) non-external -[AppWrapperPolicyResult isModified]
00000001a241b25c (__TEXT,__text) non-external -[AppWrapperPolicyResult isValid]
00000001a241b210 (__TEXT,__text) non-external -[AppWrapperPolicyResult redactedDescription]
00000001a241b264 (__TEXT,__text) non-external -[AppWrapperPolicyResult signerCategory]
00000001a240efc4 (__TEXT,__text) non-external -[BundleData .cxx_destruct]
00000001a240e750 (__TEXT,__text) non-external -[BundleData dealloc]
00000001a241cbf8 (__TEXT,__text) non-external -[BundleData dealloc].cold.1
00000001a240ec30 (__TEXT,__text) non-external -[BundleData doReload]
00000001a240ef98 (__TEXT,__text) non-external -[BundleData forceReload]
00000001a240e7ec (__TEXT,__text) non-external -[BundleData initWithURL:withReloadBlock:watchForUpdates:]
00000001a240e734 (__TEXT,__text) non-external -[BundleData init]
00000001a240efa4 (__TEXT,__text) non-external -[BundleData isSigned]
00000001a240ec8c (__TEXT,__text) non-external -[BundleData loadInternalData:]
00000001a240ef2c (__TEXT,__text) non-external -[BundleData reloadIfNecessary]
00000001a240e950 (__TEXT,__text) non-external -[BundleData setupFSStream]
00000001a241cc68 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.1
00000001a241ccd8 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.2
00000001a240efbc (__TEXT,__text) non-external -[BundleData timestamp]
00000001a240ef9c (__TEXT,__text) non-external -[BundleData url]
00000001a240efb4 (__TEXT,__text) non-external -[BundleData versionNumber]
00000001a240efac (__TEXT,__text) non-external -[BundleData version]
00000001a240f9ec (__TEXT,__text) non-external -[GKScanResult .cxx_destruct]
00000001a240f9c8 (__TEXT,__text) non-external -[GKScanResult allowed]
00000001a240f93c (__TEXT,__text) non-external -[GKScanResult encodeWithCoder:]
00000001a240f9d8 (__TEXT,__text) non-external -[GKScanResult gkError]
00000001a240f88c (__TEXT,__text) non-external -[GKScanResult initWithCoder:]
00000001a240f9d0 (__TEXT,__text) non-external -[GKScanResult setAllowed:]
00000001a240f9e0 (__TEXT,__text) non-external -[GKScanResult setGkError:]
00000001a241a3c8 (__TEXT,__text) non-external -[NSData(Strings) hexString]
00000001a240ada0 (__TEXT,__text) non-external -[PolicyCacheMeta .cxx_destruct]
00000001a240ad68 (__TEXT,__text) non-external -[PolicyCacheMeta forEntry]
00000001a240ad54 (__TEXT,__text) non-external -[PolicyCacheMeta lastMiss]
00000001a240ad2c (__TEXT,__text) non-external -[PolicyCacheMeta metaId]
00000001a240ad40 (__TEXT,__text) non-external -[PolicyCacheMeta missCount]
00000001a240ad8c (__TEXT,__text) non-external -[PolicyCacheMeta resolvedEntry]
00000001a240ad70 (__TEXT,__text) non-external -[PolicyCacheMeta setForEntry:]
00000001a240ad5c (__TEXT,__text) non-external -[PolicyCacheMeta setLastMiss:]
00000001a240ad34 (__TEXT,__text) non-external -[PolicyCacheMeta setMetaId:]
00000001a240ad48 (__TEXT,__text) non-external -[PolicyCacheMeta setMissCount:]
00000001a240ad94 (__TEXT,__text) non-external -[PolicyCacheMeta setResolvedEntry:]
00000001a240ad84 (__TEXT,__text) non-external -[PolicyCacheMeta setSourceTable:]
00000001a240ad7c (__TEXT,__text) non-external -[PolicyCacheMeta sourceTable]
00000001a2419920 (__TEXT,__text) non-external -[PolicyScanTarget .cxx_destruct]
00000001a2419890 (__TEXT,__text) non-external -[PolicyScanTarget blockDevice]
00000001a2418f7c (__TEXT,__text) non-external -[PolicyScanTarget bundleID]
00000001a241903c (__TEXT,__text) non-external -[PolicyScanTarget bundleVersion]
00000001a24193c8 (__TEXT,__text) non-external -[PolicyScanTarget cdhashData]
00000001a2419464 (__TEXT,__text) non-external -[PolicyScanTarget cdhashDigestAlgorithm]
00000001a2419304 (__TEXT,__text) non-external -[PolicyScanTarget cdhash]
00000001a24198b8 (__TEXT,__text) non-external -[PolicyScanTarget checkValidity]
00000001a2418804 (__TEXT,__text) non-external -[PolicyScanTarget dealloc]
00000001a24197d8 (__TEXT,__text) non-external -[PolicyScanTarget description]
00000001a2419278 (__TEXT,__text) non-external -[PolicyScanTarget entitlements]
00000001a24198a0 (__TEXT,__text) non-external -[PolicyScanTarget fsTypeName]
00000001a241915c (__TEXT,__text) non-external -[PolicyScanTarget infoPlist]
00000001a2418868 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:]
00000001a241da60 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.1
00000001a241dae8 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.2
00000001a241db58 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.3
00000001a241db90 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.4
00000001a241dbc8 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.5
00000001a241dc38 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.6
00000001a24187e8 (__TEXT,__text) non-external -[PolicyScanTarget init]
00000001a24198c8 (__TEXT,__text) non-external -[PolicyScanTarget isAppWrapper]
00000001a24198f8 (__TEXT,__text) non-external -[PolicyScanTarget isBundled]
00000001a24196c4 (__TEXT,__text) non-external -[PolicyScanTarget isNotarized]
00000001a241dcb4 (__TEXT,__text) non-external -[PolicyScanTarget isNotarized].cold.1
00000001a24198e0 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantinedMount]
00000001a241963c (__TEXT,__text) non-external -[PolicyScanTarget isQuarantined]
00000001a24198e8 (__TEXT,__text) non-external -[PolicyScanTarget isScript]
00000001a2419680 (__TEXT,__text) non-external -[PolicyScanTarget isUserApproved]
00000001a2418ee0 (__TEXT,__text) non-external -[PolicyScanTarget mainExecutableURL]
00000001a24198b0 (__TEXT,__text) non-external -[PolicyScanTarget modTime]
00000001a2419918 (__TEXT,__text) non-external -[PolicyScanTarget mountTime]
00000001a2419898 (__TEXT,__text) non-external -[PolicyScanTarget objectID]
00000001a2419878 (__TEXT,__text) non-external -[PolicyScanTarget originalURL]
00000001a2419888 (__TEXT,__text) non-external -[PolicyScanTarget pathOnVolume]
00000001a2419908 (__TEXT,__text) non-external -[PolicyScanTarget pid]
00000001a2419788 (__TEXT,__text) non-external -[PolicyScanTarget redactedDescription]
00000001a24198c0 (__TEXT,__text) non-external -[PolicyScanTarget setCheckValidity:]
00000001a2419900 (__TEXT,__text) non-external -[PolicyScanTarget setIsBundled:]
00000001a24198f0 (__TEXT,__text) non-external -[PolicyScanTarget setIsScript:]
00000001a2419910 (__TEXT,__text) non-external -[PolicyScanTarget setPid:]
00000001a24198d8 (__TEXT,__text) non-external -[PolicyScanTarget setTriggeredByLibraryLoad:]
00000001a24195a0 (__TEXT,__text) non-external -[PolicyScanTarget signingID]
00000001a241923c (__TEXT,__text) non-external -[PolicyScanTarget signingInfo]
00000001a2419194 (__TEXT,__text) non-external -[PolicyScanTarget staticCodeRef]
00000001a2419504 (__TEXT,__text) non-external -[PolicyScanTarget teamID]
00000001a24198d0 (__TEXT,__text) non-external -[PolicyScanTarget triggeredByLibraryLoad]
00000001a2419870 (__TEXT,__text) non-external -[PolicyScanTarget url]
00000001a24198a8 (__TEXT,__text) non-external -[PolicyScanTarget volumePath]
00000001a2419880 (__TEXT,__text) non-external -[PolicyScanTarget volumeUUID]
00000001a241b830 (__TEXT,__text) non-external -[SPDeveloperPolicy .cxx_destruct]
00000001a241b7bc (__TEXT,__text) non-external -[SPDeveloperPolicy createLocalDevelopmentCertificateForUser:error:]
00000001a241b684 (__TEXT,__text) non-external -[SPDeveloperPolicy dealloc]
00000001a241b5d0 (__TEXT,__text) non-external -[SPDeveloperPolicy init]
00000001a241b6d0 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperModeEnabled]
00000001a241b7a4 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperToolEnvironmentWithError:]
00000001a241b820 (__TEXT,__text) non-external -[SPDeveloperPolicy registerDevelopmentTeamWithIdentifier:error:]
00000001a241b818 (__TEXT,__text) non-external -[SPDeveloperPolicy removeLocalDevelopmentCertificateForUser:error:]
00000001a241b6ec (__TEXT,__text) non-external -[SPDeveloperPolicy setDeveloperModeEnabled:error:]
00000001a241b828 (__TEXT,__text) non-external -[SPDeveloperPolicy unregisterDevelopmentTeamWithIdentifier:error:]
00000001a2411144 (__TEXT,__text) non-external -[SPExecutionHistoryItem .cxx_destruct]
00000001a2411124 (__TEXT,__text) non-external -[SPExecutionHistoryItem cdHash]
00000001a2411134 (__TEXT,__text) non-external -[SPExecutionHistoryItem developerName]
00000001a2410f3c (__TEXT,__text) non-external -[SPExecutionHistoryItem encodeWithCoder:]
00000001a2411104 (__TEXT,__text) non-external -[SPExecutionHistoryItem execPath]
00000001a2410d28 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithCoder:]
00000001a2410a14 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00000001a24109f8 (__TEXT,__text) non-external -[SPExecutionHistoryItem init]
00000001a241113c (__TEXT,__text) non-external -[SPExecutionHistoryItem lastSeen]
00000001a241110c (__TEXT,__text) non-external -[SPExecutionHistoryItem mmapPath]
00000001a241112c (__TEXT,__text) non-external -[SPExecutionHistoryItem responsiblePath]
00000001a2411114 (__TEXT,__text) non-external -[SPExecutionHistoryItem signingID]
00000001a241111c (__TEXT,__text) non-external -[SPExecutionHistoryItem teamID]
00000001a2413500 (__TEXT,__text) non-external -[SPExecutionPolicy .cxx_destruct]
00000001a2413134 (__TEXT,__text) non-external -[SPExecutionPolicy addBlockedSoftwareOverride:error:]
00000001a2413044 (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperUserIntent:error:]
00000001a2412fd8 (__TEXT,__text) non-external -[SPExecutionPolicy blockedExecutionPolicyItems]
00000001a2412ce4 (__TEXT,__text) non-external -[SPExecutionPolicy connection]
00000001a2412a34 (__TEXT,__text) non-external -[SPExecutionPolicy dealloc]
00000001a2412be8 (__TEXT,__text) non-external -[SPExecutionPolicy doGatekeeperProgressUpdate:withTotal:]
00000001a2413320 (__TEXT,__text) non-external -[SPExecutionPolicy getBlockedSoftwareOverride:error:]
00000001a24129b4 (__TEXT,__text) non-external -[SPExecutionPolicy init]
00000001a2413410 (__TEXT,__text) non-external -[SPExecutionPolicy isBlockedSoftware:error:]
00000001a2412f6c (__TEXT,__text) non-external -[SPExecutionPolicy legacyExecutionHistory]
00000001a2412a88 (__TEXT,__text) non-external -[SPExecutionPolicy myProgressHandler]
00000001a2412a80 (__TEXT,__text) non-external -[SPExecutionPolicy progressBlock]
00000001a2413224 (__TEXT,__text) non-external -[SPExecutionPolicy setBlockedSoftwareOverride:isEnabled:error:]
00000001a2412ab4 (__TEXT,__text) non-external -[SPExecutionPolicy setProgressHandler:]
00000001a2410140 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) notifyInstalledContent:withInstallationType:error:]
00000001a240f9f8 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]
00000001a241cdd8 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.1
00000001a241ce10 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.2
00000001a241ce98 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.3
00000001a241cf34 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.4
00000001a241cf9c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.5
00000001a241d024 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.6
00000001a241d05c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.7
00000001a241d0f4 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.8
00000001a2410234 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withProgressHandler:error:]
00000001a240f81c (__TEXT,__text) non-external -[SPExecutionPolicyItem .cxx_destruct]
00000001a240f814 (__TEXT,__text) non-external -[SPExecutionPolicyItem blockedReasonDescription]
00000001a240f7f4 (__TEXT,__text) non-external -[SPExecutionPolicyItem cdHash]
00000001a240f5e0 (__TEXT,__text) non-external -[SPExecutionPolicyItem encodeWithCoder:]
00000001a240f3b0 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithCoder:]
00000001a240f250 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithItemPath:signingID:teamID:cdHash:needsApproval:needsOverride:knownMalware:blockedReasonDescription:]
00000001a240f234 (__TEXT,__text) non-external -[SPExecutionPolicyItem init]
00000001a240f7dc (__TEXT,__text) non-external -[SPExecutionPolicyItem itemPath]
00000001a240f80c (__TEXT,__text) non-external -[SPExecutionPolicyItem knownMalware]
00000001a240f7fc (__TEXT,__text) non-external -[SPExecutionPolicyItem needsApproval]
00000001a240f804 (__TEXT,__text) non-external -[SPExecutionPolicyItem needsOverride]
00000001a240f7e4 (__TEXT,__text) non-external -[SPExecutionPolicyItem signingID]
00000001a240f7ec (__TEXT,__text) non-external -[SPExecutionPolicyItem teamID]
00000001a24187a4 (__TEXT,__text) non-external -[SPInstallationPolicy .cxx_destruct]
00000001a24184a4 (__TEXT,__text) non-external -[SPInstallationPolicy canInstallPackage:withUserConsent:withHash:evaluateOnly:synchronousPrompt:error:]
00000001a2418458 (__TEXT,__text) non-external -[SPInstallationPolicy dealloc]
00000001a2418334 (__TEXT,__text) non-external -[SPInstallationPolicy init]
00000001a2418604 (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withHashMap:withUserConsent:error:]
00000001a24185f0 (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withUserConsent:error:]
00000001a241136c (__TEXT,__text) non-external -[SPKernelExtensionHistory .cxx_destruct]
00000001a2411304 (__TEXT,__text) non-external -[SPKernelExtensionHistory dealloc]
00000001a24111d0 (__TEXT,__text) non-external -[SPKernelExtensionHistory init]
00000001a2411350 (__TEXT,__text) non-external -[SPKernelExtensionHistory kernelExtensionHistory]
00000001a24152d4 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem .cxx_destruct]
00000001a2415294 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem bundleID]
00000001a24152a4 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem cdHash]
00000001a24150e4 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem encodeWithCoder:]
00000001a2414f1c (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithCoder:]
00000001a2414d9c (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithPath:teamID:bundleID:cdHash:isNotarized:isDeprecated:isUnsupported:isCodeless:lastUsed:]
00000001a2414d80 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem init]
00000001a24152c4 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isCodeless]
00000001a24152b4 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isDeprecated]
00000001a24152ac (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isNotarized]
00000001a24152bc (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isUnsupported]
00000001a24152cc (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem lastUsed]
00000001a241528c (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem path]
00000001a241529c (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem teamID]
00000001a24124ec (__TEXT,__text) non-external -[SPKernelExtensionPolicy .cxx_destruct]
00000001a2411e70 (__TEXT,__text) non-external -[SPKernelExtensionPolicy areKernelExtensionsApproved:withError:]
00000001a2411880 (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtension:error:]
00000001a2411958 (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtensionInCache:error:]
00000001a2411830 (__TEXT,__text) non-external -[SPKernelExtensionPolicy clearConnection]
00000001a2411828 (__TEXT,__text) non-external -[SPKernelExtensionPolicy connection]
00000001a2411e38 (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentPolicy]
00000001a24124e4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentUAKL]
00000001a24117dc (__TEXT,__text) non-external -[SPKernelExtensionPolicy dealloc]
00000001a24122dc (__TEXT,__text) non-external -[SPKernelExtensionPolicy getCurrentUAKLHash:withError:]
00000001a24114a8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy init]
00000001a2411b08 (__TEXT,__text) non-external -[SPKernelExtensionPolicy isKernelExtensionApprovedByUser:withBundleID:error:]
00000001a2412110 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyLoadedKernelExtension:withPath:]
00000001a2412204 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyUnsupportedKernelExtension:error:]
00000001a2411e54 (__TEXT,__text) non-external -[SPKernelExtensionPolicy pendingApprovals]
00000001a2411f5c (__TEXT,__text) non-external -[SPKernelExtensionPolicy requestKernelExtensionApprovals:withError:]
00000001a24124c8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAdministratorToApproveUpdates]
00000001a24124ac (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAuthenticationOnUpdates]
00000001a2412490 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresRebootForInstallation]
00000001a2412474 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresSecurityDowngrade]
00000001a2411a30 (__TEXT,__text) non-external -[SPKernelExtensionPolicy teamIdentifierIsAllowed:error:]
00000001a2412034 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerKernelCollectionRebuildFlow:withKernelExtensions:withError:]
00000001a241245c (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerPanicMedicWithError:]
00000001a2412444 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerRecoveryJumpToSecurityStartupUtilityWithError:]
00000001a241236c (__TEXT,__text) non-external -[SPKernelExtensionPolicy updateLastUsedTimes:withError:]
00000001a2411d5c (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:error:]
00000001a2411c50 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:withExternalContext:error:]
00000001a2414c90 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) enableKernelExtensionManagementForMDM:error:]
00000001a2414824 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) installMDMPayload:withTeams:withExtensions:withContext:error:]
