000000018d24cd89 (__TEXT,__const) non-external _DOWNCASE_TBL
000000018d24d88c (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
000000018d24d38c (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
000000018d24ce8c (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
000000018d24d78c (__TEXT,__const) non-external _VALID_METHOD_CHARS
000000018d24d28c (__TEXT,__const) non-external _VALID_PATH_CHARS
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000018d23a658 (__TEXT,__text) non-external _active_outbound_item_reset
000000018d23f2a0 (__TEXT,__text) non-external _add_hd_table_incremental
000000018d242fe0 (__TEXT,__text) non-external _bubble_down
000000018d242f64 (__TEXT,__text) non-external _bubble_up
000000018d23a580 (__TEXT,__text) non-external _buf_chain_new
000000018d2442b0 (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _clock_gettime (from libSystem)
000000018d23a434 (__TEXT,__text) non-external _default_calloc
000000018d23a7f0 (__TEXT,__text) non-external _default_free
000000018d23a4d0 (__TEXT,__text) non-external _default_malloc
000000018d23a654 (__TEXT,__text) non-external _default_realloc
000000018d23f574 (__TEXT,__text) non-external _emit_newname_block
000000018d23ee90 (__TEXT,__text) non-external _emit_string
000000018d241bcc (__TEXT,__text) non-external _emit_table_size
000000018d245de0 (__TEXT,__text) non-external _find_stream_on_goaway_func
000000018d23f654 (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
000000018d2453d0 (__TEXT,__text) non-external _free_streams
000000018d246538 (__TEXT,__text) non-external _get_error_code_from_lib_error_code
000000018d241a24 (__TEXT,__text) non-external _hd_context_free
000000018d23feec (__TEXT,__text) non-external _hd_context_shrink_table_size
000000018d242e38 (__TEXT,__text) non-external _hd_get_table_entry
000000018d240e80 (__TEXT,__text) non-external _hd_inflate_commit_indname
000000018d240f40 (__TEXT,__text) non-external _hd_inflate_commit_newname
000000018d240d9c (__TEXT,__text) non-external _hd_inflate_read_huff
000000018d240c84 (__TEXT,__text) non-external _hd_inflate_read_len
000000018d241ab4 (__TEXT,__text) non-external _hd_ringbuf_get
000000018d248d48 (__TEXT,__const) non-external _huff_decode_table
000000018d248540 (__TEXT,__const) non-external _huff_sym_table
000000018d23d60c (__TEXT,__text) non-external _insert
000000018d2422cc (__TEXT,__text) non-external _insert_link_dep
000000018d23e044 (__TEXT,__text) non-external _lookup_token
                 (undefined) external _malloc (from libSystem)
000000018d241f60 (__TEXT,__text) non-external _map_resize
00000001e87aa290 (__AUTH,__data) non-external _mem_default
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
000000018d23b0ac (__TEXT,__text) non-external _nghttp2_adjust_local_window_size
000000018d23a93c (__TEXT,__text) non-external _nghttp2_bufs_add
000000018d23f5f4 (__TEXT,__text) non-external _nghttp2_bufs_addb
000000018d241b60 (__TEXT,__text) non-external _nghttp2_bufs_free
000000018d248318 (__TEXT,__text) external _nghttp2_check_authority
000000018d239b98 (__TEXT,__text) external _nghttp2_check_header_name
000000018d239be4 (__TEXT,__text) external _nghttp2_check_header_value
000000018d248244 (__TEXT,__text) external _nghttp2_check_header_value_rfc9113
000000018d2482b0 (__TEXT,__text) external _nghttp2_check_method
000000018d2482e4 (__TEXT,__text) external _nghttp2_check_path
000000018d23f800 (__TEXT,__text) non-external _nghttp2_frame_add_pad
000000018d2425b4 (__TEXT,__text) non-external _nghttp2_frame_pack_altsvc
000000018d23d7e4 (__TEXT,__text) non-external _nghttp2_frame_pack_headers
000000018d2426d4 (__TEXT,__text) non-external _nghttp2_frame_pack_priority_update
000000018d2424d4 (__TEXT,__text) non-external _nghttp2_frame_pack_push_promise
000000018d23d7b4 (__TEXT,__text) external _nghttp2_hd_deflate_bound
000000018d23fea4 (__TEXT,__text) external _nghttp2_hd_deflate_change_table_size
000000018d242c6c (__TEXT,__text) external _nghttp2_hd_deflate_del
000000018d242e94 (__TEXT,__text) external _nghttp2_hd_deflate_get_dynamic_table_size
000000018d242e9c (__TEXT,__text) external _nghttp2_hd_deflate_get_max_dynamic_table_size
000000018d242e28 (__TEXT,__text) external _nghttp2_hd_deflate_get_num_table_entries
000000018d242e34 (__TEXT,__text) external _nghttp2_hd_deflate_get_table_entry
000000018d242944 (__TEXT,__text) external _nghttp2_hd_deflate_hd
000000018d23d908 (__TEXT,__text) non-external _nghttp2_hd_deflate_hd_bufs
000000018d242a48 (__TEXT,__text) external _nghttp2_hd_deflate_hd_vec
000000018d23a438 (__TEXT,__text) non-external _nghttp2_hd_deflate_init2
000000018d242bdc (__TEXT,__text) external _nghttp2_hd_deflate_new
000000018d242be4 (__TEXT,__text) external _nghttp2_hd_deflate_new2
000000018d24283c (__TEXT,__text) external _nghttp2_hd_inflate_change_table_size
000000018d242de4 (__TEXT,__text) external _nghttp2_hd_inflate_del
000000018d240fe8 (__TEXT,__text) external _nghttp2_hd_inflate_end_headers
000000018d241b08 (__TEXT,__text) non-external _nghttp2_hd_inflate_free
000000018d242eb4 (__TEXT,__text) external _nghttp2_hd_inflate_get_dynamic_table_size
000000018d242ebc (__TEXT,__text) external _nghttp2_hd_inflate_get_max_dynamic_table_size
000000018d242ea4 (__TEXT,__text) external _nghttp2_hd_inflate_get_num_table_entries
000000018d242eb0 (__TEXT,__text) external _nghttp2_hd_inflate_get_table_entry
000000018d242cb0 (__TEXT,__text) external _nghttp2_hd_inflate_hd
000000018d242cb4 (__TEXT,__text) external _nghttp2_hd_inflate_hd2
000000018d240604 (__TEXT,__text) non-external _nghttp2_hd_inflate_hd_nv
000000018d23a4d4 (__TEXT,__text) non-external _nghttp2_hd_inflate_init
000000018d242d5c (__TEXT,__text) external _nghttp2_hd_inflate_new
000000018d242d64 (__TEXT,__text) external _nghttp2_hd_inflate_new2
000000018d23f170 (__TEXT,__text) non-external _nghttp2_hd_table_get
000000018d24834c (__TEXT,__text) external _nghttp2_http2_strerror
000000018d244624 (__TEXT,__text) non-external _nghttp2_http_on_request_headers
000000018d241028 (__TEXT,__text) non-external _nghttp2_http_on_response_headers
000000018d2443c8 (__TEXT,__text) non-external _nghttp2_http_parse_priority
000000018d23d6b8 (__TEXT,__text) non-external _nghttp2_http_record_request_method
000000018d247ebc (__TEXT,__text) non-external _nghttp2_increase_local_window_size
000000018d2450b4 (__TEXT,__text) external _nghttp2_is_fatal
000000018d23ad2c (__TEXT,__text) non-external _nghttp2_iv_check
000000018d23fff8 (__TEXT,__text) non-external _nghttp2_map_each
000000018d23b018 (__TEXT,__text) non-external _nghttp2_map_find
000000018d23b450 (__TEXT,__text) non-external _nghttp2_nv_array_copy
000000018d2427ac (__TEXT,__text) external _nghttp2_nv_compare_name
000000018d236794 (__TEXT,__text) external _nghttp2_option_del
000000018d2366a0 (__TEXT,__text) external _nghttp2_option_new
