00007ff8400e99d0 (__DATA,__data) non-external _C
00007ff8400f6618 (__DATA,__bss) non-external _EMSG
00007ff8400f6619 (__DATA,__bss) non-external _EMSG
00007ff8400eb938 (__DATA,__bss) non-external _NXArgc_pointer
00007ff8400eb930 (__DATA,__bss) non-external _NXArgv_pointer
00007ff800ff3c78 (__TEXT,__text) non-external (was a private external) __BIG5_init
00007ff800ff3caf (__TEXT,__text) non-external __BIG5_mbrtowc
00007ff800ff3dad (__TEXT,__text) non-external __BIG5_mbsinit
00007ff800ff3d70 (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00007ff8400b1600 (__DATA_CONST,__const) non-external __C_messages_locale
00007ff8400b1620 (__DATA_CONST,__const) non-external __C_monetary_locale
00007ff8400b16c8 (__DATA_CONST,__const) non-external __C_numeric_locale
00007ff8400b18d0 (__DATA_CONST,__const) non-external __C_time_locale
00007ff8400ea260 (__DATA,__data) external __CurrentRuneLocale
00007ff8400eaaa8 (__DATA,__constrw) external __DefaultRuneLocale
00007ff8400eb730 (__DATA,__constrw) non-external (was a private external) __DefaultRuneXLocale
00007ff800ff6547 (__TEXT,__text) non-external (was a private external) __EUC_CN_init
00007ff800ff65ad (__TEXT,__text) non-external __EUC_CN_mbrtowc
00007ff800ff65f3 (__TEXT,__text) non-external __EUC_CN_mbsnrtowcs
00007ff800ff65d1 (__TEXT,__text) non-external __EUC_CN_wcrtomb
00007ff800ff65fd (__TEXT,__text) non-external __EUC_CN_wcsnrtombs
00007ff800ff66e2 (__TEXT,__text) non-external (was a private external) __EUC_JP_init
00007ff800ff6748 (__TEXT,__text) non-external __EUC_JP_mbrtowc
00007ff800ff679d (__TEXT,__text) non-external __EUC_JP_mbsnrtowcs
00007ff800ff6772 (__TEXT,__text) non-external __EUC_JP_wcrtomb
00007ff800ff67a7 (__TEXT,__text) non-external __EUC_JP_wcsnrtombs
00007ff800ff6622 (__TEXT,__text) non-external (was a private external) __EUC_KR_init
00007ff800ff6688 (__TEXT,__text) non-external __EUC_KR_mbrtowc
00007ff800ff66ce (__TEXT,__text) non-external __EUC_KR_mbsnrtowcs
00007ff800ff66ac (__TEXT,__text) non-external __EUC_KR_wcrtomb
00007ff800ff66d8 (__TEXT,__text) non-external __EUC_KR_wcsnrtombs
00007ff800ff6817 (__TEXT,__text) non-external (was a private external) __EUC_TW_init
00007ff800ff687d (__TEXT,__text) non-external __EUC_TW_mbrtowc
00007ff800ff68cf (__TEXT,__text) non-external __EUC_TW_mbsnrtowcs
00007ff800ff68a7 (__TEXT,__text) non-external __EUC_TW_wcrtomb
00007ff800ff68d9 (__TEXT,__text) non-external __EUC_TW_wcsnrtombs
00007ff800ff67b1 (__TEXT,__text) non-external (was a private external) __EUC_init
00007ff800ff68e3 (__TEXT,__text) non-external __EUC_mbrtowc_impl
00007ff800ff6607 (__TEXT,__text) non-external __EUC_mbsinit
00007ff800ff6a15 (__TEXT,__text) non-external __EUC_wcrtomb_impl
00007ff80101e87a (__TEXT,__text) external __Exit
00007ff800ff6bda (__TEXT,__text) non-external (was a private external) __GB18030_init
00007ff800ff6c11 (__TEXT,__text) non-external __GB18030_mbrtowc
00007ff800ff6e69 (__TEXT,__text) non-external __GB18030_mbsinit
00007ff800ff6d60 (__TEXT,__text) non-external __GB18030_wcrtomb
00007ff800ff6e83 (__TEXT,__text) non-external (was a private external) __GB2312_init
00007ff800ff6eba (__TEXT,__text) non-external __GB2312_mbrtowc
00007ff800ff6ff9 (__TEXT,__text) non-external __GB2312_mbsinit
00007ff800ff6fbc (__TEXT,__text) non-external __GB2312_wcrtomb
00007ff800ff7013 (__TEXT,__text) non-external (was a private external) __GBK_init
00007ff800ff704a (__TEXT,__text) non-external __GBK_mbrtowc
00007ff800ff7148 (__TEXT,__text) non-external __GBK_mbsinit
00007ff800ff710b (__TEXT,__text) non-external __GBK_wcrtomb
00007ff800ff8706 (__TEXT,__text) non-external (was a private external) __MSKanji_init
00007ff800ff873d (__TEXT,__text) non-external __MSKanji_mbrtowc
00007ff800ff8986 (__TEXT,__text) non-external __MSKanji_mbsinit
00007ff800ff8819 (__TEXT,__text) non-external __MSKanji_wcrtomb
00007ff800fdc42b (__TEXT,__text) external __NSGetArgc
00007ff800fdc41e (__TEXT,__text) external __NSGetArgv
00007ff800fdc438 (__TEXT,__text) external __NSGetEnviron
00007ff800fdc452 (__TEXT,__text) external __NSGetMachExecuteHeader
00007ff800fdc445 (__TEXT,__text) external __NSGetProgname
00007ff8400f6718 (__DATA,__common) external __PathLocale
00007ff801027bec (__TEXT,__text) external __Read_RuneMagi
00007ff80101e0c1 (__TEXT,__text) non-external (was a private external) __UTF2_init
00007ff80101e10e (__TEXT,__text) non-external __UTF2_mbrtowc
00007ff80101e2f7 (__TEXT,__text) non-external __UTF2_mbsinit
00007ff80101e312 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
00007ff80101e270 (__TEXT,__text) non-external __UTF2_wcrtomb
00007ff80101e485 (__TEXT,__text) non-external __UTF2_wcsnrtombs
00007ff800ffa3f8 (__TEXT,__text) non-external (was a private external) __UTF8_init
00007ff800ffa445 (__TEXT,__text) non-external __UTF8_mbrtowc
00007ff800ffa6df (__TEXT,__text) non-external __UTF8_mbsinit
00007ff800ffa6fa (__TEXT,__text) non-external __UTF8_mbsnrtowcs
00007ff800ffa633 (__TEXT,__text) non-external __UTF8_wcrtomb
00007ff800ffa86d (__TEXT,__text) non-external __UTF8_wcsnrtombs
00007ff800fe92de (__TEXT,__text) external ___Balloc_D2A
00007ff800fe942c (__TEXT,__text) external ___Bfree_D2A
00007ff800fd9ee5 (__TEXT,__text) external ____mb_cur_max
00007ff800fd9f13 (__TEXT,__text) external ____mb_cur_max_l
00007ff800ff94be (__TEXT,__text) external ____runetype
00007ff800ff9408 (__TEXT,__text) external ____runetype_l
00007ff800ffa2f8 (__TEXT,__text) external ____tolower
00007ff800ffa248 (__TEXT,__text) external ____tolower_l
00007ff800ffa3d0 (__TEXT,__text) external ____toupper
00007ff800ffa320 (__TEXT,__text) external ____toupper_l
00007ff80103deec (__TEXT,__text) non-external (was a private external) ___abort
00007ff800fe3df9 (__TEXT,__text) external ___add_ovflpage
00007ff800fe3b6a (__TEXT,__text) external ___addel
00007ff800fe9eed (__TEXT,__text) external ___any_on_D2A
00007ff80103d12e (__TEXT,__text) external ___assert_rtn
00007ff8400f6608 (__DATA,__bss) non-external ___atexit
00007ff80101e890 (__TEXT,__text) non-external (was a private external) ___atexit_init
00007ff8400f6610 (__DATA,__bss) non-external ___atexit_new_registration
00007ff800fe9a9a (__TEXT,__text) external ___b2d_D2A
