                 (undefined) external _CCHmac (from libSystem)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetCStringPtr (from CoreFoundation)
00007ff811417f2e (__TEXT,__text) external _NEAuditTokenForPID
00007ff81141eca4 (__TEXT,__text) non-external _NEAuditTokenForPID.cold.1
00007ff81141ed2e (__TEXT,__text) non-external _NEAuditTokenForPID.cold.2
00007ff811418035 (__TEXT,__text) external _NECopyAuditPortForAuditToken
00007ff811417fef (__TEXT,__text) external _NECopyBootstrapPortForPID
00007ff811417dda (__TEXT,__text) external _NECopySigningIdentifierForPID
00007ff811417e0d (__TEXT,__text) external _NECopySigningIdentifierForXPCMessage
00007ff81141eb9d (__TEXT,__text) non-external _NECopySigningIdentifierForXPCMessage.cold.1
00007ff81141ec01 (__TEXT,__text) non-external _NECopySigningIdentifierForXPCMessage.cold.2
00007ff81141ec35 (__TEXT,__text) non-external _NECopySigningIdentifierForXPCMessage.cold.3
00007ff811417fdb (__TEXT,__text) external _NEGIDForAuditToken
                 (undefined) external _NEHelperCacheCopySigningIdentifierMapping (from libSystem)
00007ff811401dfb (__TEXT,__text) external _NEHelperTrackerAddIP
00007ff8114013ea (__TEXT,__text) external _NEHelperTrackerAddIPForAllFlows
00007ff84292e770 (__DATA,__bss) non-external _NEHelperTrackerAddIPForAllFlows.buffer
00007ff811418d3d (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.1
00007ff811419117 (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.10
00007ff81141917b (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.11
00007ff8114191df (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.12
00007ff811418dcf (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.2
00007ff811418e3b (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.3
00007ff811418e9f (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.4
00007ff811418f03 (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.5
00007ff811418f67 (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.6
00007ff811418fcb (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.7
00007ff811419037 (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.8
