                 (undefined) external _OSSpinLockLock (from libsystem_platform)
                 (undefined) external _OSSpinLockUnlock (from libsystem_platform)
                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff80c54e058 (__TEXT,__text) external ___absvdi2
00007ff80c54e08b (__TEXT,__text) external ___absvsi2
00007ff80c54e0b4 (__TEXT,__text) external ___absvti2
00007ff80c54e0f4 (__TEXT,__text) external ___addvdi3
00007ff80c54e13a (__TEXT,__text) external ___addvsi3
00007ff80c54e17c (__TEXT,__text) external ___addvti3
00007ff80c54e1d9 (__TEXT,__text) external ___ashldi3
00007ff80c54e205 (__TEXT,__text) external ___ashlti3
00007ff80c54e22d (__TEXT,__text) external ___ashrdi3
00007ff80c54e25e (__TEXT,__text) external ___ashrti3
                 (undefined) external ___assert_rtn (from libsystem_c)
00007ff80c54e504 (__TEXT,__text) external ___atomic_compare_exchange
00007ff80c54ea5c (__TEXT,__text) external ___atomic_compare_exchange_1
00007ff80c54eaa8 (__TEXT,__text) external ___atomic_compare_exchange_2
00007ff80c54eaf4 (__TEXT,__text) external ___atomic_compare_exchange_4
00007ff80c54eb40 (__TEXT,__text) external ___atomic_compare_exchange_8
00007ff80c54e748 (__TEXT,__text) external ___atomic_exchange
00007ff80c54e98e (__TEXT,__text) external ___atomic_exchange_1
00007ff80c54e9c4 (__TEXT,__text) external ___atomic_exchange_2
00007ff80c54e9f8 (__TEXT,__text) external ___atomic_exchange_4
00007ff80c54ea28 (__TEXT,__text) external ___atomic_exchange_8
00007ff80c54eb8c (__TEXT,__text) external ___atomic_fetch_add_1
00007ff80c54ebc4 (__TEXT,__text) external ___atomic_fetch_add_2
00007ff80c54ebf8 (__TEXT,__text) external ___atomic_fetch_add_4
00007ff80c54ec2c (__TEXT,__text) external ___atomic_fetch_add_8
00007ff80c54ed3c (__TEXT,__text) external ___atomic_fetch_and_1
00007ff80c54edb4 (__TEXT,__text) external ___atomic_fetch_and_2
00007ff80c54ee34 (__TEXT,__text) external ___atomic_fetch_and_4
00007ff80c54eea4 (__TEXT,__text) external ___atomic_fetch_and_8
00007ff80c54ef28 (__TEXT,__text) external ___atomic_fetch_or_1
00007ff80c54efa0 (__TEXT,__text) external ___atomic_fetch_or_2
00007ff80c54f020 (__TEXT,__text) external ___atomic_fetch_or_4
00007ff80c54f090 (__TEXT,__text) external ___atomic_fetch_or_8
00007ff80c54ec60 (__TEXT,__text) external ___atomic_fetch_sub_1
00007ff80c54ec98 (__TEXT,__text) external ___atomic_fetch_sub_2
00007ff80c54ecd0 (__TEXT,__text) external ___atomic_fetch_sub_4
00007ff80c54ed04 (__TEXT,__text) external ___atomic_fetch_sub_8
00007ff80c54f114 (__TEXT,__text) external ___atomic_fetch_xor_1
00007ff80c54f18c (__TEXT,__text) external ___atomic_fetch_xor_2
00007ff80c54f20c (__TEXT,__text) external ___atomic_fetch_xor_4
00007ff80c54f27c (__TEXT,__text) external ___atomic_fetch_xor_8
00007ff80c54e28c (__TEXT,__text) external ___atomic_is_lock_free
00007ff80c54e2e0 (__TEXT,__text) external ___atomic_load
00007ff80c54e908 (__TEXT,__text) external ___atomic_load_1
00007ff80c54e919 (__TEXT,__text) external ___atomic_load_2
00007ff80c54e92b (__TEXT,__text) external ___atomic_load_4
00007ff80c54e939 (__TEXT,__text) external ___atomic_load_8
00007ff80c54e3e0 (__TEXT,__text) external ___atomic_store
00007ff80c54e948 (__TEXT,__text) external ___atomic_store_1
00007ff80c54e95a (__TEXT,__text) external ___atomic_store_2
00007ff80c54e96c (__TEXT,__text) external ___atomic_store_4
00007ff80c54e97c (__TEXT,__text) external ___atomic_store_8
                 (indirect) external ___chkstk_darwin (for ____chkstk_darwin)
00007ff80c54f3b0 (__TEXT,__text) external ___clear_cache
00007ff80c54f3b1 (__TEXT,__text) external ___clzdi2
00007ff80c54f3cc (__TEXT,__text) external ___clzsi2
00007ff80c54f43b (__TEXT,__text) external ___clzti2
00007ff80c54f454 (__TEXT,__text) external ___cmpdi2
00007ff80c54f483 (__TEXT,__text) external ___cmpti2
00007ff80c5514a4 (__TEXT,__text) non-external (was a private external) ___compilerrt_abort_impl
00007ff80c54f4a7 (__TEXT,__text) external ___ctzdi2
00007ff80c54f4c1 (__TEXT,__text) external ___ctzsi2
00007ff80c54f523 (__TEXT,__text) external ___ctzti2
00007ff80c54f539 (__TEXT,__text) external ___divdc3
00007ff80c54dfcd (__TEXT,__text) external ___divdi3
00007ff80c54fb99 (__TEXT,__text) external ___divsc3
00007ff80c54e008 (__TEXT,__text) external ___divti3
00007ff80c550132 (__TEXT,__text) external ___divxc3
00007ff80c55047d (__TEXT,__text) external ___enable_execute_stack
00007ff80c55049e (__TEXT,__text) external ___extendhfsf2
00007ff80c55050c (__TEXT,__text) external ___ffsdi2
00007ff80c550528 (__TEXT,__text) external ___ffsti2
00007ff80c550544 (__TEXT,__text) external ___fixdfdi
00007ff80c550565 (__TEXT,__text) external ___fixdfti
00007ff80c550625 (__TEXT,__text) external ___fixsfdi
00007ff80c550643 (__TEXT,__text) external ___fixsfti
00007ff80c54dec2 (__TEXT,__text) external ___fixunsdfdi
00007ff80c5506ed (__TEXT,__text) external ___fixunsdfsi
00007ff80c550739 (__TEXT,__text) external ___fixunsdfti
