00007ffa19343f0a (__TEXT,__text) external _CGLGetCurrentContext
00007ffa19343eed (__TEXT,__text) external _CGLSetCurrentContext
00007ffa19339daa (__TEXT,__text) external _glAccum
00007ffa193400e8 (__TEXT,__text) external _glActiveShaderProgram
00007ffa193427f7 (__TEXT,__text) external _glActiveStencilFaceEXT
00007ffa1933cbf2 (__TEXT,__text) external _glActiveTexture
00007ffa193414fa (__TEXT,__text) external _glActiveTextureARB
00007ffa19339dc3 (__TEXT,__text) external _glAlphaFunc
00007ffa19339ddc (__TEXT,__text) external _glAreTexturesResident
00007ffa19339dfb (__TEXT,__text) external _glArrayElement
00007ffa1934204e (__TEXT,__text) external _glAttachObjectARB
00007ffa1933dfe6 (__TEXT,__text) external _glAttachShader
00007ffa19339e14 (__TEXT,__text) external _glBegin
00007ffa1933ebcf (__TEXT,__text) external _glBeginConditionalRender
00007ffa19343dfe (__TEXT,__text) external _glBeginConditionalRenderNV
00007ffa1933d7b4 (__TEXT,__text) external _glBeginQuery
00007ffa19341d77 (__TEXT,__text) external _glBeginQueryARB
00007ffa1933febd (__TEXT,__text) external _glBeginQueryIndexed
00007ffa1933eae1 (__TEXT,__text) external _glBeginTransformFeedback
00007ffa1934303a (__TEXT,__text) external _glBeginTransformFeedbackEXT
00007ffa1933e4af (__TEXT,__text) external _glBindAttribLocation
00007ffa1934248a (__TEXT,__text) external _glBindAttribLocationARB
00007ffa1933d854 (__TEXT,__text) external _glBindBuffer
00007ffa19341e17 (__TEXT,__text) external _glBindBufferARB
00007ffa1933eb3b (__TEXT,__text) external _glBindBufferBase
00007ffa19343019 (__TEXT,__text) external _glBindBufferBaseEXT
00007ffa19342ff5 (__TEXT,__text) external _glBindBufferOffsetEXT
00007ffa1933eb14 (__TEXT,__text) external _glBindBufferRange
00007ffa19342fce (__TEXT,__text) external _glBindBufferRangeEXT
00007ffa1933ef19 (__TEXT,__text) external _glBindFragDataLocation
00007ffa1934358a (__TEXT,__text) external _glBindFragDataLocationEXT
00007ffa1933f619 (__TEXT,__text) external _glBindFragDataLocationIndexed
00007ffa1933e75f (__TEXT,__text) external _glBindFramebuffer
00007ffa19342d64 (__TEXT,__text) external _glBindFramebufferEXT
00007ffa19340ba9 (__TEXT,__text) external _glBindProgramARB
00007ffa19340128 (__TEXT,__text) external _glBindProgramPipeline
00007ffa1933e6a1 (__TEXT,__text) external _glBindRenderbuffer
00007ffa19342ca6 (__TEXT,__text) external _glBindRenderbufferEXT
00007ffa1933f6b6 (__TEXT,__text) external _glBindSampler
00007ffa19339e2d (__TEXT,__text) external _glBindTexture
00007ffa1933fdd8 (__TEXT,__text) external _glBindTransformFeedback
00007ffa1933e9a6 (__TEXT,__text) external _glBindVertexArray
00007ffa19343aae (__TEXT,__text) external _glBindVertexArrayAPPLE
00007ffa19339e48 (__TEXT,__text) external _glBitmap
00007ffa1933c5c2 (__TEXT,__text) external _glBlendColor
00007ffa19342c36 (__TEXT,__text) external _glBlendColorEXT
00007ffa1933c5dc (__TEXT,__text) external _glBlendEquation
00007ffa19342c50 (__TEXT,__text) external _glBlendEquationEXT
00007ffa1933e58f (__TEXT,__text) external _glBlendEquationSeparate
00007ffa19343d80 (__TEXT,__text) external _glBlendEquationSeparateATI
00007ffa19342c6c (__TEXT,__text) external _glBlendEquationSeparateEXT
00007ffa1933ff58 (__TEXT,__text) external _glBlendEquationSeparatei
00007ffa193425dc (__TEXT,__text) external _glBlendEquationSeparateiARB
00007ffa1933ff3a (__TEXT,__text) external _glBlendEquationi
00007ffa193425be (__TEXT,__text) external _glBlendEquationiARB
00007ffa19339e66 (__TEXT,__text) external _glBlendFunc
00007ffa1933d51a (__TEXT,__text) external _glBlendFuncSeparate
00007ffa19342bc4 (__TEXT,__text) external _glBlendFuncSeparateEXT
00007ffa1933ff9a (__TEXT,__text) external _glBlendFuncSeparatei
00007ffa1934261e (__TEXT,__text) external _glBlendFuncSeparateiARB
00007ffa1933ff79 (__TEXT,__text) external _glBlendFunci
00007ffa193425fd (__TEXT,__text) external _glBlendFunciARB
00007ffa1933e8bc (__TEXT,__text) external _glBlitFramebuffer
00007ffa19342ec1 (__TEXT,__text) external _glBlitFramebufferEXT
00007ffa1933d8cc (__TEXT,__text) external _glBufferData
00007ffa19341e8f (__TEXT,__text) external _glBufferDataARB
00007ffa19343c29 (__TEXT,__text) external _glBufferParameteriAPPLE
00007ffa1933d8f2 (__TEXT,__text) external _glBufferSubData
00007ffa19341eb5 (__TEXT,__text) external _glBufferSubDataARB
00007ffa19339e81 (__TEXT,__text) external _glCallList
00007ffa19339e9a (__TEXT,__text) external _glCallLists
00007ffa1933e7bb (__TEXT,__text) external _glCheckFramebufferStatus
00007ffa19342dc0 (__TEXT,__text) external _glCheckFramebufferStatusEXT
00007ffa1933ebb1 (__TEXT,__text) external _glClampColor
00007ffa1934251d (__TEXT,__text) external _glClampColorARB
00007ffa19339eb8 (__TEXT,__text) external _glClear
00007ffa19339ed1 (__TEXT,__text) external _glClearAccum
00007ffa1933f15a (__TEXT,__text) external _glClearBufferfi
00007ffa1933f138 (__TEXT,__text) external _glClearBufferfv
00007ffa1933f0f4 (__TEXT,__text) external _glClearBufferiv
00007ffa1933f116 (__TEXT,__text) external _glClearBufferuiv
00007ffa19339ee8 (__TEXT,__text) external _glClearColor
00007ffa193435cb (__TEXT,__text) external _glClearColorIiEXT
00007ffa193435ef (__TEXT,__text) external _glClearColorIuiEXT
00007ffa19339eff (__TEXT,__text) external _glClearDepth
00007ffa1934003f (__TEXT,__text) external _glClearDepthf
00007ffa19339f16 (__TEXT,__text) external _glClearIndex
00007ffa19339f2d (__TEXT,__text) external _glClearStencil
00007ffa1933cbd6 (__TEXT,__text) external _glClientActiveTexture
