00007ff803322a3d (__TEXT,__text) external _CreateLSTMBreakEngine
00007ff8033229ff (__TEXT,__text) external _CreateLSTMData
00007ff8033228b4 (__TEXT,__text) external _CreateLSTMDataForScript
00007ff803322be4 (__TEXT,__text) external _DeleteLSTMData
00007ff803322c15 (__TEXT,__text) external _LSTMDataName
00007ff8033036d2 (__TEXT,__text) external _T_CString_int64ToString
00007ff803303633 (__TEXT,__text) external _T_CString_integerToString
00007ff803303774 (__TEXT,__text) external _T_CString_stringToInteger
00007ff8033035d3 (__TEXT,__text) external _T_CString_toLowerCase
00007ff803303603 (__TEXT,__text) external _T_CString_toUpperCase
00007ff803367ccd (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
00007ff803367a85 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
00007ff803367986 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
00007ff803367ba3 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
00007ff803368270 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
00007ff80336821e (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
00007ff803367a7f (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
00007ff803368240 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
00007ff803386250 (__TEXT,__text) external _UDataMemory_createNewInstance
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ff8033b3e6b (__TEXT,__text) external __Z30uscript_getSampleUnicodeString11UScriptCode
00007ff803506c61 (__TEXT,__text) external __Z31uspoof_getSkeletonUnicodeStringPK13USpoofCheckerjRKN3icu13UnicodeStringERS3_P10UErrorCode
00007ff8032fbaa0 (__TEXT,__text) external __ZN3icu10Appendable12appendStringEPKDsi
00007ff8032fba36 (__TEXT,__text) external __ZN3icu10Appendable15appendCodePointEi
00007ff8032fbb20 (__TEXT,__text) external __ZN3icu10Appendable15getAppendBufferEiiPDsiPi
00007ff8032fbb14 (__TEXT,__text) external __ZN3icu10Appendable21reserveAppendCapacityEi
00007ff8032fba30 (__TEXT,__text) external __ZN3icu10AppendableD0Ev
00007ff8032fba2a (__TEXT,__text) external __ZN3icu10AppendableD1Ev
00007ff8032fba20 (__TEXT,__text) external __ZN3icu10AppendableD2Ev
00007ff8033dbba4 (__TEXT,__text) external __ZN3icu10CECalendar6ceToJDEiiii
00007ff8033dbc9a (__TEXT,__text) external __ZN3icu10CECalendar6jdToCEEiiRiS1_S1_
00007ff8033dbade (__TEXT,__text) external __ZN3icu10CECalendarC2ERKNS_6LocaleER10UErrorCode
00007ff8033dbb2e (__TEXT,__text) external __ZN3icu10CECalendarC2ERKS0_
00007ff8033dbb5e (__TEXT,__text) external __ZN3icu10CECalendarD0Ev
00007ff8033dbb58 (__TEXT,__text) external __ZN3icu10CECalendarD1Ev
00007ff8033dbb4e (__TEXT,__text) external __ZN3icu10CECalendarD2Ev
00007ff8033dbb64 (__TEXT,__text) external __ZN3icu10CECalendaraSERKS0_
