00007ffb183fcc1f (__TEXT,__text) external _AAArchiveStreamCancel
00007ffb183fcbe8 (__TEXT,__text) external _AAArchiveStreamClose
00007ffb1840e6a1 (__TEXT,__text) external _AAArchiveStreamProcess
00007ffb183fcb9a (__TEXT,__text) external _AAArchiveStreamReadBlob
00007ffb183fcb80 (__TEXT,__text) external _AAArchiveStreamReadHeader
00007ffb183fcbce (__TEXT,__text) external _AAArchiveStreamWriteBlob
00007ffb183fcbb4 (__TEXT,__text) external _AAArchiveStreamWriteHeader
00007ffb183fda3f (__TEXT,__text) external _AAArchiveStreamWritePathList
00007ffb18449ba4 (__TEXT,__text) external _AAAsyncByteStreamCancel
00007ffb18449bb9 (__TEXT,__text) external _AAAsyncByteStreamClose
00007ffb184495aa (__TEXT,__text) external _AAAsyncByteStreamGetRange
00007ffb18449a43 (__TEXT,__text) external _AAAsyncByteStreamProcess
00007ffb18420467 (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
00007ffb1840f568 (__TEXT,__text) external _AAByteRangeAdd
00007ffb1840f48e (__TEXT,__text) external _AAByteRangeClone
00007ffb1840f3fb (__TEXT,__text) external _AAByteRangeCreate
00007ffb1840f468 (__TEXT,__text) external _AAByteRangeDestroy
00007ffb1840f732 (__TEXT,__text) external _AAByteRangeFirst
00007ffb1840f83f (__TEXT,__text) external _AAByteRangeNext
00007ffb1840f6c7 (__TEXT,__text) external _AAByteRangeOffsetAtSize
00007ffb1840f656 (__TEXT,__text) external _AAByteRangeSizeAtOffset
00007ffb1840f5e4 (__TEXT,__text) external _AAByteRangeSub
00007ffb18444aef (__TEXT,__text) external _AAByteStreamCancel
00007ffb18444b04 (__TEXT,__text) external _AAByteStreamClose
00007ffb18444ab7 (__TEXT,__text) external _AAByteStreamPRead
00007ffb18444b55 (__TEXT,__text) external _AAByteStreamPReadAsync
00007ffb18444a7f (__TEXT,__text) external _AAByteStreamPWrite
00007ffb1842a473 (__TEXT,__text) external _AAByteStreamProcess
00007ffb18444a9b (__TEXT,__text) external _AAByteStreamRead
00007ffb18444ad3 (__TEXT,__text) external _AAByteStreamSeek
00007ffb18444b3b (__TEXT,__text) external _AAByteStreamTruncate
00007ffb18444a63 (__TEXT,__text) external _AAByteStreamWrite
00007ffb1841fb42 (__TEXT,__text) external _AAChunkInputStreamOpen
00007ffb18428246 (__TEXT,__text) external _AAChunkOutputStreamOpen
00007ffb184457e3 (__TEXT,__text) external _AACompressionOutputStreamOpen
00007ffb18445f45 (__TEXT,__text) external _AACompressionOutputStreamOpenExisting
00007ffb184236c8 (__TEXT,__text) external _AAConvertArchiveOutputStreamOpen
00007ffb183fcc34 (__TEXT,__text) external _AACustomArchiveStreamOpen
00007ffb183fccb1 (__TEXT,__text) external _AACustomArchiveStreamSetCancelProc
00007ffb183fcca7 (__TEXT,__text) external _AACustomArchiveStreamSetCloseProc
00007ffb183fcc9e (__TEXT,__text) external _AACustomArchiveStreamSetData
00007ffb183fccd9 (__TEXT,__text) external _AACustomArchiveStreamSetReadBlobProc
00007ffb183fcccf (__TEXT,__text) external _AACustomArchiveStreamSetReadHeaderProc
00007ffb183fccc5 (__TEXT,__text) external _AACustomArchiveStreamSetWriteBlobProc
00007ffb183fccbb (__TEXT,__text) external _AACustomArchiveStreamSetWriteHeaderProc
00007ffb1844573f (__TEXT,__text) external _AACustomByteStreamOpen
00007ffb184457d9 (__TEXT,__text) external _AACustomByteStreamSetCancelProc
00007ffb1844579d (__TEXT,__text) external _AACustomByteStreamSetCloseProc
00007ffb18445794 (__TEXT,__text) external _AACustomByteStreamSetData
00007ffb184457b1 (__TEXT,__text) external _AACustomByteStreamSetPReadProc
00007ffb184457c5 (__TEXT,__text) external _AACustomByteStreamSetPWriteProc
00007ffb184457a7 (__TEXT,__text) external _AACustomByteStreamSetReadProc
00007ffb184457cf (__TEXT,__text) external _AACustomByteStreamSetSeekProc
00007ffb184457bb (__TEXT,__text) external _AACustomByteStreamSetWriteProc
00007ffb18443fe3 (__TEXT,__text) external _AADecodeArchiveInputStreamOpen
00007ffb1844511a (__TEXT,__text) external _AADecompressionInputStreamOpen
00007ffb18448ac9 (__TEXT,__text) external _AADecompressionRandomAccessInputStreamOpen
00007ffb184430d0 (__TEXT,__text) external _AAEncodeArchiveOutputStreamOpen
00007ffb18441759 (__TEXT,__text) external _AAEntryACLBlobAppendEntry
00007ffb184421ec (__TEXT,__text) external _AAEntryACLBlobApplyToPath
00007ffb184421d6 (__TEXT,__text) external _AAEntryACLBlobClear
00007ffb184420a8 (__TEXT,__text) external _AAEntryACLBlobCreate
00007ffb18442143 (__TEXT,__text) external _AAEntryACLBlobCreateWithEncodedData
00007ffb1844218a (__TEXT,__text) external _AAEntryACLBlobCreateWithPath
00007ffb1844210e (__TEXT,__text) external _AAEntryACLBlobDestroy
00007ffb184427ac (__TEXT,__text) external _AAEntryACLBlobGetEncodedData
00007ffb184427a2 (__TEXT,__text) external _AAEntryACLBlobGetEncodedSize
00007ffb18442336 (__TEXT,__text) external _AAEntryACLBlobGetEntry
00007ffb1844232e (__TEXT,__text) external _AAEntryACLBlobGetEntryCount
00007ffb184426e5 (__TEXT,__text) external _AAEntryACLBlobRemoveEntry
