00007ffa42a46bb0 (__DATA,__bss) non-external _SVC_REQ_KEY
00007ffa42a46af0 (__DATA,__data) non-external _TIMEOUT
00007ffa42a46b00 (__DATA,__data) non-external _TIMEOUT
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffa16961120 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffa16961140 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___memmove_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
00007ffa1695d6f6 (__TEXT,__text) non-external __buf
00007ffa1696bf3f (__TEXT,__text) non-external __buf.cold.1
00007ffa1696bfe6 (__TEXT,__text) non-external __buf.cold.2
00007ffa1695d5d4 (__TEXT,__text) external __newrpclib___rpc_createerr
00007ffa1696bd4a (__TEXT,__text) non-external __newrpclib___rpc_createerr.cold.1
00007ffa1696bdf1 (__TEXT,__text) non-external __newrpclib___rpc_createerr.cold.2
00007ffa16961c59 (__TEXT,__text) external __newrpclib__authenticate
00007ffa1696ca48 (__TEXT,__text) non-external __newrpclib__authenticate.cold.1
00007ffa1696cae5 (__TEXT,__text) non-external __newrpclib__authenticate.cold.2
00007ffa1696cb93 (__TEXT,__text) non-external __newrpclib__authenticate.cold.3
00007ffa42a46ce0 (__DATA,__common) external __newrpclib__null_auth
00007ffa169618f5 (__TEXT,__text) external __newrpclib__seterr_reply
00007ffa1695bdac (__TEXT,__text) external __newrpclib_authnone_create
00007ffa1696b819 (__TEXT,__text) non-external __newrpclib_authnone_create.cold.1
00007ffa1695bf0e (__TEXT,__text) external __newrpclib_authunix_create
00007ffa1696b8c0 (__TEXT,__text) non-external __newrpclib_authunix_create.cold.1
00007ffa1696b96e (__TEXT,__text) non-external __newrpclib_authunix_create.cold.2
00007ffa1696ba1c (__TEXT,__text) non-external __newrpclib_authunix_create.cold.3
00007ffa1696bab7 (__TEXT,__text) non-external __newrpclib_authunix_create.cold.4
00007ffa1695c26d (__TEXT,__text) external __newrpclib_authunix_create_default
00007ffa1696bbed (__TEXT,__text) non-external __newrpclib_authunix_create_default.cold.1
00007ffa1696bc9b (__TEXT,__text) non-external __newrpclib_authunix_create_default.cold.2
00007ffa1695bb90 (__TEXT,__text) external __newrpclib_callrpc
00007ffa16960e6d (__TEXT,__text) external __newrpclib_clnt_broadcast
00007ffa1695c8a3 (__TEXT,__text) external __newrpclib_clnt_create
00007ffa1695c68e (__TEXT,__text) external __newrpclib_clnt_create_timeout
00007ffa1695c9f4 (__TEXT,__text) external __newrpclib_clnt_multicasts_buf_timeout
00007ffa1695dd1a (__TEXT,__text) external __newrpclib_clnt_pcreateerror
00007ffa1695da89 (__TEXT,__text) external __newrpclib_clnt_perrno
00007ffa1695d99c (__TEXT,__text) external __newrpclib_clnt_perror
00007ffa1695dacb (__TEXT,__text) external __newrpclib_clnt_spcreateerror
00007ffa1695da57 (__TEXT,__text) external __newrpclib_clnt_sperrno
