00007ffe07467052 (__TEXT,__text) non-external _Done_iODBC
00007ffe07484d50 (__TEXT,__const) non-external _FunctionNumbers
00007ffe07483d20 (__TEXT,__text) non-external _GetPrivateProfileString
00007ffe07466f34 (__TEXT,__text) non-external _Init_iODBC
00007ffe4338e17c (__DATA,__common) non-external _ODBCSharedTraceFlag
00007ffe074655b2 (__TEXT,__text) external _SQLAllocConnect
00007ffe07465498 (__TEXT,__text) non-external _SQLAllocConnect_Internal
00007ffe07466ebb (__TEXT,__text) external _SQLAllocEnv
00007ffe07466d03 (__TEXT,__text) non-external _SQLAllocEnv_Internal
00007ffe0747160c (__TEXT,__text) external _SQLAllocHandle
00007ffe07471707 (__TEXT,__text) non-external _SQLAllocHandleStd
00007ffe07471370 (__TEXT,__text) non-external _SQLAllocHandle_Internal
00007ffe0746a165 (__TEXT,__text) external _SQLAllocStmt
00007ffe07469b80 (__TEXT,__text) non-external _SQLAllocStmt_Internal
00007ffe0746f269 (__TEXT,__text) external _SQLBindCol
00007ffe074775e9 (__TEXT,__text) external _SQLBindParam
00007ffe0746e5a2 (__TEXT,__text) external _SQLBindParameter
00007ffe07462104 (__TEXT,__text) external _SQLBrowseConnect
00007ffe07462273 (__TEXT,__text) external _SQLBrowseConnectA
00007ffe074623e2 (__TEXT,__text) external _SQLBrowseConnectW
00007ffe07461a88 (__TEXT,__text) non-external _SQLBrowseConnect_Internal
00007ffe074770a8 (__TEXT,__text) external _SQLBulkOperations
00007ffe0746b06d (__TEXT,__text) external _SQLCancel
00007ffe07477615 (__TEXT,__text) external _SQLCloseCursor
00007ffe07476aec (__TEXT,__text) external _SQLColAttribute
00007ffe07476c96 (__TEXT,__text) external _SQLColAttributeA
00007ffe07476e40 (__TEXT,__text) external _SQLColAttributeW
00007ffe074763ab (__TEXT,__text) non-external _SQLColAttribute_Internal
00007ffe07470e6f (__TEXT,__text) external _SQLColAttributes
00007ffe07471019 (__TEXT,__text) external _SQLColAttributesA
00007ffe074711c3 (__TEXT,__text) external _SQLColAttributesW
00007ffe074709bb (__TEXT,__text) non-external _SQLColAttributes_Internal
00007ffe0745a844 (__TEXT,__text) external _SQLColumnPrivileges
00007ffe0745aa15 (__TEXT,__text) external _SQLColumnPrivilegesA
00007ffe0745abe6 (__TEXT,__text) external _SQLColumnPrivilegesW
00007ffe0745a564 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00007ffe0745b097 (__TEXT,__text) external _SQLColumns
00007ffe0745b268 (__TEXT,__text) external _SQLColumnsA
00007ffe0745b439 (__TEXT,__text) external _SQLColumnsW
00007ffe0745adb7 (__TEXT,__text) non-external _SQLColumns_Internal
00007ffe0745ef58 (__TEXT,__text) external _SQLConnect
00007ffe0745f873 (__TEXT,__text) external _SQLConnectA
00007ffe0745f9f7 (__TEXT,__text) external _SQLConnectW
00007ffe0745f0dc (__TEXT,__text) non-external _SQLConnect_Internal
00007ffe07484ab4 (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00007ffe0747622b (__TEXT,__text) external _SQLCopyDesc
00007ffe0746bb01 (__TEXT,__text) external _SQLDataSources
00007ffe0746bc27 (__TEXT,__text) external _SQLDataSourcesA
00007ffe0746bd4d (__TEXT,__text) external _SQLDataSourcesW
00007ffe0746b690 (__TEXT,__text) non-external _SQLDataSources_Internal
00007ffe4338e100 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
00007ffe4338e120 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
00007ffe4338e128 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00007ffe07470415 (__TEXT,__text) external _SQLDescribeCol
00007ffe074705f7 (__TEXT,__text) external _SQLDescribeColA
00007ffe074707d9 (__TEXT,__text) external _SQLDescribeColW
00007ffe0747015d (__TEXT,__text) non-external _SQLDescribeCol_Internal
00007ffe074642a7 (__TEXT,__text) external _SQLDescribeParam
00007ffe07462551 (__TEXT,__text) external _SQLDisconnect
00007ffe074615cf (__TEXT,__text) external _SQLDriverConnect
00007ffe07461762 (__TEXT,__text) external _SQLDriverConnectA
00007ffe074618f5 (__TEXT,__text) external _SQLDriverConnectW
00007ffe0745fb7b (__TEXT,__text) non-external _SQLDriverConnect_Internal
00007ffe07484ad7 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
00007ffe07484afa (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00007ffe0746c3ca (__TEXT,__text) external _SQLDrivers
00007ffe0746c4f0 (__TEXT,__text) external _SQLDriversA
00007ffe0746c616 (__TEXT,__text) external _SQLDriversW
00007ffe0746bf9c (__TEXT,__text) non-external _SQLDrivers_Internal
00007ffe4338e104 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
00007ffe4338e130 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
00007ffe4338e138 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
00007ffe07476fea (__TEXT,__text) external _SQLEndTran
00007ffe074679f2 (__TEXT,__text) external _SQLError
00007ffe07467ad7 (__TEXT,__text) external _SQLErrorA
00007ffe07467bbc (__TEXT,__text) external _SQLErrorW
00007ffe07463781 (__TEXT,__text) external _SQLExecDirect
00007ffe074638bd (__TEXT,__text) external _SQLExecDirectA
00007ffe074639f9 (__TEXT,__text) external _SQLExecDirectW
00007ffe07463528 (__TEXT,__text) non-external _SQLExecDirect_Internal
00007ffe0746326f (__TEXT,__text) external _SQLExecute
00007ffe074649fb (__TEXT,__text) external _SQLExtendedFetch
00007ffe07464751 (__TEXT,__text) external _SQLFetch
00007ffe074772b8 (__TEXT,__text) external _SQLFetchScroll
00007ffe07464584 (__TEXT,__text) non-external _SQLFetch_Internal
00007ffe0745b9d1 (__TEXT,__text) external _SQLForeignKeys
00007ffe0745bbd6 (__TEXT,__text) external _SQLForeignKeysA
00007ffe0745bddb (__TEXT,__text) external _SQLForeignKeysW
00007ffe0745b60a (__TEXT,__text) non-external _SQLForeignKeys_Internal
00007ffe074656f9 (__TEXT,__text) external _SQLFreeConnect
00007ffe07465659 (__TEXT,__text) non-external _SQLFreeConnect_Internal
00007ffe07466fd2 (__TEXT,__text) external _SQLFreeEnv
00007ffe07466f61 (__TEXT,__text) non-external _SQLFreeEnv_Internal
00007ffe07471805 (__TEXT,__text) external _SQLFreeHandle
00007ffe0746a5c1 (__TEXT,__text) external _SQLFreeStmt
00007ffe0746a381 (__TEXT,__text) non-external _SQLFreeStmt_Internal
00007ffe074816b5 (__TEXT,__text) non-external _SQLGetConfigMode
00007ffe07474495 (__TEXT,__text) external _SQLGetConnectAttr
00007ffe074749a6 (__TEXT,__text) external _SQLGetConnectAttrA
00007ffe07474aee (__TEXT,__text) external _SQLGetConnectAttrW
00007ffe074745dd (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
00007ffe074665f5 (__TEXT,__text) external _SQLGetConnectOption
00007ffe0746671b (__TEXT,__text) external _SQLGetConnectOptionA
00007ffe07466841 (__TEXT,__text) external _SQLGetConnectOptionW
00007ffe0746f87d (__TEXT,__text) external _SQLGetCursorName
00007ffe0746f9d5 (__TEXT,__text) external _SQLGetCursorNameA
00007ffe0746fb2d (__TEXT,__text) external _SQLGetCursorNameW
00007ffe0746f64d (__TEXT,__text) non-external _SQLGetCursorName_Internal
00007ffe07464b8d (__TEXT,__text) external _SQLGetData
00007ffe07474eb0 (__TEXT,__text) external _SQLGetDescField
00007ffe07475030 (__TEXT,__text) external _SQLGetDescFieldA
00007ffe074751b0 (__TEXT,__text) external _SQLGetDescFieldW
00007ffe07474c36 (__TEXT,__text) non-external _SQLGetDescField_Internal
00007ffe07475ad3 (__TEXT,__text) external _SQLGetDescRec
00007ffe07475c85 (__TEXT,__text) external _SQLGetDescRecA
00007ffe07475e37 (__TEXT,__text) external _SQLGetDescRecW
00007ffe074758d2 (__TEXT,__text) non-external _SQLGetDescRec_Internal
00007ffe074698c8 (__TEXT,__text) external _SQLGetDiagField
00007ffe074699b0 (__TEXT,__text) external _SQLGetDiagFieldA
00007ffe07469a98 (__TEXT,__text) external _SQLGetDiagFieldW
00007ffe0746874d (__TEXT,__text) non-external _SQLGetDiagField_Internal
00007ffe07468480 (__TEXT,__text) external _SQLGetDiagRec
00007ffe0746856f (__TEXT,__text) external _SQLGetDiagRecA
00007ffe0746865e (__TEXT,__text) external _SQLGetDiagRecW
00007ffe07467ca1 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
00007ffe07471f06 (__TEXT,__text) external _SQLGetEnvAttr
00007ffe0746d390 (__TEXT,__text) external _SQLGetFunctions
00007ffe0746cf8b (__TEXT,__text) external _SQLGetInfo
00007ffe0746d0e2 (__TEXT,__text) external _SQLGetInfoA
00007ffe0746d239 (__TEXT,__text) external _SQLGetInfoW
00007ffe0746c865 (__TEXT,__text) non-external _SQLGetInfo_Internal
00007ffe074844af (__TEXT,__text) non-external _SQLGetKeywordValue
00007ffe074844e8 (__TEXT,__text) non-external _SQLGetKeywordValueW
00007ffe07483ecd (__TEXT,__text) non-external _SQLGetPrivateProfileString
00007ffe0748411f (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00007ffe074728c0 (__TEXT,__text) external _SQLGetStmtAttr
00007ffe07472a1e (__TEXT,__text) external _SQLGetStmtAttrA
00007ffe07472b7c (__TEXT,__text) external _SQLGetStmtAttrW
00007ffe074720c0 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
00007ffe0746adf3 (__TEXT,__text) external _SQLGetStmtOption
00007ffe0746af30 (__TEXT,__text) external _SQLGetStmtOptionA
00007ffe0746abe7 (__TEXT,__text) non-external _SQLGetStmtOption_Internal
00007ffe074588c8 (__TEXT,__text) external _SQLGetTypeInfo
00007ffe074589f0 (__TEXT,__text) external _SQLGetTypeInfoA
00007ffe07458b18 (__TEXT,__text) external _SQLGetTypeInfoW
00007ffe07458730 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
00007ffe07464f47 (__TEXT,__text) external _SQLMoreResults
00007ffe0746297c (__TEXT,__text) external _SQLNativeSql
00007ffe07462af8 (__TEXT,__text) external _SQLNativeSqlA
00007ffe07462c74 (__TEXT,__text) external _SQLNativeSqlW
00007ffe074626b8 (__TEXT,__text) non-external _SQLNativeSql_Internal
00007ffe07464099 (__TEXT,__text) external _SQLNumParams
00007ffe0746ff79 (__TEXT,__text) external _SQLNumResultCols
00007ffe07463ddf (__TEXT,__text) external _SQLParamData
00007ffe0746ea33 (__TEXT,__text) external _SQLParamOptions
00007ffe0746dc6b (__TEXT,__text) external _SQLPrepare
00007ffe0746dda7 (__TEXT,__text) external _SQLPrepareA
00007ffe0746dee3 (__TEXT,__text) external _SQLPrepareW
00007ffe0746da54 (__TEXT,__text) non-external _SQLPrepare_Internal
00007ffe0745c262 (__TEXT,__text) external _SQLPrimaryKeys
00007ffe0745c418 (__TEXT,__text) external _SQLPrimaryKeysA
00007ffe0745c5ce (__TEXT,__text) external _SQLPrimaryKeysW
00007ffe0745bfe0 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
00007ffe0745ca64 (__TEXT,__text) external _SQLProcedureColumns
00007ffe0745cc35 (__TEXT,__text) external _SQLProcedureColumnsA
00007ffe0745ce06 (__TEXT,__text) external _SQLProcedureColumnsW
00007ffe0745c784 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
00007ffe0745d259 (__TEXT,__text) external _SQLProcedures
00007ffe0745d40f (__TEXT,__text) external _SQLProceduresA
00007ffe0745d5c5 (__TEXT,__text) external _SQLProceduresW
00007ffe0745cfd7 (__TEXT,__text) non-external _SQLProcedures_Internal
00007ffe07463b35 (__TEXT,__text) external _SQLPutData
00007ffe07480e85 (__TEXT,__text) non-external _SQLReadFileDSN
00007ffe07480ff4 (__TEXT,__text) non-external _SQLReadFileDSNW
00007ffe0746fc85 (__TEXT,__text) external _SQLRowCount
00007ffe07484521 (__TEXT,__text) non-external _SQLSetConfigMode
00007ffe07473eb7 (__TEXT,__text) external _SQLSetConnectAttr
00007ffe07474215 (__TEXT,__text) external _SQLSetConnectAttrA
00007ffe07474355 (__TEXT,__text) external _SQLSetConnectAttrW
00007ffe07473ff7 (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
00007ffe07465e59 (__TEXT,__text) external _SQLSetConnectOption
00007ffe07465f7f (__TEXT,__text) external _SQLSetConnectOptionA
00007ffe074660a5 (__TEXT,__text) external _SQLSetConnectOptionW
00007ffe0746e1dc (__TEXT,__text) external _SQLSetCursorName
00007ffe0746e31e (__TEXT,__text) external _SQLSetCursorNameA
00007ffe0746e460 (__TEXT,__text) external _SQLSetCursorNameW
00007ffe0746e01f (__TEXT,__text) non-external _SQLSetCursorName_Internal
00007ffe074754c7 (__TEXT,__text) external _SQLSetDescField
00007ffe07475620 (__TEXT,__text) external _SQLSetDescFieldA
00007ffe07475779 (__TEXT,__text) external _SQLSetDescFieldW
00007ffe07475330 (__TEXT,__text) non-external _SQLSetDescField_Internal
00007ffe07475fe9 (__TEXT,__text) external _SQLSetDescRec
00007ffe07471d16 (__TEXT,__text) external _SQLSetEnvAttr
00007ffe07471e33 (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
00007ffe07484a61 (__TEXT,__text) non-external _SQLSetKeywordValue
00007ffe07484a72 (__TEXT,__text) non-external _SQLSetKeywordValueW
00007ffe0746f240 (__TEXT,__text) external _SQLSetParam
00007ffe07465344 (__TEXT,__text) external _SQLSetPos
00007ffe0746ed47 (__TEXT,__text) external _SQLSetScrollOptions
00007ffe07473aac (__TEXT,__text) external _SQLSetStmtAttr
00007ffe07473c05 (__TEXT,__text) external _SQLSetStmtAttrA
00007ffe07473d5e (__TEXT,__text) external _SQLSetStmtAttrW
00007ffe07472cda (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
00007ffe0746a6f9 (__TEXT,__text) external _SQLSetStmtOption
00007ffe0746aaab (__TEXT,__text) external _SQLSetStmtOptionA
00007ffe0746a835 (__TEXT,__text) non-external _SQLSetStmtOption_Internal
00007ffe07458f07 (__TEXT,__text) external _SQLSpecialColumns
00007ffe074590eb (__TEXT,__text) external _SQLSpecialColumnsA
00007ffe074592cf (__TEXT,__text) external _SQLSpecialColumnsW
00007ffe07458c40 (__TEXT,__text) non-external _SQLSpecialColumns_Internal
00007ffe0745976b (__TEXT,__text) external _SQLStatistics
00007ffe0745994d (__TEXT,__text) external _SQLStatisticsA
00007ffe07459b2f (__TEXT,__text) external _SQLStatisticsW
00007ffe074594b3 (__TEXT,__text) non-external _SQLStatistics_Internal
00007ffe0745d9fd (__TEXT,__text) external _SQLTablePrivileges
00007ffe0745dbb3 (__TEXT,__text) external _SQLTablePrivilegesA
00007ffe0745dd69 (__TEXT,__text) external _SQLTablePrivilegesW
