00007ff901314fc0 (__TEXT,__text) non-external +[Calculate _lock]
00007ff901314f09 (__TEXT,__text) non-external +[Calculate _resetGlobals]
00007ff901315083 (__TEXT,__text) non-external +[Calculate _unlock]
00007ff90131b937 (__TEXT,__text) non-external +[Calculate evaluate:options:]
00007ff9013150ed (__TEXT,__text) non-external +[Calculate evaluate:options:needsUpdate:]
00007ff90131b7c5 (__TEXT,__text) non-external +[Calculate evaluate:options:resultHandler:]
00007ff90131bed1 (__TEXT,__text) non-external +[CalculateRequest _lock]
00007ff90131bf09 (__TEXT,__text) non-external +[CalculateRequest _unlock]
00007ff90131bf22 (__TEXT,__text) non-external +[CalculateRequest serialQueue]
00007ff901324c2e (__TEXT,__text) non-external +[CalculateResult decimalNumberWithDecimal128:]
00007ff901324bab (__TEXT,__text) non-external +[CalculateResult defaultNumberFormatter]
00007ff9013251ae (__TEXT,__text) non-external +[CalculateResult preferMeasurementSystemsForLocale:preferred:fallback:]
00007ff901324cd7 (__TEXT,__text) non-external +[CalculateResult resultWithResultTree:parseTree:locales:numberFormatter:unitsInfo:unitType:unitExponent:expression:isTrivial:localizeUnit:unitFormat:autoScientificNotation:flexibleFractionDigits:hasStaleCurrencyData:]
00007ff90131fab5 (__TEXT,__text) non-external +[CalculateTerm termWithValue:units:result:]
00007ff9013258c2 (__TEXT,__text) non-external +[CalculateToken tokenWithType:range:text:ranks:]
00007ff901329aaa (__TEXT,__text) non-external +[CalculateTokenizer displayNameExponent:]
00007ff901329a48 (__TEXT,__text) non-external +[CalculateTokenizer prepareString:]
00007ff901329a5d (__TEXT,__text) non-external +[CalculateTokenizer tokenizerWithUnits:]
00007ff901324a42 (__TEXT,__text) non-external +[CalculateUnit unitWithID:unitsInfo:exponent:]
00007ff90132ff7a (__TEXT,__text) non-external +[Converter currencyCacheLastRefreshDate]
00007ff90132ff4a (__TEXT,__text) non-external +[Converter dispatchQueue]
00007ff90132fef2 (__TEXT,__text) non-external +[Converter initialize]
00007ff90132ffd1 (__TEXT,__text) non-external +[Converter needsRefresh]
00007ff901330069 (__TEXT,__text) non-external +[Converter refreshCurrencyCacheIfNeeded]
00007ff90133001d (__TEXT,__text) non-external +[Converter refreshCurrencyCache]
00007ff9012fe035 (__TEXT,__text) non-external +[CurrencyCache shared]
00007ff9013102d2 (__TEXT,__text) non-external +[Localize availableLocaleNames]
00007ff901310457 (__TEXT,__text) non-external +[Localize formatString:withExponent:formatter:]
00007ff901310329 (__TEXT,__text) non-external +[Localize localizationForLocale:]
00007ff9013107ba (__TEXT,__text) non-external +[Localize localizedStringForKey:value:table:localization:]
00007ff901310894 (__TEXT,__text) non-external +[Localize localizedStringsForTable:localization:]
00007ff9013102a7 (__TEXT,__text) non-external +[Localize mainBundle]
00007ff901310094 (__TEXT,__text) non-external +[Localize systemLocale]
00007ff9013100ad (__TEXT,__text) non-external +[Localize systemLocales]
00007ff901314db5 (__TEXT,__text) non-external +[Trie enumerateCharactersInKey:range:usingBlock:]
00007ff90131442c (__TEXT,__text) non-external +[TrieNode nodeWithTrie:node:offset:]
00007ff901311292 (__TEXT,__text) non-external +[UnitRanks unitRanksWithUnitsInfo:]
00007ff901314045 (__TEXT,__text) non-external +[UnitsInfo shouldSkipUnitName:]
00007ff90131406b (__TEXT,__text) non-external +[UnitsInfo unitsInfoWithDictionary:]
00007ff90131bcb7 (__TEXT,__text) non-external -[CalculateRequest .cxx_destruct]
00007ff90131ba76 (__TEXT,__text) non-external -[CalculateRequest cancel]
00007ff90131bc3a (__TEXT,__text) non-external -[CalculateRequest expression]
00007ff90131bb4d (__TEXT,__text) non-external -[CalculateRequest finish]
00007ff90131bc8b (__TEXT,__text) non-external -[CalculateRequest isCanceled]
00007ff90131bc55 (__TEXT,__text) non-external -[CalculateRequest options]
00007ff90131bc9e (__TEXT,__text) non-external -[CalculateRequest resultHandler]
00007ff90131bc70 (__TEXT,__text) non-external -[CalculateRequest result]
00007ff90131bc44 (__TEXT,__text) non-external -[CalculateRequest setExpression:]
00007ff90131bc95 (__TEXT,__text) non-external -[CalculateRequest setIsCanceled:]
00007ff90131bc5f (__TEXT,__text) non-external -[CalculateRequest setOptions:]
00007ff90131bc7a (__TEXT,__text) non-external -[CalculateRequest setResult:]
00007ff90131bca8 (__TEXT,__text) non-external -[CalculateRequest setResultHandler:]
00007ff90131b982 (__TEXT,__text) non-external -[CalculateRequest update]
00007ff901323b41 (__TEXT,__text) non-external -[CalculateResult .cxx_destruct]
00007ff9013204fe (__TEXT,__text) non-external -[CalculateResult _setConversions:]
00007ff90132067d (__TEXT,__text) non-external -[CalculateResult _setExpression:]
00007ff901320636 (__TEXT,__text) non-external -[CalculateResult _setInputValueAndUnit:]
00007ff90132068e (__TEXT,__text) non-external -[CalculateResult _setTerms:]
00007ff901323a05 (__TEXT,__text) non-external -[CalculateResult autoScientificNotation]
00007ff90132288b (__TEXT,__text) non-external -[CalculateResult availableConversions]
00007ff9013215f4 (__TEXT,__text) non-external -[CalculateResult bestConversion]
00007ff901320938 (__TEXT,__text) non-external -[CalculateResult compare:]
00007ff901321065 (__TEXT,__text) non-external -[CalculateResult conversionsForMetric:US:UK:]
00007ff901323a5c (__TEXT,__text) non-external -[CalculateResult conversions]
00007ff9013234ce (__TEXT,__text) non-external -[CalculateResult convertedTo:]
00007ff9013232a1 (__TEXT,__text) non-external -[CalculateResult convertedTree:needsUpdate:]
00007ff901320884 (__TEXT,__text) non-external -[CalculateResult dealloc]
00007ff901323932 (__TEXT,__text) non-external -[CalculateResult description]
00007ff901320e34 (__TEXT,__text) non-external -[CalculateResult enableMeasurementSystemsForLocale:metric:US:UK:]
00007ff9013239c5 (__TEXT,__text) non-external -[CalculateResult expression]
00007ff901323a18 (__TEXT,__text) non-external -[CalculateResult flexibleFractionDigits]
00007ff901320c4f (__TEXT,__text) non-external -[CalculateResult formattedExpression]
00007ff901320c61 (__TEXT,__text) non-external -[CalculateResult formattedResult]
00007ff901323a66 (__TEXT,__text) non-external -[CalculateResult hasStaleCurrencyData]
00007ff90132080a (__TEXT,__text) non-external -[CalculateResult init]
00007ff901323a52 (__TEXT,__text) non-external -[CalculateResult inputValueAndUnit]
00007ff901321490 (__TEXT,__text) non-external -[CalculateResult isAcceptableConversion:]
00007ff901320bed (__TEXT,__text) non-external -[CalculateResult isEqual:]
00007ff901323a2b (__TEXT,__text) non-external -[CalculateResult isTrivial]
00007ff9013239ea (__TEXT,__text) non-external -[CalculateResult locales]
00007ff901323ad2 (__TEXT,__text) non-external -[CalculateResult localizeUnit]
00007ff90132297d (__TEXT,__text) non-external -[CalculateResult localizedConversions]
00007ff901320fd5 (__TEXT,__text) non-external -[CalculateResult newUnit:]
00007ff9013239cf (__TEXT,__text) non-external -[CalculateResult numberFormatter]
00007ff901323a83 (__TEXT,__text) non-external -[CalculateResult parent]
00007ff901323aaa (__TEXT,__text) non-external -[CalculateResult parseTree]
00007ff901323abe (__TEXT,__text) non-external -[CalculateResult resultTree]
00007ff901323a0f (__TEXT,__text) non-external -[CalculateResult setAutoScientificNotation:]
00007ff901323a22 (__TEXT,__text) non-external -[CalculateResult setFlexibleFractionDigits:]
00007ff9013239f4 (__TEXT,__text) non-external -[CalculateResult setLocales:]
00007ff901323adc (__TEXT,__text) non-external -[CalculateResult setLocalizeUnit:]
00007ff9013239d9 (__TEXT,__text) non-external -[CalculateResult setNumberFormatter:]
00007ff901323a99 (__TEXT,__text) non-external -[CalculateResult setParent:]
00007ff901323ab4 (__TEXT,__text) non-external -[CalculateResult setParseTree:]
00007ff901323ac8 (__TEXT,__text) non-external -[CalculateResult setResultTree:]
00007ff901323b38 (__TEXT,__text) non-external -[CalculateResult setSingleUnitID:]
