                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff80d0596ed (__TEXT,__text) non-external _au_assemble
00007ff80d05ab69 (__TEXT,__text) external _au_bsm_to_domain
00007ff80d065f04 (__TEXT,__text) external _au_bsm_to_errno
00007ff80d065fb2 (__TEXT,__text) external _au_bsm_to_fcntl_cmd
00007ff80d062433 (__TEXT,__text) external _au_bsm_to_socket_type
00007ff80d059944 (__TEXT,__text) external _au_close
00007ff80d0599f5 (__TEXT,__text) external _au_close_buffer
00007ff80d059ab5 (__TEXT,__text) external _au_close_token
00007ff80d059622 (__TEXT,__text) external _au_close_with_errors
00007ff84238d6b4 (__DATA,__bss) non-external _au_cond
00007ff80d05ab3e (__TEXT,__text) external _au_domain_to_bsm
00007ff80d065ed6 (__TEXT,__text) external _au_errno_to_bsm
00007ff80d065f87 (__TEXT,__text) external _au_fcntl_cmd_to_bsm
00007ff80d0590ab (__TEXT,__text) external _au_fetch_tok
00007ff80d059439 (__TEXT,__text) external _au_free_token
00007ff80d062332 (__TEXT,__text) external _au_get_state
00007ff80d062292 (__TEXT,__text) external _au_notify_initialize
00007ff80d062319 (__TEXT,__text) external _au_notify_terminate
00007ff80d059463 (__TEXT,__text) external _au_open
00007ff84238c2c0 (__DATA,__const) non-external _au_polstr
00007ff80d059f28 (__TEXT,__text) external _au_poltostr
00007ff80d0620ad (__TEXT,__text) external _au_preselect
00007ff80d05cf08 (__TEXT,__text) external _au_print_flags_tok
00007ff80d061340 (__TEXT,__text) external _au_print_tok
00007ff80d06135a (__TEXT,__text) external _au_print_tok_xml
00007ff80d05b459 (__TEXT,__text) external _au_print_xml_footer
00007ff80d05b418 (__TEXT,__text) external _au_print_xml_header
00007ff80d06137a (__TEXT,__text) external _au_read_rec
00007ff80d065e96 (__TEXT,__text) external _au_sdev_close
00007ff80d065ec9 (__TEXT,__text) external _au_sdev_fd
00007ff80d058c8f (__TEXT,__text) external _au_sdev_open
00007ff80d058d63 (__TEXT,__text) external _au_sdev_read_aia
00007ff84238c3b0 (__DATA,__const) non-external _au_sflagsstr
00007ff80d05a091 (__TEXT,__text) external _au_sflagstostr
00007ff80d062408 (__TEXT,__text) external _au_socket_type_to_bsm
00007ff80d05a60a (__TEXT,__text) non-external _au_spacetobytes
00007ff80d065f43 (__TEXT,__text) external _au_strerror
00007ff80d059fcb (__TEXT,__text) external _au_strtopol
00007ff80d05a131 (__TEXT,__text) external _au_strtosflags
00007ff80d059899 (__TEXT,__text) non-external _au_teardown
00007ff80d06260d (__TEXT,__text) external _au_to_arg
