00000001d98a3330 (__DATA,__common) external _BC
00000001d98a31dc (__DATA,__common) external _COLORS
00000001a6f70190 (__TEXT,__text) external _COLOR_PAIR
00000001d98a31d8 (__DATA,__common) external _COLOR_PAIRS
00000001d98a331c (__DATA,__common) external _COLS
00000001d98a2d58 (__DATA,__data) external _ESCDELAY
00000001d98a3318 (__DATA,__common) external _LINES
00000001a6f71334 (__TEXT,__text) external _PAIR_NUMBER
00000001d98a333c (__DATA,__common) external _PC
00000001d98a3208 (__DATA,__common) external _SP
00000001d98a3320 (__DATA,__common) external _TABSIZE
00000001d98a3328 (__DATA,__common) external _UP
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___darwin_check_fd_set_overflow (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00000001a6f4eedc (__TEXT,__text) external __nc_access
00000001a6f5158c (__TEXT,__text) external __nc_add_to_try
00000001a6f51d38 (__TEXT,__text) external __nc_align_termtype
00000001a6f514ec (__TEXT,__text) external __nc_basename
00000001a6f513cc (__TEXT,__text) external __nc_baudrate
00000001a6f587c4 (__TEXT,__text) external __nc_build_wch
00000001a6f69250 (__TEXT,__text) external __nc_capcmp
00000001a6f52c54 (__TEXT,__text) external __nc_captoinfo
00000001dbf9dc28 (__AUTH,__data) external __nc_check_termtype
00000001dbf9dc20 (__AUTH,__data) external __nc_check_termtype2
00000001d98a2f90 (__DATA,__common) external __nc_comment_end
00000001d98a2f88 (__DATA,__common) external __nc_comment_start
00000001a6f517d4 (__TEXT,__text) external __nc_copy_entry
00000001a6f52524 (__TEXT,__text) external __nc_copy_termtype
00000001d98a2f70 (__DATA,__common) external __nc_curr_col
00000001d98a2f80 (__DATA,__common) external __nc_curr_file_pos
00000001d98a2f6c (__DATA,__common) external __nc_curr_line
00000001d98a2fa0 (__DATA,__common) external __nc_curr_token
00000001a6f56e00 (__TEXT,__text) external __nc_delink_entry
00000001d98a2fb8 (__DATA,__common) external __nc_disable_period
00000001a6f5b2d0 (__TEXT,__text) external __nc_do_color
00000001a6f4f788 (__TEXT,__text) external __nc_doalloc
00000001a6f552f4 (__TEXT,__text) external __nc_entry_match
00000001a6f54544 (__TEXT,__text) external __nc_err_abort
00000001a6f6a280 (__TEXT,__text) external __nc_expand_try
00000001a6f72788 (__TEXT,__text) external __nc_expanded
00000001a6f56ea8 (__TEXT,__text) external __nc_fallback
00000001a6f54a5c (__TEXT,__text) external __nc_find_entry
00000001a6f54b4c (__TEXT,__text) external __nc_find_type_entry
00000001a6f56cc8 (__TEXT,__text) external __nc_first_db
00000001a6f67900 (__TEXT,__text) external __nc_first_name
