00000001835cfd64 (__TEXT,__text) external _CreateLSTMBreakEngine
00000001835cfd28 (__TEXT,__text) external _CreateLSTMData
00000001835cfbd4 (__TEXT,__text) external _CreateLSTMDataForScript
00000001835cff18 (__TEXT,__text) external _DeleteLSTMData
00000001835cff64 (__TEXT,__text) external _LSTMDataName
00000001835ae100 (__TEXT,__text) external _T_CString_int64ToString
00000001835ae028 (__TEXT,__text) external _T_CString_integerToString
00000001835ae1dc (__TEXT,__text) external _T_CString_stringToInteger
00000001835adfd0 (__TEXT,__text) external _T_CString_toLowerCase
00000001835adffc (__TEXT,__text) external _T_CString_toUpperCase
000000018361b704 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
000000018361b470 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
000000018361b348 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
000000018361b5b0 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
000000018361bc6c (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
000000018361bc14 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
000000018361b46c (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
000000018361bc38 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
0000000183638c0c (__TEXT,__text) external _UDataMemory_createNewInstance
                 (undefined) external __DefaultRuneLocale (from libSystem)
000000018366aaf0 (__TEXT,__text) external __Z30uscript_getSampleUnicodeString11UScriptCode
00000001837e52b4 (__TEXT,__text) external __Z31uspoof_getSkeletonUnicodeStringPK13USpoofCheckerjRKN3icu13UnicodeStringERS3_P10UErrorCode
00000001837e596c (__TEXT,__text) external __Z35uspoof_getBidiSkeletonUnicodeStringPK13USpoofChecker14UBiDiDirectionRKN3icu13UnicodeStringERS4_P10UErrorCode
00000001835a4e28 (__TEXT,__text) external __ZN3icu10Appendable12appendStringEPKDsi
00000001835a4d44 (__TEXT,__text) external __ZN3icu10Appendable15appendCodePointEi
00000001835a4eec (__TEXT,__text) external __ZN3icu10Appendable15getAppendBufferEiiPDsiPi
00000001835a4ee4 (__TEXT,__text) external __ZN3icu10Appendable21reserveAppendCapacityEi
