00007ffd4170fb78 (__DATA,__bss) non-external _A
00007ffd4170f940 (__DATA,__data) non-external (was a private external) _CMARK_ARENA_MEM_ALLOCATOR
00007ffd4170f7c8 (__DATA,__data) non-external (was a private external) _CMARK_DEFAULT_MEM_ALLOCATOR
00007ffd4170f7c0 (__DATA,__data) external _CMARK_NODE_LAST_BLOCK
00007ffd4170f7c4 (__DATA,__data) external _CMARK_NODE_LAST_INLINE
00007ffd4170fb80 (__DATA,__common) external _CMARK_NODE_STRIKETHROUGH
00007ffd4170fb88 (__DATA,__common) external _CMARK_NODE_TABLE
00007ffd4170fb90 (__DATA,__common) external _CMARK_NODE_TABLE_CELL
00007ffd4170fb8c (__DATA,__common) external _CMARK_NODE_TABLE_ROW
00007ffd4170fb30 (__DATA,__bss) non-external _CMARK_NODE__TABLE_VISITED
00007ffd017b4b60 (__TEXT,__const) non-external _HREF_SAFE
00007ffd017b2f00 (__TEXT,__const) non-external _HTML_ESCAPE_TABLE
00007ffd017b4a60 (__TEXT,__const) non-external _SMART_PUNCT_CHARS
00007ffd017a905e (__TEXT,__text) non-external _S_advance_offset
00007ffd0179a811 (__TEXT,__text) non-external _S_blankline
00007ffd017a9aa5 (__TEXT,__text) non-external _S_can_contain
00007ffd0179a7fe (__TEXT,__text) non-external _S_cr
00007ffd017a9105 (__TEXT,__text) non-external _S_find_first_nonspace
00007ffd0179c7a8 (__TEXT,__text) non-external _S_get_enumlevel
00007ffd017a99f1 (__TEXT,__text) non-external _S_node_unlink
00007ffd0179a824 (__TEXT,__text) non-external _S_out
00007ffd01798d56 (__TEXT,__text) non-external _S_outc
00007ffd017a7642 (__TEXT,__text) non-external _S_parser_feed
00007ffd017b4a40 (__TEXT,__const) non-external _S_parser_feed.repl
00007ffd017aaeb2 (__TEXT,__text) non-external _S_print_error
00007ffd017a7d7d (__TEXT,__text) non-external _S_process_line
00007ffd017b2419 (__TEXT,__text) non-external _S_process_line.cold.1
00007ffd017b243a (__TEXT,__text) non-external _S_process_line.cold.2
00007ffd017b245b (__TEXT,__text) non-external _S_process_line.cold.3
00007ffd017b247e (__TEXT,__text) non-external _S_process_line.cold.4
00007ffd017b24a1 (__TEXT,__text) non-external _S_process_line.cold.5
00007ffd01798650 (__TEXT,__text) non-external _S_put_footnote_backref
00007ffd01796828 (__TEXT,__text) non-external _S_render_node
00007ffd01798e40 (__TEXT,__text) non-external _S_render_node
00007ffd0179c0f8 (__TEXT,__text) non-external _S_render_node
00007ffd017af90f (__TEXT,__text) non-external _S_render_node
00007ffd017b21bc (__TEXT,__text) non-external _S_render_node.cold.1
00007ffd017b2250 (__TEXT,__text) non-external _S_render_node.cold.1
00007ffd017b22fd (__TEXT,__text) non-external _S_render_node.cold.1
00007ffd017b2c04 (__TEXT,__text) non-external _S_render_node.cold.1
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffd017a96d0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffd017a96f0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___memset_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00007ffd0179abbd (__TEXT,__text) non-external (was a private external) __ext_scan_at
00007ffd0179c9b8 (__TEXT,__text) non-external (was a private external) __scan_at
00007ffd017a5244 (__TEXT,__text) non-external (was a private external) __scan_atx_heading_start
00007ffd017b4540 (__TEXT,__const) non-external __scan_atx_heading_start.yybm
00007ffd0179dd7d (__TEXT,__text) non-external (was a private external) __scan_autolink_email
00007ffd017b3640 (__TEXT,__const) non-external __scan_autolink_email.yybm
00007ffd0179d357 (__TEXT,__text) non-external (was a private external) __scan_autolink_uri
00007ffd017b3540 (__TEXT,__const) non-external __scan_autolink_uri.yybm
00007ffd017a57e0 (__TEXT,__text) non-external (was a private external) __scan_close_code_fence
00007ffd017b4840 (__TEXT,__const) non-external __scan_close_code_fence.yybm
00007ffd017a626a (__TEXT,__text) non-external (was a private external) __scan_dangerous_url
00007ffd017a58ff (__TEXT,__text) non-external (was a private external) __scan_entity
00007ffd017a6575 (__TEXT,__text) non-external (was a private external) __scan_footnote_definition
00007ffd017b4940 (__TEXT,__const) non-external __scan_footnote_definition.yybm
00007ffd017a33ac (__TEXT,__text) non-external (was a private external) __scan_html_block_end_1
00007ffd017b3e40 (__TEXT,__const) non-external __scan_html_block_end_1.yybm
00007ffd017a3eb6 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_2
00007ffd017b3f40 (__TEXT,__const) non-external __scan_html_block_end_2.yybm
00007ffd017a4278 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_3
00007ffd017b4040 (__TEXT,__const) non-external __scan_html_block_end_3.yybm
00007ffd017a45d3 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_4
00007ffd017b4140 (__TEXT,__const) non-external __scan_html_block_end_4.yybm
00007ffd017a4859 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_5
