                 (undefined) external _Block_size (from libSystem)
                 (indirect) external _Block_size (for _Block_size)
                 (undefined) external _CCEC_FAULT_CANARY (from libSystem)
                 (indirect) external _CCEC_FAULT_CANARY (for _CCEC_FAULT_CANARY)
                 (undefined) external _CCRSA_PKCS1_FAULT_CANARY (from libSystem)
                 (indirect) external _CCRSA_PKCS1_FAULT_CANARY (for _CCRSA_PKCS1_FAULT_CANARY)
                 (undefined) external _CCRSA_PSS_FAULT_CANARY (from libSystem)
                 (indirect) external _CCRSA_PSS_FAULT_CANARY (for _CCRSA_PSS_FAULT_CANARY)
                 (undefined) external _CCSS_PRIME_P192 (from libSystem)
                 (indirect) external _CCSS_PRIME_P192 (for _CCSS_PRIME_P192)
                 (undefined) external _CCSS_PRIME_P224 (from libSystem)
                 (indirect) external _CCSS_PRIME_P224 (for _CCSS_PRIME_P224)
                 (undefined) external _CCSS_PRIME_P256 (from libSystem)
                 (indirect) external _CCSS_PRIME_P256 (for _CCSS_PRIME_P256)
                 (undefined) external _CCSS_PRIME_P384 (from libSystem)
                 (indirect) external _CCSS_PRIME_P384 (for _CCSS_PRIME_P384)
                 (undefined) external _CCSS_PRIME_P521 (from libSystem)
                 (indirect) external _CCSS_PRIME_P521 (for _CCSS_PRIME_P521)
00007ff80005b573 (__TEXT,__text) non-external _DiToMD5
00007ff80005b7e6 (__TEXT,__text) non-external _DiToSHA1
00007ff800043b60 (__TEXT,__text) non-external (was a private external) _DriverExecutableMain
00007ff800043b4f (__TEXT,__text) non-external (was a private external) _DriverKit_init
00007ff8400096f0 (__DATA_CONST,__const) external _IOBufferMemoryDescriptor_Class
00007ff800043666 (__TEXT,__text) external _IOCallOnce
00007ff840009918 (__DATA_CONST,__const) external _IOCommandPool_Class
00007ff840009838 (__DATA_CONST,__const) external _IOCommand_Class
00007ff8400099f8 (__DATA_CONST,__const) external _IODMACommand_Class
00007ff840009b40 (__DATA_CONST,__const) external _IODataQueueDispatchSource_Class
00007ff800040659 (__TEXT,__text) external _IODelay
00007ff840009c88 (__DATA_CONST,__const) external _IODispatchQueue_Class
00007ff840009dd0 (__DATA_CONST,__const) external _IODispatchSource_Class
00007ff80004415c (__TEXT,__text) external _IODriverKitTest
00007ff80006c2bd (__TEXT,__text) non-external _IODriverKitTest.cold.1
00007ff80006c2e8 (__TEXT,__text) non-external _IODriverKitTest.cold.2
00007ff80006c30b (__TEXT,__text) non-external _IODriverKitTest.cold.3
00007ff80006c336 (__TEXT,__text) non-external _IODriverKitTest.cold.4
00007ff80006c359 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00007ff80006c37c (__TEXT,__text) non-external _IODriverKitTest.cold.6
00007ff80006c39f (__TEXT,__text) non-external _IODriverKitTest.cold.7
00007ff80006c3c2 (__TEXT,__text) non-external _IODriverKitTest.cold.8
00007ff84000c288 (__DATA_CONST,__const) external _IOEventLink_Class
00007ff84000c3d0 (__DATA_CONST,__const) external _IOExtensiblePaniclog_Class
00007ff800040605 (__TEXT,__text) external _IOFree
00007ff80004063f (__TEXT,__text) external _IOFreeData
00007ff800044141 (__TEXT,__text) external _IOGetExecutableSDKVersion
00007ff84000a4d0 (__DATA_CONST,__const) external _IOHistogramReporter_Class
00007ff840009f18 (__DATA_CONST,__const) external _IOInterruptDispatchSource_Class
00007ff80004066c (__TEXT,__text) non-external (was a private external) _IOLibInit
00007ff80004334e (__TEXT,__text) external _IOLockAlloc
00007ff8000433a7 (__TEXT,__text) external _IOLockAssert
00007ff80006bd45 (__TEXT,__text) non-external _IOLockAssert.cold.1
00007ff800043373 (__TEXT,__text) external _IOLockFree
00007ff800043389 (__TEXT,__text) external _IOLockLock
00007ff800043393 (__TEXT,__text) external _IOLockTryLock
00007ff80004339d (__TEXT,__text) external _IOLockUnlock
00007ff80004040c (__TEXT,__text) external _IOLog
00007ff8000402cc (__TEXT,__text) external _IOLogBuffer
00007ff8000404aa (__TEXT,__text) external _IOLogv
00007ff8000405af (__TEXT,__text) external _IOMalloc
00007ff80004060f (__TEXT,__text) external _IOMallocData
00007ff8000405cf (__TEXT,__text) external _IOMallocTyped
00007ff8000405d9 (__TEXT,__text) external _IOMallocZero
00007ff800040623 (__TEXT,__text) external _IOMallocZeroData
00007ff8000405f0 (__TEXT,__text) external _IOMallocZeroTyped
00007ff84000a060 (__DATA_CONST,__const) external _IOMemoryDescriptor_Class
00007ff84000a1a8 (__DATA_CONST,__const) external _IOMemoryMap_Class
00007ff8000406ec (__TEXT,__text) external _IOParseBootArgNumber
00007ff800040b60 (__TEXT,__text) external _IOParseBootArgString
00007ff80004255a (__TEXT,__text) external _IORPCMessageFromMach
00007ff80006bae0 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00007ff80006bb15 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00007ff8000435ba (__TEXT,__text) external _IORWLockAlloc
00007ff80006be5d (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00007ff8000435fd (__TEXT,__text) external _IORWLockFree
00007ff800043624 (__TEXT,__text) external _IORWLockRead
00007ff80006be80 (__TEXT,__text) non-external _IORWLockRead.cold.1
00007ff800043650 (__TEXT,__text) external _IORWLockUnlock
00007ff80006bec6 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00007ff80004363a (__TEXT,__text) external _IORWLockWrite
00007ff80006bea3 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00007ff80004342a (__TEXT,__text) external _IORecursiveConditionLockAlloc
00007ff800043460 (__TEXT,__text) external _IORecursiveConditionLockFree
00007ff800043522 (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00007ff80006bdf4 (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00007ff800043476 (__TEXT,__text) external _IORecursiveConditionLockLock
00007ff80006bd68 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00007ff80006bd8b (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00007ff800043556 (__TEXT,__text) external _IORecursiveConditionLockTryLock
00007ff80006be17 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00007ff80006be3a (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00007ff8000434ce (__TEXT,__text) external _IORecursiveConditionLockUnlock
00007ff80006bdae (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00007ff80006bdd1 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00007ff8000433c4 (__TEXT,__text) external _IORecursiveLockAlloc
00007ff8000433ea (__TEXT,__text) external _IORecursiveLockFree
00007ff800043416 (__TEXT,__text) external _IORecursiveLockHaveLock
00007ff800043400 (__TEXT,__text) external _IORecursiveLockLock
00007ff800043420 (__TEXT,__text) external _IORecursiveLockTryLock
00007ff80004340c (__TEXT,__text) external _IORecursiveLockUnlock
00007ff84000a570 (__DATA_CONST,__const) external _IOReportLegend_Class
00007ff84000a2f0 (__DATA_CONST,__const) external _IOReporter_Class
00007ff84000a9d0 (__DATA_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00007ff84000ab18 (__DATA_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
00007ff84000a888 (__DATA_CONST,__const) external _IOService_Class
00007ff84000a390 (__DATA_CONST,__const) external _IOSimpleReporter_Class
00007ff800040649 (__TEXT,__text) external _IOSleep
00007ff84000a430 (__DATA_CONST,__const) external _IOStateReporter_Class
00007ff8000436e4 (__TEXT,__text) external _IOThreadLocalStorageGet
00007ff800043678 (__TEXT,__text) external _IOThreadLocalStorageKeyCreate
00007ff8000436ae (__TEXT,__text) external _IOThreadLocalStorageKeyDelete
00007ff8000436c3 (__TEXT,__text) external _IOThreadLocalStorageSet
00007ff84000c548 (__DATA_CONST,__const) external _IOThread_Class
00007ff84000ac60 (__DATA_CONST,__const) external _IOTimerDispatchSource_Class
00007ff84000ada8 (__DATA_CONST,__const) external _IOUserClient_Class
00007ff800043ba2 (__TEXT,__text) non-external (was a private external) _IOUserServerMain
00007ff80006c119 (__TEXT,__text) non-external _IOUserServerMain.cold.1
00007ff80006c254 (__TEXT,__text) non-external _IOUserServerMain.cold.10
00007ff80006c277 (__TEXT,__text) non-external _IOUserServerMain.cold.11
00007ff80006c29a (__TEXT,__text) non-external _IOUserServerMain.cold.12
00007ff80006c13c (__TEXT,__text) non-external _IOUserServerMain.cold.2
00007ff80006c15f (__TEXT,__text) non-external _IOUserServerMain.cold.3
00007ff80006c182 (__TEXT,__text) non-external _IOUserServerMain.cold.4
00007ff80006c1a5 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00007ff80006c1c8 (__TEXT,__text) non-external _IOUserServerMain.cold.6
00007ff80006c1eb (__TEXT,__text) non-external _IOUserServerMain.cold.7
00007ff80006c20e (__TEXT,__text) non-external _IOUserServerMain.cold.8
00007ff80006c231 (__TEXT,__text) non-external _IOUserServerMain.cold.9
00007ff84000b058 (__DATA_CONST,__const) external _IOUserServer_Class
00007ff840081b78 (__DATA,__common) external _IOVMPageSize
00007ff84000c628 (__DATA_CONST,__const) external _IOWorkGroup_Class
00007ff80005b6da (__TEXT,__text) external _MD5Final
00007ff80005b4f3 (__TEXT,__text) external _MD5Init
00007ff80005b66e (__TEXT,__text) non-external _MD5ToDi
