00007ff80623058c (__TEXT,__text) external _CreateLSTMBreakEngine
00007ff806230553 (__TEXT,__text) external _CreateLSTMData
00007ff8062303f8 (__TEXT,__text) external _CreateLSTMDataForScript
00007ff806230732 (__TEXT,__text) external _DeleteLSTMData
00007ff806230763 (__TEXT,__text) external _LSTMDataName
00007ff806210709 (__TEXT,__text) external _T_CString_int64ToString
00007ff80621065a (__TEXT,__text) external _T_CString_integerToString
00007ff8062107bd (__TEXT,__text) external _T_CString_stringToInteger
00007ff8062105f7 (__TEXT,__text) external _T_CString_toLowerCase
00007ff80621062a (__TEXT,__text) external _T_CString_toUpperCase
00007ff806274f17 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
00007ff806274cb8 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
00007ff806274bb0 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
00007ff806274df1 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
00007ff8062754c5 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
00007ff806275473 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
00007ff806274cb2 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
00007ff806275495 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
00007ff806293a4a (__TEXT,__text) external _UDataMemory_createNewInstance
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ff80629b440 (__TEXT,__text) external __Z15ulocimp_getNamePKcR10UErrorCode
00007ff80629b4db (__TEXT,__text) external __Z15ulocimp_getNamePKcRN3icu8ByteSinkER10UErrorCode
00007ff80629c9b8 (__TEXT,__text) external __Z16ulocimp_toBcpKeyNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
00007ff80629b041 (__TEXT,__text) external __Z17ulocimp_getParentPKcR10UErrorCode
00007ff80629b0da (__TEXT,__text) external __Z17ulocimp_getParentPKcRN3icu8ByteSinkER10UErrorCode
00007ff80629a27d (__TEXT,__text) external __Z17ulocimp_getRegionPKcR10UErrorCode
00007ff80629a1d9 (__TEXT,__text) external __Z17ulocimp_getScriptPKcR10UErrorCode
00007ff80629caf4 (__TEXT,__text) external __Z17ulocimp_toBcpTypeNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_
00007ff80629a3c4 (__TEXT,__text) external __Z18ulocimp_getSubtagsPKcPN3icu10CharStringES3_S3_S3_PS0_R10UErrorCode
00007ff80629a56a (__TEXT,__text) external __Z18ulocimp_getSubtagsPKcPN3icu8ByteSinkES3_S3_S3_PS0_R10UErrorCode
00007ff80629a321 (__TEXT,__text) external __Z18ulocimp_getVariantPKcR10UErrorCode
00007ff80629bddc (__TEXT,__text) external __Z19ulocimp_getBaseNamePKcR10UErrorCode
00007ff80629be7a (__TEXT,__text) external __Z19ulocimp_getBaseNamePKcRN3icu8ByteSinkER10UErrorCode
00007ff806298cc8 (__TEXT,__text) external __Z19ulocimp_getKeywordsPKccRN3icu8ByteSinkEbR10UErrorCode
00007ff806298c1f (__TEXT,__text) external __Z19ulocimp_getKeywordsPKccbR10UErrorCode
00007ff80629a135 (__TEXT,__text) external __Z19ulocimp_getLanguagePKcR10UErrorCode
00007ff80629ca56 (__TEXT,__text) external __Z19ulocimp_toLegacyKeyNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
00007ff80629bf27 (__TEXT,__text) external __Z20ulocimp_canonicalizePKcR10UErrorCode
00007ff80629bfc5 (__TEXT,__text) external __Z20ulocimp_canonicalizePKcRN3icu8ByteSinkER10UErrorCode
00007ff80629cd3f (__TEXT,__text) external __Z20ulocimp_toLegacyTypeNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_
00007ff80629e873 (__TEXT,__text) external __Z21ulocimp_toLanguageTagPKcRN3icu8ByteSinkEbR10UErrorCode
00007ff80629e7cf (__TEXT,__text) external __Z21ulocimp_toLanguageTagPKcbR10UErrorCode
00007ff80629fabd (__TEXT,__text) external __Z22ulocimp_forLanguageTagPKciPiR10UErrorCode
00007ff80629fb64 (__TEXT,__text) external __Z22ulocimp_forLanguageTagPKciRN3icu8ByteSinkEPiR10UErrorCode
00007ff80629911f (__TEXT,__text) external __Z23ulocimp_getKeywordValuePKcNSt3__117basic_string_viewIcNS1_11char_traitsIcEEEER10UErrorCode
00007ff8062991c6 (__TEXT,__text) external __Z23ulocimp_getKeywordValuePKcNSt3__117basic_string_viewIcNS1_11char_traitsIcEEEERN3icu8ByteSinkER10UErrorCode
00007ff8062291cd (__TEXT,__text) external __Z23ulocimp_minimizeSubtagsPKcR10UErrorCode
00007ff806229268 (__TEXT,__text) external __Z23ulocimp_minimizeSubtagsPKcRN3icu8ByteSinkEbR10UErrorCode
00007ff806299f9e (__TEXT,__text) external __Z23ulocimp_setKeywordValueNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_RN3icu10CharStringER10UErrorCode
00007ff80629980a (__TEXT,__text) external __Z23ulocimp_setKeywordValueNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_S3_RN3icu8ByteSinkER10UErrorCode
00007ff806228cfa (__TEXT,__text) external __Z24ulocimp_addLikelySubtagsPKcR10UErrorCode
00007ff806228d93 (__TEXT,__text) external __Z24ulocimp_addLikelySubtagsPKcRN3icu8ByteSinkER10UErrorCode
00007ff80629c50d (__TEXT,__text) external __Z28ulocimp_toBcpKeyWithFallbackNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
00007ff80629c60f (__TEXT,__text) external __Z29ulocimp_toBcpTypeWithFallbackNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_
00007ff8062c4d00 (__TEXT,__text) external __Z30uscript_getSampleUnicodeString11UScriptCode
00007ff80629c6e5 (__TEXT,__text) external __Z31ulocimp_toLegacyKeyWithFallbackNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
00007ff806423daf (__TEXT,__text) external __Z31uspoof_getSkeletonUnicodeStringPK13USpoofCheckerjRKN3icu13UnicodeStringERS3_P10UErrorCode
00007ff80629c807 (__TEXT,__text) external __Z32ulocimp_toLegacyTypeWithFallbackNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_
00007ff806424419 (__TEXT,__text) external __Z35uspoof_getBidiSkeletonUnicodeStringPK13USpoofChecker14UBiDiDirectionRKN3icu13UnicodeStringERS4_P10UErrorCode
00007ff806229d1c (__TEXT,__text) external __Z36ulocimp_getRegionForSupplementalDataPKcbR10UErrorCode
00007ff806224898 (__TEXT,__text) external __Z36ulocimp_isCanonicalizedLocaleForTestPKc
00007ff806224885 (__TEXT,__text) external __Z42ulocimp_getKnownCanonicalizedLocaleForTestRi
00007ff8062088f0 (__TEXT,__text) external __ZN3icu10Appendable12appendStringEPKDsi
00007ff806208886 (__TEXT,__text) external __ZN3icu10Appendable15appendCodePointEi
00007ff806208970 (__TEXT,__text) external __ZN3icu10Appendable15getAppendBufferEiiPDsiPi
00007ff806208964 (__TEXT,__text) external __ZN3icu10Appendable21reserveAppendCapacityEi
00007ff806208880 (__TEXT,__text) external __ZN3icu10AppendableD0Ev
00007ff80620887a (__TEXT,__text) external __ZN3icu10AppendableD1Ev
00007ff806208870 (__TEXT,__text) external __ZN3icu10AppendableD2Ev
00007ff8062efa8e (__TEXT,__text) external __ZN3icu10CECalendar20setTemporalMonthCodeEPKcR10UErrorCode
00007ff8062ef96e (__TEXT,__text) external __ZN3icu10CECalendar6jdToCEEiiRiS1_S1_R10UErrorCode
00007ff8062ef82a (__TEXT,__text) external __ZN3icu10CECalendarC2ERKNS_6LocaleER10UErrorCode
00007ff8062ef87a (__TEXT,__text) external __ZN3icu10CECalendarC2ERKS0_
00007ff8062ef8aa (__TEXT,__text) external __ZN3icu10CECalendarD0Ev
00007ff8062ef8a4 (__TEXT,__text) external __ZN3icu10CECalendarD1Ev
00007ff8062ef89a (__TEXT,__text) external __ZN3icu10CECalendarD2Ev
00007ff8062ef8b0 (__TEXT,__text) external __ZN3icu10CECalendaraSERKS0_
00007ff8062101a4 (__TEXT,__text) external __ZN3icu10CharString12appendNumberEiR10UErrorCode
00007ff8062103ac (__TEXT,__text) external __ZN3icu10CharString14appendPathPartENS_11StringPieceER10UErrorCode
00007ff80620fe12 (__TEXT,__text) external __ZN3icu10CharString14ensureCapacityEiiR10UErrorCode
00007ff806210290 (__TEXT,__text) external __ZN3icu10CharString15getAppendBufferEiiRiR10UErrorCode
00007ff80621032a (__TEXT,__text) external __ZN3icu10CharString20appendInvariantCharsEPKDsiR10UErrorCode
00007ff8062102f0 (__TEXT,__text) external __ZN3icu10CharString20appendInvariantCharsERKNS_13UnicodeStringER10UErrorCode
00007ff80621041e (__TEXT,__text) external __ZN3icu10CharString27ensureEndsWithFileSeparatorER10UErrorCode
00007ff806210020 (__TEXT,__text) external __ZN3icu10CharString6appendEPKciR10UErrorCode
00007ff80620ffda (__TEXT,__text) external __ZN3icu10CharString6appendEcR10UErrorCode
00007ff80620fdc8 (__TEXT,__text) external __ZN3icu10CharString8copyFromERKS0_R10UErrorCode
