00007ffb43842860 (__DATA,__common) external _AfterColour
00007ffb43844790 (__DATA,__common) external _ApplyExtTspWithoutProfile
00007ffb43845db0 (__DATA,__common) external _AsmMacroMaxNestingDepth
00007ffb4383d980 (__DATA,__common) external _BBSectionsDetectSourceDrift
00007ffb43842760 (__DATA,__common) external _BeforeColour
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCStringNoCopy (from CoreFoundation)
00007ffb4383e6e0 (__DATA,__common) external _CheapRematWeight
00007ffb43842960 (__DATA,__common) external _CommonColour
00007ffb4383e440 (__DATA,__common) external _CopyWeight
00007ffb438420d0 (__DATA,__common) external _DisableBitcodeVersionUpgrade
00007ffb438446c0 (__DATA,__common) external _EnableExtTspBlockPlacement
00007ffb43841480 (__DATA,__common) external _EnableLTOInternalization
00007ffb43845c00 (__DATA,__common) external _EnableVPlanNativePath
00007ffb43845b30 (__DATA,__common) external _EnableVPlanPredication
00007ffb4383e360 (__DATA,__common) external _EvictInterferenceCutoff
00007ffb4383e7c0 (__DATA,__common) external _ExpensiveRematWeight
00007ffb427c03f0 (__DATA_DIRTY,__common) external _FSEC
00007ffb438439a0 (__DATA,__common) external _ForceFusion
00007ffb4383d3f0 (__DATA,__common) external _ForceSummaryEdgesCold
00007ffb43843800 (__DATA,__common) external _FuseMatrix
00007ffb43843120 (__DATA,__common) external _GenerateMergedBaseProfiles
00007ffb4383caf0 (__DATA,__common) external _InlinerFunctionImportStats
00007ffb179c74ea (__TEXT,__text) external _LLVMABIAlignmentOfType
00007ffb179c747e (__TEXT,__text) external _LLVMABISizeOfType
00007ffb16e8c750 (__TEXT,__text) external _LLVMAGXRuntimeMajorVersion
00007ffb16e8c75b (__TEXT,__text) external _LLVMAGXRuntimeMinorVersion
00007ffb17b61f1c (__TEXT,__text) external _LLVMAddAddDiscriminatorsPass
00007ffb176d318d (__TEXT,__text) external _LLVMAddAggressiveDCEPass
00007ffb165fda74 (__TEXT,__text) external _LLVMAddAggressiveInstCombinerPass
00007ffb16ca2592 (__TEXT,__text) external _LLVMAddAlias
00007ffb16ca25d2 (__TEXT,__text) external _LLVMAddAlias2
00007ffb176d31f6 (__TEXT,__text) external _LLVMAddAlignmentFromAssumptionsPass
00007ffb1709a9a7 (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00007ffb179ca089 (__TEXT,__text) external _LLVMAddAnalysisPasses
00007ffb1709a8d0 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
00007ffb16ca2c87 (__TEXT,__text) external _LLVMAddAttributeAtIndex
00007ffb176d3810 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
