                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
00000002605bc330 (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00000002605bcdac (__TEXT,__const) external _libopenpam
00000002605bc850 (__TEXT,__text) external _misc_conv
00000002605bc55c (__TEXT,__text) external _pam_acct_mgmt
00000002605bc464 (__TEXT,__text) external _pam_authenticate
00000002605bc5d8 (__TEXT,__text) external _pam_chauthtok
00000002605bc6d0 (__TEXT,__text) external _pam_close_session
00000002605bc3f0 (__TEXT,__text) external _pam_end
00000002605bca98 (__TEXT,__text) external _pam_get_data
00000002605bc7cc (__TEXT,__text) external _pam_get_item
00000002605bccc8 (__TEXT,__text) external _pam_get_pass
00000002605bcba8 (__TEXT,__text) external _pam_get_user
00000002605bc9c0 (__TEXT,__text) external _pam_getenv
00000002605bca30 (__TEXT,__text) external _pam_getenvlist
00000002605bc658 (__TEXT,__text) external _pam_open_session
00000002605bcc2c (__TEXT,__text) external _pam_prompt
00000002605bc94c (__TEXT,__text) external _pam_putenv
00000002605bcb1c (__TEXT,__text) external _pam_set_data
00000002605bc748 (__TEXT,__text) external _pam_set_item
00000002605bc4e0 (__TEXT,__text) external _pam_setcred
00000002605bc364 (__TEXT,__text) external _pam_start
00000002605bc8dc (__TEXT,__text) external _pam_strerror
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00000002605bc2d0 (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
00000002605bc2e0 (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
00000002605bc32c (__TEXT,__text) external _xlate_pam_shim_item_type
00000002605bc308 (__TEXT,__text) external _xlate_pam_shim_retval
00000002605bc2f4 (__TEXT,__text) external _xlate_pam_shim_session_flags
00000002605bc300 (__TEXT,__text) external _xlate_pam_shim_setcred_flags
