                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSGetEnviron (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) weak external ___darwin_check_fd_set_overflow (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external __exit (from libSystem)
                 (undefined) external _accept (from libSystem)
                 (undefined) external _access (from libSystem)
000000026821d3ec (__TEXT,__text) external _apr__SHA256_Data
000000026821d324 (__TEXT,__text) external _apr__SHA256_End
000000026821d218 (__TEXT,__text) external _apr__SHA256_Final
000000026821cf00 (__TEXT,__text) external _apr__SHA256_Init
000000026821cf30 (__TEXT,__text) external _apr__SHA256_Transform
000000026821d12c (__TEXT,__text) external _apr__SHA256_Update
00000002682148c8 (__TEXT,__text) external _apr_allocator_alloc
0000000268214758 (__TEXT,__text) external _apr_allocator_create
00000002682147b8 (__TEXT,__text) external _apr_allocator_destroy
0000000268214a80 (__TEXT,__text) external _apr_allocator_free
0000000268214840 (__TEXT,__text) external _apr_allocator_max_free_set
0000000268214828 (__TEXT,__text) external _apr_allocator_mutex_get
0000000268214820 (__TEXT,__text) external _apr_allocator_mutex_set
0000000268214838 (__TEXT,__text) external _apr_allocator_owner_get
0000000268214830 (__TEXT,__text) external _apr_allocator_owner_set
0000000268216fdc (__TEXT,__text) external _apr_app_initialize
000000026820df18 (__TEXT,__text) external _apr_array_append
000000026820dd48 (__TEXT,__text) external _apr_array_cat
000000026820dc68 (__TEXT,__text) external _apr_array_clear
000000026820de24 (__TEXT,__text) external _apr_array_copy
000000026820ded4 (__TEXT,__text) external _apr_array_copy_hdr
000000026820dbe8 (__TEXT,__text) external _apr_array_make
000000026820dc70 (__TEXT,__text) external _apr_array_pop
000000026820df78 (__TEXT,__text) external _apr_array_pstrcat
000000026820dc9c (__TEXT,__text) external _apr_array_push
000000026820bee4 (__TEXT,__text) external _apr_atoi64
000000026820f784 (__TEXT,__text) external _apr_atomic_add32
000000026820f7b4 (__TEXT,__text) external _apr_atomic_cas32
000000026820f7cc (__TEXT,__text) external _apr_atomic_casptr
000000026820f7a4 (__TEXT,__text) external _apr_atomic_dec32
000000026820f798 (__TEXT,__text) external _apr_atomic_inc32
000000026820f76c (__TEXT,__text) external _apr_atomic_init
000000026820f774 (__TEXT,__text) external _apr_atomic_read32
000000026820f77c (__TEXT,__text) external _apr_atomic_set32
000000026820f78c (__TEXT,__text) external _apr_atomic_sub32
000000026820f7c0 (__TEXT,__text) external _apr_atomic_xchg32
000000026820f7d8 (__TEXT,__text) external _apr_atomic_xchgptr
0000000268209460 (__TEXT,__text) external _apr_collapse_spaces
0000000268209120 (__TEXT,__text) external _apr_cpystrn
000000026821d47c (__TEXT,__text) external _apr_crypto_sha256_new
000000026821f7f8 (__TEXT,__text) external _apr_ctime
0000000268220f08 (__TEXT,__const) external _apr_day_snames
000000026820fd64 (__TEXT,__text) external _apr_dir_close
