00007ffe435a75c0 (__DATA,__bss) non-external __ZL12reportShadow
00007ffe435a75c8 (__DATA,__bss) non-external __ZL13reportGlobals
00007ffe435a75b8 (__DATA,__bss) non-external __ZL15libmallocShadow
00007ffe435a75b0 (__DATA,__bss) non-external __ZL3cfg
00007ffe083cebfc (__TEXT,__text) non-external __ZL3diev
00007ffe083d0320 (__TEXT,__const) non-external __ZL5zeros
00007ffe435a75d0 (__DATA,__bss) non-external __ZL6report
00007ffe435a7a80 (__DATA,__bss) non-external __ZL6shadow
00007ffe435a75a8 (__DATA,__bss) non-external __ZL7_shadow
00007ffe435a7558 (__DATA,__bss) non-external __ZL9collector
00007ffe083cf568 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow12poisonGlobalERKN4asan9GlobalVarE
00007ffe083cf366 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow14setShadowBytesEmm11ShadowValue
00007ffe083cf5b0 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue
00007ffe083d0138 (__TEXT,__text) non-external __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue.cold.1
00007ffe083d015b (__TEXT,__text) non-external __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue.cold.2
00007ffe083d017e (__TEXT,__text) non-external __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue.cold.3
00007ffe083cf5fe (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow19poisonNewAllocationEmmm
00007ffe083cf60e (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow19poisonNewStackFrameEmmm
00007ffe083cf61e (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow21poisonFreedAllocationEmm
00007ffe083d01a1 (__TEXT,__text) non-external __ZN10ASanShadow21poisonFreedAllocationEmm.cold.1
00007ffe083cf65c (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow21poisonFreedStackFrameEmm
00007ffe083d01c2 (__TEXT,__text) non-external __ZN10ASanShadow21poisonFreedStackFrameEmm.cold.1
00007ffe083cf128 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow6poisonEmmmmh
00007ffe083d0068 (__TEXT,__text) non-external __ZN10ASanShadow6poisonEmmmmh.cold.1
00007ffe083cf20a (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow8unpoisonEmm
00007ffe083ce11e (__TEXT,__text) non-external (was a private external) __ZN2vm6createIN4asan19GlobalsRegistryImplEJEEEPT_DpOT0_
00007ffe083cfea5 (__TEXT,__text) non-external __ZN2vm6createIN4asan19GlobalsRegistryImplEJEEEPT_DpOT0_.cold.1
00007ffe083cfec6 (__TEXT,__text) non-external __ZN2vm6createIN4asan19GlobalsRegistryImplEJEEEPT_DpOT0_.cold.2
00007ffe083caf50 (__TEXT,__text) non-external (was a private external) __ZN2vm6createIN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEEEJEEEPT_DpOT0_
00007ffe083cfb70 (__TEXT,__text) non-external __ZN2vm6createIN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEEEJEEEPT_DpOT0_.cold.1
00007ffe083cfba0 (__TEXT,__text) non-external __ZN2vm6createIN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEEEJEEEPT_DpOT0_.cold.2
00007ffe083cad10 (__TEXT,__text) non-external (was a private external) __ZN2vm6createIN5trace13AllocationMapILm262144EXadL_ZN4hash7Murmur211hashPointerEmEEEEJEEEPT_DpOT0_
00007ffe083cfab0 (__TEXT,__text) non-external __ZN2vm6createIN5trace13AllocationMapILm262144EXadL_ZN4hash7Murmur211hashPointerEmEEEEJEEEPT_DpOT0_.cold.1
00007ffe083cfae0 (__TEXT,__text) non-external __ZN2vm6createIN5trace13AllocationMapILm262144EXadL_ZN4hash7Murmur211hashPointerEmEEEEJEEEPT_DpOT0_.cold.2
00007ffe083caeb0 (__TEXT,__text) non-external (was a private external) __ZN2vm6createIN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEEJEEEPT_DpOT0_
00007ffe083cfb10 (__TEXT,__text) non-external __ZN2vm6createIN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEEJEEEPT_DpOT0_.cold.1
00007ffe083cfb40 (__TEXT,__text) non-external __ZN2vm6createIN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEEJEEEPT_DpOT0_.cold.2
00007ffe083cac70 (__TEXT,__text) non-external (was a private external) __ZN2vm6createIN5trace5DepotILm65536ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEEJEEEPT_DpOT0_
00007ffe083cfa50 (__TEXT,__text) non-external __ZN2vm6createIN5trace5DepotILm65536ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEEJEEEPT_DpOT0_.cold.1
00007ffe083cfa80 (__TEXT,__text) non-external __ZN2vm6createIN5trace5DepotILm65536ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEEJEEEPT_DpOT0_.cold.2
