                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
00007ff8150f56e8 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
00007ff8150f2514 (__TEXT,__text) external _FSp_profile_init
00007ff8150f2521 (__TEXT,__text) external _FSp_profile_init_path
00007ff8150f56f3 (__TEXT,__text) external _FSp_put_svc_key
00007ff8150f56fe (__TEXT,__text) external _FSp_read_service_key
00007ff843f690c0 (__DATA,__data) external _GSS_C_NT_ANONYMOUS
00007ff843f690e0 (__DATA,__data) external _GSS_C_NT_EXPORT_NAME
00007ff843f69090 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE
00007ff843f69070 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE_X
00007ff843f69030 (__DATA,__data) external _GSS_C_NT_MACHINE_UID_NAME
00007ff843f69050 (__DATA,__data) external _GSS_C_NT_STRING_UID_NAME
00007ff843f69010 (__DATA,__data) external _GSS_C_NT_USER_NAME
00007ff843f69170 (__DATA,__data) external _GSS_KRB5_MECHANISM
00007ff843f69138 (__DATA,__data) external _GSS_KRB5_NT_MACHINE_UID_NAME
00007ff843f69100 (__DATA,__data) external _GSS_KRB5_NT_PRINCIPAL_NAME
00007ff843f69148 (__DATA,__data) external _GSS_KRB5_NT_STRING_UID_NAME
00007ff843f69128 (__DATA,__data) external _GSS_KRB5_NT_USER_NAME
00007ff8150f584f (__TEXT,__text) external _K5ClientGetAuthenticatorForServiceDeprecated
00007ff8150f5844 (__TEXT,__text) external _K5ClientGetTicketForServiceDeprecated
00007ff8150f57c4 (__TEXT,__text) external _KClientAddCredentialsDeprecated
00007ff8150f5735 (__TEXT,__text) external _KClientAddRealmMapDeprecated
00007ff8150f5761 (__TEXT,__text) external _KClientAddServerMapDeprecated
00007ff8150f5a3e (__TEXT,__text) external _KClientAddServiceKey
00007ff8150f5709 (__TEXT,__text) external _KClientCacheInitialTicketDeprecated
00007ff8150f5aa1 (__TEXT,__text) external _KClientDecrypt
00007ff8150f58d3 (__TEXT,__text) external _KClientDecryptCompat
00007ff8150f57cf (__TEXT,__text) external _KClientDeleteCredentialsDeprecated
00007ff8150f5740 (__TEXT,__text) external _KClientDeleteRealmMapDeprecated
00007ff8150f576c (__TEXT,__text) external _KClientDeleteServerMapDeprecated
00007ff8150f57ae (__TEXT,__text) external _KClientDeleteSessionDeprecated
00007ff8150f5aee (__TEXT,__text) external _KClientDisposePrincipal
00007ff8150f5983 (__TEXT,__text) external _KClientDisposeSession
00007ff8150f5870 (__TEXT,__text) external _KClientDisposeSessionCompat
00007ff8150f5a96 (__TEXT,__text) external _KClientEncrypt
00007ff8150f58c8 (__TEXT,__text) external _KClientEncryptCompat
00007ff8150f5a54 (__TEXT,__text) external _KClientGetAuthenticatorForService
00007ff8150f5ac2 (__TEXT,__text) external _KClientGetCCacheReference
00007ff8150f598e (__TEXT,__text) external _KClientGetClientPrincipal
00007ff8150f57b9 (__TEXT,__text) external _KClientGetCredentialsDeprecated
00007ff8150f5a80 (__TEXT,__text) external _KClientGetEncryptedServiceReply
00007ff8150f57fb (__TEXT,__text) external _KClientGetErrorTextDeprecated
00007ff8150f59f1 (__TEXT,__text) external _KClientGetExpirationTime
00007ff8150f59ba (__TEXT,__text) external _KClientGetLocalAddress
