00007ff80cb9f546 (__TEXT,__text) non-external _Annihilate
00007ff80cbe3ea4 (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
00007ff80cbe4710 (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
00007ff80cbe2a77 (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
00007ff80cb9f33b (__TEXT,__text) non-external (was a private external) _BrotliAllocate
00007ff80cbbc35e (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
00007ff80cb8fd34 (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
00007ff80cb9f622 (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
00007ff80cb8ff32 (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
00007ff80cbe0fbb (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
00007ff80cbe1957 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
00007ff80cb90243 (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
00007ff80cba6e68 (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
00007ff80cbb3a43 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
00007ff80cbb4705 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
00007ff80cbb2d81 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
00007ff80cbb311e (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
00007ff80cbb3de0 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
00007ff80cbb245c (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
00007ff80cb98d9c (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
00007ff80cb9a69f (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
00007ff80cb9be32 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
00007ff80cb9d5c5 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
00007ff80cb98f0c (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
00007ff80cbd4838 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
00007ff80cbd6ab6 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
00007ff80cbd7ac3 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
00007ff80cbd8ad0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
00007ff80cbd9add (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
00007ff80cbdaaea (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
00007ff80cbdbaf7 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
00007ff80cbdcb04 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
00007ff80cbddbdb (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
00007ff80cbd4a9c (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
00007ff80cbd5aa9 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
00007ff80cbb082f (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
00007ff80cbc3c38 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
00007ff80cbb73f1 (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
00007ff80cbafdb5 (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
00007ff80cbb72c8 (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
00007ff80cba5460 (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
