0000000180143900 (__TEXT,__text) non-external K256
0000000180145a10 (__TEXT,__text) non-external K_XMM_AR
0000000180145a50 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_SHA1_compress
0000000180143a00 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_SHA256_compress
0000000180143d10 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_SHA512_compress
0000000180145190 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_SHA512_compress_hwassist
0000000180100100 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180141230 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180141230 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001801563ec (__TEXT,__const) non-external (was a private external) _SANDBOX_CHECK_NO_REPORT
00000001801563a0 (__TEXT,__const) non-external _UUID_NULL
00000001801649fa (__TEXT,__cstring) non-external __0x
000000018011b19c (__TEXT,__text) non-external (was a private external) __Block_object_assign
00000001800cdde8 (__TEXT,__text) non-external (was a private external) __Block_object_dispose
00000001801649d8 (__TEXT,__cstring) non-external __H
00000001ee8a5da0 (__DATA,__common) non-external (was a private external) __NSConcreteGlobalBlock
00000001ee8a5ca0 (__DATA,__common) non-external (was a private external) __NSConcreteStackBlock
0000000180100118 (__TEXT,__text) non-external (was a private external) __Z10murmurHashPKviy
0000000180126e48 (__TEXT,__text) non-external (was a private external) __Z11signPointeryPvbt11ptrauth_key
000000018015360c (__TEXT,__text) non-external __Z11signPointeryPvbt11ptrauth_key.cold.1
00000001801303a8 (__TEXT,__text) non-external (was a private external) __Z5cksumNSt3__14spanISt4byteLm18446744073709551615EEE
00000001800d6e90 (__TEXT,__text) non-external __ZL11hexToUInt64PKcPS0_
00000001ee8a3d80 (__DATA,__data) non-external __ZL12sProcessInfo
00000001800d4de4 (__TEXT,__text) non-external __ZL15OSMemoryBarrierv
00000001ef47b7e8 (__DATA_CONST,__const) non-external __ZL15cryptexPrefixes
00000001800ffef4 (__TEXT,__text) non-external __ZL22hactivateFileAllocatorbbbPv
0000000180152cc4 (__TEXT,__text) non-external __ZL22hactivateFileAllocatorbbbPv.cold.1
0000000180152cf0 (__TEXT,__text) non-external __ZL22hactivateFileAllocatorbbbPv.cold.2
0000000180152d1c (__TEXT,__text) non-external __ZL22hactivateFileAllocatorbbbPv.cold.3
00000001800d49a4 (__TEXT,__text) non-external __ZL24__stackAllocatorInternalPvy
00000001800d49a4 (__TEXT,__text) non-external __ZL24__stackAllocatorInternalPvy
00000001800d49a4 (__TEXT,__text) non-external __ZL24__stackAllocatorInternalPvy
0000000180116d68 (__TEXT,__text) non-external __ZL24__stackAllocatorInternalPvy
0000000180151b68 (__TEXT,__text) non-external __ZL24__stackAllocatorInternalPvy.cold.1
0000000180151b68 (__TEXT,__text) non-external __ZL24__stackAllocatorInternalPvy.cold.1
0000000180151b68 (__TEXT,__text) non-external __ZL24__stackAllocatorInternalPvy.cold.1
0000000180151b68 (__TEXT,__text) non-external __ZL24__stackAllocatorInternalPvy.cold.1
0000000180151b94 (__TEXT,__text) non-external __ZL24__stackAllocatorInternalPvy.cold.2
0000000180151b94 (__TEXT,__text) non-external __ZL24__stackAllocatorInternalPvy.cold.2
0000000180151b94 (__TEXT,__text) non-external __ZL24__stackAllocatorInternalPvy.cold.2
0000000180151b94 (__TEXT,__text) non-external __ZL24__stackAllocatorInternalPvy.cold.2
0000000180151bc0 (__TEXT,__text) non-external __ZL24__stackAllocatorInternalPvy.cold.3
0000000180151bc0 (__TEXT,__text) non-external __ZL24__stackAllocatorInternalPvy.cold.3
0000000180151bc0 (__TEXT,__text) non-external __ZL24__stackAllocatorInternalPvy.cold.3
0000000180151bc0 (__TEXT,__text) non-external __ZL24__stackAllocatorInternalPvy.cold.3
00000001800d4dd0 (__TEXT,__text) non-external __ZL32OSAtomicCompareAndSwapPtrBarrierPvS_PVS_
0000000180155b10 (__TEXT,__const) non-external __ZL8crcTable
0000000180102f84 (__TEXT,__text) non-external (was a private external) __ZN10AAREncoder7addFileENSt3__117basic_string_viewIcNS0_11char_traitsIcEEEENS0_4spanISt4byteLm18446744073709551615EEE
0000000180102eb8 (__TEXT,__text) non-external (was a private external) __ZN10AAREncoderC1ERN3lsl9AllocatorE
0000000180102f80 (__TEXT,__text) non-external (was a private external) __ZN10AAREncoderD1Ev
0000000180102ed0 (__TEXT,__text) non-external (was a private external) __ZN10AAREncoderD2Ev
0000000180130fc0 (__TEXT,__text) non-external (was a private external) __ZN10ByteStream9push_backEhy
0000000180102cdc (__TEXT,__text) non-external (was a private external) __ZN10ByteStream9push_backIjEEvT_
0000000180102c94 (__TEXT,__text) non-external (was a private external) __ZN10ByteStream9push_backItEEvT_
0000000180102d24 (__TEXT,__text) non-external (was a private external) __ZN10ByteStream9push_backIyEEvT_
0000000180130588 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics10clearErrorEv
000000018013063c (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics11appendErrorEPKcz
00000001801305e4 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKc12va_list_wrap
00000001801305b8 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcz
00000001800ce0b4 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsC1Eb
00000001800cddb4 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsD1Ev
000000018011d36c (__TEXT,__text) non-external (was a private external) __ZN11FileIdTupleC1ERK4stat
000000018011d380 (__TEXT,__text) non-external (was a private external) __ZN11FileIdTupleC1Eyy
0000000180131264 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary10deallocateEv
