                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _printf (from libSystem)
00007ffc13a05a7a (__TEXT,__text) non-external _sbuf_extend
00007ffc13a05bcf (__TEXT,__text) non-external _sbuf_put_byte
00007ffc13a057d2 (__TEXT,__text) non-external _sbuf_put_bytes
                 (undefined) external _strlen (from libSystem)
00007ffc13a057b6 (__TEXT,__text) external _usbuf_bcat
00007ffc13a0589f (__TEXT,__text) external _usbuf_bcpy
00007ffc13a058d7 (__TEXT,__text) external _usbuf_cat
00007ffc13a056a8 (__TEXT,__text) external _usbuf_clear
00007ffc13a0568b (__TEXT,__text) external _usbuf_clear_flags
00007ffc13a056e4 (__TEXT,__text) external _usbuf_count_drain
00007ffc13a05907 (__TEXT,__text) external _usbuf_cpy
00007ffc13a05d92 (__TEXT,__text) external _usbuf_data
00007ffc13a05dc2 (__TEXT,__text) external _usbuf_delete
00007ffc13a05e14 (__TEXT,__text) external _usbuf_done
00007ffc13a056fe (__TEXT,__text) external _usbuf_drain
00007ffc13a05e5e (__TEXT,__text) external _usbuf_end_section
00007ffc13a05d1a (__TEXT,__text) external _usbuf_error
00007ffc13a05d23 (__TEXT,__text) external _usbuf_finish
00007ffc13a05681 (__TEXT,__text) external _usbuf_get_flags
00007ffc13a0539d (__TEXT,__text) external _usbuf_hexdump
00007ffc13a05d9b (__TEXT,__text) external _usbuf_len
00007ffc13a0558e (__TEXT,__text) external _usbuf_new
00007ffc13a05c4c (__TEXT,__text) external _usbuf_nl_terminate
00007ffc13a05b15 (__TEXT,__text) external _usbuf_printf
00007ffc13a0554b (__TEXT,__text) external _usbuf_printf_drain
00007ffc13a05530 (__TEXT,__text) external _usbuf_putbuf
00007ffc13a05baf (__TEXT,__text) external _usbuf_putc
00007ffc13a056f0 (__TEXT,__text) external _usbuf_set_drain
00007ffc13a0569c (__TEXT,__text) external _usbuf_set_flags
00007ffc13a056c8 (__TEXT,__text) external _usbuf_setpos
00007ffc13a05e22 (__TEXT,__text) external _usbuf_start_section
00007ffc13a05c8b (__TEXT,__text) external _usbuf_trim
00007ffc13a0595c (__TEXT,__text) external _usbuf_vprintf
                 (undefined) external _vsnprintf (from libSystem)
