00000000000401b8 (__DATA,__data) external _NDR_record
000000000001d89c (__TEXT,__text) non-external __Xexception_raise
000000000001d964 (__TEXT,__text) non-external __Xexception_raise_state
000000000001da74 (__TEXT,__text) non-external __Xexception_raise_state_identity
000000000000d1c0 (__TEXT,__text) external _____sigwait_nocancel
0000000000031fa0 (__TEXT,__const) external ____kernelVersionNumber
0000000000031f6c (__TEXT,__const) external ____kernelVersionString
000000000000d1e8 (__TEXT,__text) external ___abort_with_payload
0000000000008ffc (__TEXT,__text) external ___accept
000000000000d210 (__TEXT,__text) external ___accept_nocancel
000000000000d238 (__TEXT,__text) external ___access_extended
000000000000d260 (__TEXT,__text) external ___aio_suspend_nocancel
00000000000084c4 (__TEXT,__text) external ___bind
0000000000004b98 (__TEXT,__text) external ___bsdthread_create
0000000000002d44 (__TEXT,__text) external ___bsdthread_ctl
0000000000006a54 (__TEXT,__text) external ___bsdthread_register
0000000000003d34 (__TEXT,__text) external ___bsdthread_terminate
000000000000ca44 (__TEXT,__text) external ___carbon_delete
000000000000d288 (__TEXT,__text) external ___channel_get_info
000000000000d2b0 (__TEXT,__text) external ___channel_get_opt
000000000000d2d8 (__TEXT,__text) external ___channel_open
000000000000d300 (__TEXT,__text) external ___channel_set_opt
000000000000d328 (__TEXT,__text) external ___channel_sync
0000000000004af8 (__TEXT,__text) external ___chmod
0000000000006594 (__TEXT,__text) external ___chmod_extended
00000000000028a4 (__TEXT,__text) external ___close_nocancel
000000000000d350 (__TEXT,__text) external ___coalition
000000000000d378 (__TEXT,__text) external ___coalition_info
000000000000d3a0 (__TEXT,__text) external ___coalition_ledger
0000000000002e78 (__TEXT,__text) external ___commpage_gettimeofday
0000000000002e80 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
0000000000005284 (__TEXT,__text) external ___connect
000000000000510c (__TEXT,__text) external ___connect_nocancel
000000000000d3c8 (__TEXT,__text) external ___copyfile
000000000000d3f0 (__TEXT,__text) external ___crossarch_trap
0000000000001bd4 (__TEXT,__text) external ___csrctl
0000000000016054 (__TEXT,__text) external ___darwin_check_fd_set_overflow
000000000000d418 (__TEXT,__text) external ___debug_syscall_reject
