                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataCreateWithBytesNoCopy (from CoreFoundation)
                 (undefined) external _CFDataGetMutableBytePtr (from CoreFoundation)
                 (undefined) external _CFDictionaryCreate (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
0000000240f49104 (__TEXT,__text) external _DRBufferAsResource
0000000240f49320 (__TEXT,__text) external _DRBufferCopyDescriptor
0000000240f49248 (__TEXT,__text) external _DRBufferCreateUnmanaged
0000000240f491d4 (__TEXT,__text) external _DRBufferDescriptorCreate
0000000240f49228 (__TEXT,__text) external _DRBufferDescriptorGetCapacity
0000000240f49238 (__TEXT,__text) external _DRBufferDescriptorGetSizeMultiple
0000000240f49230 (__TEXT,__text) external _DRBufferDescriptorSetCapacity
0000000240f49240 (__TEXT,__text) external _DRBufferDescriptorSetSizeMultiple
0000000240f49390 (__TEXT,__text) external _DRBufferGetBytesUsed
0000000240f493a8 (__TEXT,__text) external _DRBufferRead
0000000240f493d8 (__TEXT,__text) external _DRBufferReadUsing
0000000240f493b8 (__TEXT,__text) external _DRBufferReplace
0000000240f4943c (__TEXT,__text) external _DRBufferReplaceUsing
0000000240f49398 (__TEXT,__text) external _DRBufferSetBytesUsed
0000000240f493c8 (__TEXT,__text) external _DRBufferUpdate
0000000240f49720 (__TEXT,__text) external _DRClientConnectionConfigCreate
0000000240f49778 (__TEXT,__text) external _DRClientConnectionConfigSetServiceQueue
0000000240f49770 (__TEXT,__text) external _DRClientConnectionConfigSetUserData
0000000240f498d0 (__TEXT,__text) external _DRClientConnectionGetCommitQueue
0000000240f498d8 (__TEXT,__text) external _DRClientConnectionReceive
0000000240f498e4 (__TEXT,__text) external _DRClientConnectionTearDown
0000000240f49b90 (__TEXT,__text) external _DRCommitQueueApplyAll
