                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSGetEnviron (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) weak external ___darwin_check_fd_set_overflow (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external __exit (from libSystem)
                 (undefined) external _accept (from libSystem)
                 (undefined) external _access (from libSystem)
00007ffd1e9af450 (__TEXT,__text) external _apr__SHA256_Data
00007ffd1e9af395 (__TEXT,__text) external _apr__SHA256_End
00007ffd1e9af284 (__TEXT,__text) external _apr__SHA256_Final
00007ffd1e9aef1f (__TEXT,__text) external _apr__SHA256_Init
00007ffd1e9aef5a (__TEXT,__text) external _apr__SHA256_Transform
00007ffd1e9af197 (__TEXT,__text) external _apr__SHA256_Update
00007ffd1e9a7709 (__TEXT,__text) external _apr_allocator_alloc
00007ffd1e9a75cc (__TEXT,__text) external _apr_allocator_create
00007ffd1e9a763c (__TEXT,__text) external _apr_allocator_destroy
00007ffd1e9a78cc (__TEXT,__text) external _apr_allocator_free
00007ffd1e9a769f (__TEXT,__text) external _apr_allocator_max_free_set
00007ffd1e9a7681 (__TEXT,__text) external _apr_allocator_mutex_get
00007ffd1e9a7677 (__TEXT,__text) external _apr_allocator_mutex_set
00007ffd1e9a7695 (__TEXT,__text) external _apr_allocator_owner_get
00007ffd1e9a768b (__TEXT,__text) external _apr_allocator_owner_set
00007ffd1e9a9aa0 (__TEXT,__text) external _apr_app_initialize
00007ffd1e9a151e (__TEXT,__text) external _apr_array_append
00007ffd1e9a1376 (__TEXT,__text) external _apr_array_cat
00007ffd1e9a129f (__TEXT,__text) external _apr_array_clear
00007ffd1e9a143c (__TEXT,__text) external _apr_array_copy
00007ffd1e9a14e8 (__TEXT,__text) external _apr_array_copy_hdr
00007ffd1e9a121d (__TEXT,__text) external _apr_array_make
00007ffd1e9a12ac (__TEXT,__text) external _apr_array_pop
00007ffd1e9a1574 (__TEXT,__text) external _apr_array_pstrcat
00007ffd1e9a12d6 (__TEXT,__text) external _apr_array_push
00007ffd1e99f764 (__TEXT,__text) external _apr_atoi64
00007ffd1e9a2db1 (__TEXT,__text) external _apr_atomic_add32
00007ffd1e9a2de6 (__TEXT,__text) external _apr_atomic_cas32
00007ffd1e9a2dff (__TEXT,__text) external _apr_atomic_casptr
00007ffd1e9a2dd5 (__TEXT,__text) external _apr_atomic_dec32
00007ffd1e9a2dc6 (__TEXT,__text) external _apr_atomic_inc32
00007ffd1e9a2d99 (__TEXT,__text) external _apr_atomic_init
00007ffd1e9a2da1 (__TEXT,__text) external _apr_atomic_read32
00007ffd1e9a2da9 (__TEXT,__text) external _apr_atomic_set32
00007ffd1e9a2dbd (__TEXT,__text) external _apr_atomic_sub32
00007ffd1e9a2df2 (__TEXT,__text) external _apr_atomic_xchg32
00007ffd1e9a2e0d (__TEXT,__text) external _apr_atomic_xchgptr
