                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff811ee71d2 (__TEXT,__text) non-external _au_assemble
00007ff811ee8654 (__TEXT,__text) external _au_bsm_to_domain
00007ff811ef3819 (__TEXT,__text) external _au_bsm_to_errno
00007ff811ef38c7 (__TEXT,__text) external _au_bsm_to_fcntl_cmd
00007ff811eef96e (__TEXT,__text) external _au_bsm_to_socket_type
00007ff811ee741f (__TEXT,__text) external _au_close
00007ff811ee74d0 (__TEXT,__text) external _au_close_buffer
00007ff811ee7590 (__TEXT,__text) external _au_close_token
00007ff811ee7107 (__TEXT,__text) external _au_close_with_errors
00007ff843711140 (__DATA_DIRTY,__bss) non-external _au_cond
00007ff811ee8629 (__TEXT,__text) external _au_domain_to_bsm
00007ff811ef37eb (__TEXT,__text) external _au_errno_to_bsm
00007ff811ef389c (__TEXT,__text) external _au_fcntl_cmd_to_bsm
00007ff811ee6b93 (__TEXT,__text) external _au_fetch_tok
00007ff811ee6f1d (__TEXT,__text) external _au_free_token
00007ff811eef86d (__TEXT,__text) external _au_get_state
00007ff811eef7cd (__TEXT,__text) external _au_notify_initialize
00007ff811eef854 (__TEXT,__text) external _au_notify_terminate
00007ff811ee6f47 (__TEXT,__text) external _au_open
00007ff8414b2da0 (__DATA_CONST,__const) non-external _au_polstr
00007ff811ee7a0c (__TEXT,__text) external _au_poltostr
00007ff811eef5bd (__TEXT,__text) external _au_preselect
00007ff811eea430 (__TEXT,__text) external _au_print_flags_tok
00007ff811eee844 (__TEXT,__text) external _au_print_tok
00007ff811eee85e (__TEXT,__text) external _au_print_tok_xml
00007ff811ee8f29 (__TEXT,__text) external _au_print_xml_footer
00007ff811ee8ee8 (__TEXT,__text) external _au_print_xml_header
00007ff811eee87e (__TEXT,__text) external _au_read_rec
00007ff811ef37ab (__TEXT,__text) external _au_sdev_close
00007ff811ef37de (__TEXT,__text) external _au_sdev_fd
00007ff811ee675b (__TEXT,__text) external _au_sdev_open
00007ff811ee682e (__TEXT,__text) external _au_sdev_read_aia
00007ff8414b2e90 (__DATA_CONST,__const) non-external _au_sflagsstr
00007ff811ee7b75 (__TEXT,__text) external _au_sflagstostr
00007ff811eef943 (__TEXT,__text) external _au_socket_type_to_bsm
00007ff811ee80ee (__TEXT,__text) non-external _au_spacetobytes
00007ff811ef3858 (__TEXT,__text) external _au_strerror
00007ff811ee7aaf (__TEXT,__text) external _au_strtopol
00007ff811ee7c15 (__TEXT,__text) external _au_strtosflags
00007ff811ee7378 (__TEXT,__text) non-external _au_teardown
00007ff811eefb9a (__TEXT,__text) external _au_to_arg
00007ff811eef9a7 (__TEXT,__text) external _au_to_arg32
00007ff811eefa8b (__TEXT,__text) external _au_to_arg64
00007ff811ef19b4 (__TEXT,__text) external _au_to_certificate_hash
00007ff811eefba4 (__TEXT,__text) external _au_to_data
00007ff811ef1874 (__TEXT,__text) external _au_to_exec_args
00007ff811ef19a5 (__TEXT,__text) external _au_to_exec_env
00007ff811eefc89 (__TEXT,__text) external _au_to_exit
00007ff811ef01b8 (__TEXT,__text) external _au_to_file
00007ff811eefd2c (__TEXT,__text) external _au_to_groups
00007ff811ef20ad (__TEXT,__text) external _au_to_header
00007ff811ef2007 (__TEXT,__text) external _au_to_header32
00007ff811ef1f75 (__TEXT,__text) external _au_to_header32_ex
00007ff811ef1cd5 (__TEXT,__text) external _au_to_header32_ex_tm
00007ff811ef1bda (__TEXT,__text) external _au_to_header32_tm
00007ff811ef205a (__TEXT,__text) external _au_to_header64
00007ff811ef1e46 (__TEXT,__text) external _au_to_header64_tm
00007ff811ef20b7 (__TEXT,__text) external _au_to_header_ex
00007ff811ef1a80 (__TEXT,__text) external _au_to_identity
00007ff811eefdec (__TEXT,__text) external _au_to_in_addr
00007ff811eefe5a (__TEXT,__text) external _au_to_in_addr_ex
00007ff811eefed1 (__TEXT,__text) external _au_to_ip
00007ff811eeff4f (__TEXT,__text) external _au_to_ipc
00007ff811eeffdb (__TEXT,__text) external _au_to_ipc_perm
00007ff811ef00aa (__TEXT,__text) external _au_to_iport
00007ff811ef2143 (__TEXT,__text) external _au_to_kevent
00007ff811ef19c3 (__TEXT,__text) external _au_to_krb5_principal
00007ff811ef17ec (__TEXT,__text) external _au_to_me
00007ff811eefd3e (__TEXT,__text) external _au_to_newgroups
00007ff811ef0114 (__TEXT,__text) external _au_to_opaque
00007ff811ef036e (__TEXT,__text) external _au_to_path
00007ff811ef070f (__TEXT,__text) external _au_to_process
00007ff811ef041c (__TEXT,__text) external _au_to_process32
00007ff811ef0719 (__TEXT,__text) external _au_to_process32_ex
00007ff811ef0572 (__TEXT,__text) external _au_to_process64
00007ff811ef0935 (__TEXT,__text) external _au_to_process64_ex
00007ff811ef0b72 (__TEXT,__text) external _au_to_process_ex
00007ff811ef0cb9 (__TEXT,__text) external _au_to_return
00007ff811ef0b7c (__TEXT,__text) external _au_to_return32
00007ff811ef0c08 (__TEXT,__text) external _au_to_return64
00007ff811ef0cc3 (__TEXT,__text) external _au_to_seq
00007ff811ef1092 (__TEXT,__text) external _au_to_sock_inet
00007ff811ef1004 (__TEXT,__text) external _au_to_sock_inet128
00007ff811ef0f84 (__TEXT,__text) external _au_to_sock_inet32
00007ff811ef0ec5 (__TEXT,__text) external _au_to_sock_unix
00007ff811ef0d3d (__TEXT,__text) external _au_to_socket_ex
00007ff811ef1883 (__TEXT,__text) non-external _au_to_strings
00007ff811ef138f (__TEXT,__text) external _au_to_subject
00007ff811ef109c (__TEXT,__text) external _au_to_subject32
00007ff811ef1399 (__TEXT,__text) external _au_to_subject32_ex
00007ff811ef11f2 (__TEXT,__text) external _au_to_subject64
00007ff811ef15ad (__TEXT,__text) external _au_to_subject64_ex
00007ff811ef17e2 (__TEXT,__text) external _au_to_subject_ex
00007ff811ef02c0 (__TEXT,__text) external _au_to_text
00007ff811ef20c1 (__TEXT,__text) external _au_to_trailer
00007ff811ef19d2 (__TEXT,__text) external _au_to_zonename
00007ff811ef2452 (__TEXT,__text) external _au_user_mask
00007ff811ee7085 (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00007ff843c688c8 (__DATA,__bss) non-external _audit_free_q
00007ff811ef3734 (__TEXT,__text) external _audit_get_car
00007ff811ef3504 (__TEXT,__text) external _audit_get_class
00007ff811ef2a3b (__TEXT,__text) external _audit_get_cond
00007ff811ef3749 (__TEXT,__text) external _audit_get_ctlmode
00007ff811ef371f (__TEXT,__text) external _audit_get_cwd
00007ff811ef377a (__TEXT,__text) external _audit_get_expire_after
00007ff811ef35c8 (__TEXT,__text) external _audit_get_fsize
00007ff811ef34a2 (__TEXT,__text) external _audit_get_kaudit
00007ff811ef3566 (__TEXT,__text) external _audit_get_kmask
00007ff811ef365b (__TEXT,__text) external _audit_get_pinfo
00007ff811ef368c (__TEXT,__text) external _audit_get_pinfo_addr
00007ff811ef3204 (__TEXT,__text) external _audit_get_policy
00007ff811ef3339 (__TEXT,__text) external _audit_get_qctrl
00007ff811ef32d2 (__TEXT,__text) external _audit_get_sflags
00007ff811ef330d (__TEXT,__text) external _audit_get_sflags_mask
00007ff811ee6eec (__TEXT,__text) external _audit_get_sinfo_addr
00007ff811ef36bd (__TEXT,__text) external _audit_get_stat
00007ff843c688c0 (__DATA,__bss) non-external _audit_rec_count
00007ff811ef348b (__TEXT,__text) external _audit_send_trigger
