                 (undefined) external _CCHmac (from libSystem)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetCStringPtr (from CoreFoundation)
00007ff812d31545 (__TEXT,__text) external _NEAuditTokenForPID
00007ff812d316e2 (__TEXT,__text) external _NECopyAuditPortForAuditToken
00007ff812d3169c (__TEXT,__text) external _NECopyBootstrapPortForPID
00007ff812d31344 (__TEXT,__text) external _NECopySigningIdentifierForPID
00007ff812d31377 (__TEXT,__text) external _NECopySigningIdentifierForXPCMessage
00007ff812d31688 (__TEXT,__text) external _NEGIDForAuditToken
                 (undefined) external _NEHelperCacheCopySigningIdentifierMapping (from libSystem)
00007ff812d17899 (__TEXT,__text) external _NEHelperTrackerAddIP
00007ff812d16c7b (__TEXT,__text) external _NEHelperTrackerAddIPForAllFlows
00007ff842cd1bf0 (__DATA,__bss) non-external _NEHelperTrackerAddIPForAllFlows.buffer
00007ff812d1787e (__TEXT,__text) external _NEHelperTrackerAddIPWithDisposition
00007ff812d15916 (__TEXT,__text) external _NEHelperTrackerAppInfoGetPID
00007ff812d157b3 (__TEXT,__text) external _NEHelperTrackerAppInfoIsBrowser
00007ff812d1571e (__TEXT,__text) external _NEHelperTrackerAppInfoSetAuditToken
00007ff812d1579e (__TEXT,__text) external _NEHelperTrackerAppInfoSetIsBrowser
00007ff812d15787 (__TEXT,__text) external _NEHelperTrackerAppInfoSetPID
00007ff812d15706 (__TEXT,__text) external _NEHelperTrackerAppInfoSetSigningIdentifier
00007ff812d15755 (__TEXT,__text) external _NEHelperTrackerAppInfoSetUUID
00007ff812d167ed (__TEXT,__text) external _NEHelperTrackerAppendTLV
00007ff812d16ab0 (__TEXT,__text) external _NEHelperTrackerCalculateParameterLen
00007ff812d160d3 (__TEXT,__text) non-external _NEHelperTrackerCheckMetadataForApp
00007ff812d160e9 (__TEXT,__text) non-external _NEHelperTrackerCheckMetadataForWeb
00007ff812d167ba (__TEXT,__text) external _NEHelperTrackerClearCache
00007ff812d15972 (__TEXT,__text) external _NEHelperTrackerContextGetDomain
00007ff812d15985 (__TEXT,__text) external _NEHelperTrackerContextGetDomainOwner
00007ff842cd1cf0 (__DATA,__bss) non-external _NEHelperTrackerDomainIsApproved.buffer
00007ff812d178c6 (__TEXT,__text) external _NEHelperTrackerDumpIPEntries
00007ff812d16b38 (__TEXT,__text) external _NEHelperTrackerFillParameters
00007ff812d156f5 (__TEXT,__text) external _NEHelperTrackerFreeAppInfo
00007ff812d156be (__TEXT,__text) external _NEHelperTrackerGetAppInfo
00007ff812d157c6 (__TEXT,__text) external _NEHelperTrackerGetAppUUID
00007ff812d15998 (__TEXT,__text) external _NEHelperTrackerGetDisposition
00007ff842cd1970 (__DATA,__bss) non-external _NEHelperTrackerGetDisposition.buffer
00007ff842cd1af0 (__DATA,__bss) non-external _NEHelperTrackerGetDisposition.puny_coded_domain_buf
00007ff812d16825 (__TEXT,__text) external _NEHelperTrackerParseTLV
00007ff812d160ff (__TEXT,__text) non-external _NEHelperTrackerProcessMatch
00007ff812d311c4 (__TEXT,__text) external _NEPIDByName
00007ff812d15560 (__TEXT,__text) external _NEPunyCodeString
00007ff812d31692 (__TEXT,__text) external _NEUIDForAuditToken
                 (undefined) external _SANDBOX_CHECK_NO_REPORT (from libSystem)
                 (undefined) external _SecRandomCopyBytes (from Security)
                 (undefined) external _SecTaskCopySigningIdentifier (from Security)
                 (undefined) external _SecTaskCreateWithAuditToken (from Security)
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
                 (undefined) external __CFXPCCreateCFObjectFromXPCObject (from CoreFoundation)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ff812d18a4c (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ff812d18a63 (__TEXT,__text) non-external ___Block_byref_object_dispose_
00007ff812d16757 (__TEXT,__text) non-external ___NEHelperTrackerDomainIsApproved_block_invoke
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
00007ff840dc7180 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ff840dc8040 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.1
00007ff840dc7270 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10
00007ff840dc7290 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.11
00007ff840dc72c0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.13
00007ff840dc72f0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.14
00007ff840dc7ee8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.14.186
00007ff840dc75d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.143
00007ff840dc75f8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.144
00007ff840dc7618 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.146
00007ff840dc7f28 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.15
00007ff840dc80b0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.15.293
00007ff840dc7648 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.150
00007ff840dc7688 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.154
00007ff840dc76c8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.157
00007ff840dc76f8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.158
00007ff840dc7728 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.161
00007ff840dc7758 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.162
00007ff840dc7788 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.166
00007ff840dc77a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.171
00007ff840dc77d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.172
00007ff840dc77f8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.173
00007ff840dc7828 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.177
00007ff840dc7858 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.178
00007ff840dc80e0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.18
00007ff840dc7888 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.180
00007ff840dc78b8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.181
00007ff840dc78e8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.183
00007ff840dc7908 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.184
00007ff840dc7938 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.185
