000000019054f550 (__TEXT,__const) non-external _DOWNCASE_TBL
000000019054f3c0 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
0000000190550050 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS.383
000000019054fb50 (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
000000019054f650 (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
000000019054ff50 (__TEXT,__const) non-external _VALID_METHOD_CHARS
000000019054fa50 (__TEXT,__const) non-external _VALID_PATH_CHARS
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000019053bc30 (__TEXT,__text) non-external _active_outbound_item_reset
0000000190540778 (__TEXT,__text) non-external _add_hd_table_incremental
0000000190543f28 (__TEXT,__text) non-external _bubble_down
0000000190543ea8 (__TEXT,__text) non-external _bubble_up
000000019053bb34 (__TEXT,__text) non-external _buf_chain_new
0000000190544c54 (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _clock_gettime (from libSystem)
000000019053ba70 (__TEXT,__text) non-external _default_calloc
000000019053bdfc (__TEXT,__text) non-external _default_free
000000019053ba74 (__TEXT,__text) non-external _default_malloc
000000019053bc2c (__TEXT,__text) non-external _default_realloc
00000001905401b8 (__TEXT,__text) non-external _emit_indname_block
0000000190540348 (__TEXT,__text) non-external _emit_string
0000000190542cfc (__TEXT,__text) non-external _emit_table_size
00000001905463f4 (__TEXT,__text) non-external _find_stream_on_goaway_func
0000000190540ad0 (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
0000000190545f08 (__TEXT,__text) non-external _free_streams
00000001905466a8 (__TEXT,__text) non-external _get_error_code_from_lib_error_code
0000000190542b58 (__TEXT,__text) non-external _hd_context_free
0000000190541390 (__TEXT,__text) non-external _hd_context_shrink_table_size
0000000190543bb8 (__TEXT,__text) non-external _hd_get_table_entry
0000000190542248 (__TEXT,__text) non-external _hd_inflate_commit_indname
0000000190542308 (__TEXT,__text) non-external _hd_inflate_commit_newname
0000000190542174 (__TEXT,__text) non-external _hd_inflate_read_huff
0000000190542070 (__TEXT,__text) non-external _hd_inflate_read_len
0000000190542be8 (__TEXT,__text) non-external _hd_ringbuf_get
000000019054b1f8 (__TEXT,__const) non-external _huff_decode_table
000000019054a9f0 (__TEXT,__const) non-external _huff_sym_table
000000019053f3f0 (__TEXT,__text) non-external _lookup_token
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
0000000190543340 (__TEXT,__text) non-external _map_insert
0000000190543230 (__TEXT,__text) non-external _map_resize
00000001ed03ca20 (__DATA_DIRTY,__data) non-external _mem_default
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
000000019053c6f8 (__TEXT,__text) non-external _nghttp2_adjust_local_window_size
000000019053bf78 (__TEXT,__text) non-external _nghttp2_bufs_add
0000000190540a70 (__TEXT,__text) non-external _nghttp2_bufs_addb
0000000190542c90 (__TEXT,__text) non-external _nghttp2_bufs_free
000000019054a7cc (__TEXT,__text) external _nghttp2_check_authority
000000019053b164 (__TEXT,__text) external _nghttp2_check_header_name
000000019053b1ac (__TEXT,__text) external _nghttp2_check_header_value
000000019054a704 (__TEXT,__text) external _nghttp2_check_header_value_rfc9113
000000019054a76c (__TEXT,__text) external _nghttp2_check_method
000000019054a79c (__TEXT,__text) external _nghttp2_check_path
0000000190543df4 (__TEXT,__text) external _nghttp2_extpri_parse_priority
0000000190540c90 (__TEXT,__text) non-external _nghttp2_frame_add_pad
000000019053ed28 (__TEXT,__text) non-external _nghttp2_frame_pack_headers
00000001905434b4 (__TEXT,__text) non-external _nghttp2_frame_pack_push_promise
000000019053ecf8 (__TEXT,__text) external _nghttp2_hd_deflate_bound
0000000190541348 (__TEXT,__text) external _nghttp2_hd_deflate_change_table_size
0000000190543a1c (__TEXT,__text) external _nghttp2_hd_deflate_del
0000000190543c18 (__TEXT,__text) external _nghttp2_hd_deflate_get_dynamic_table_size
0000000190543c20 (__TEXT,__text) external _nghttp2_hd_deflate_get_max_dynamic_table_size
0000000190543ba8 (__TEXT,__text) external _nghttp2_hd_deflate_get_num_table_entries
0000000190543bb4 (__TEXT,__text) external _nghttp2_hd_deflate_get_table_entry
0000000190543660 (__TEXT,__text) external _nghttp2_hd_deflate_hd
0000000190543664 (__TEXT,__text) external _nghttp2_hd_deflate_hd2
000000019053ee4c (__TEXT,__text) non-external _nghttp2_hd_deflate_hd_bufs
0000000190543778 (__TEXT,__text) external _nghttp2_hd_deflate_hd_vec
000000019054377c (__TEXT,__text) external _nghttp2_hd_deflate_hd_vec2
000000019054391c (__TEXT,__text) external _nghttp2_hd_deflate_new
0000000190543924 (__TEXT,__text) external _nghttp2_hd_deflate_new2
0000000190543604 (__TEXT,__text) external _nghttp2_hd_inflate_change_table_size
0000000190543b64 (__TEXT,__text) external _nghttp2_hd_inflate_del
00000001905423b4 (__TEXT,__text) external _nghttp2_hd_inflate_end_headers
0000000190542c38 (__TEXT,__text) non-external _nghttp2_hd_inflate_free
0000000190543c38 (__TEXT,__text) external _nghttp2_hd_inflate_get_dynamic_table_size
0000000190543c40 (__TEXT,__text) external _nghttp2_hd_inflate_get_max_dynamic_table_size
0000000190543c28 (__TEXT,__text) external _nghttp2_hd_inflate_get_num_table_entries
0000000190543c34 (__TEXT,__text) external _nghttp2_hd_inflate_get_table_entry
0000000190543a60 (__TEXT,__text) external _nghttp2_hd_inflate_hd
0000000190543ac8 (__TEXT,__text) external _nghttp2_hd_inflate_hd2
0000000190543a64 (__TEXT,__text) external _nghttp2_hd_inflate_hd3
00000001905419d4 (__TEXT,__text) non-external _nghttp2_hd_inflate_hd_nv
000000019053ba78 (__TEXT,__text) non-external _nghttp2_hd_inflate_init
0000000190543acc (__TEXT,__text) external _nghttp2_hd_inflate_new
0000000190543ad4 (__TEXT,__text) external _nghttp2_hd_inflate_new2
0000000190540630 (__TEXT,__text) non-external _nghttp2_hd_table_get
000000019054a7fc (__TEXT,__text) external _nghttp2_http2_strerror
0000000190544f9c (__TEXT,__text) non-external _nghttp2_http_on_request_headers
00000001905423f4 (__TEXT,__text) non-external _nghttp2_http_on_response_headers
0000000190544d40 (__TEXT,__text) non-external _nghttp2_http_parse_priority
000000019053ec08 (__TEXT,__text) non-external _nghttp2_http_record_request_method
000000019054a40c (__TEXT,__text) non-external _nghttp2_increase_local_window_size
0000000190545c70 (__TEXT,__text) external _nghttp2_is_fatal
000000019053c3b0 (__TEXT,__text) non-external _nghttp2_iv_check
000000019053c674 (__TEXT,__text) non-external _nghttp2_map_find
000000019053ca44 (__TEXT,__text) non-external _nghttp2_nv_array_copy
0000000190543594 (__TEXT,__text) external _nghttp2_nv_compare_name
000000019053a908 (__TEXT,__text) external _nghttp2_option_del
000000019053a808 (__TEXT,__text) external _nghttp2_option_new
0000000190543120 (__TEXT,__text) external _nghttp2_option_set_builtin_recv_extension_type
000000019054321c (__TEXT,__text) external _nghttp2_option_set_glitch_rate_limit
0000000190543208 (__TEXT,__text) external _nghttp2_option_set_max_continuations
0000000190543190 (__TEXT,__text) external _nghttp2_option_set_max_deflate_dynamic_table_size
00000001905431a4 (__TEXT,__text) external _nghttp2_option_set_max_outbound_ack
00000001905430d4 (__TEXT,__text) external _nghttp2_option_set_max_reserved_remote_streams
000000019054317c (__TEXT,__text) external _nghttp2_option_set_max_send_header_block_length
00000001905431b8 (__TEXT,__text) external _nghttp2_option_set_max_settings
0000000190543168 (__TEXT,__text) external _nghttp2_option_set_no_auto_ping_ack
000000019053a854 (__TEXT,__text) external _nghttp2_option_set_no_auto_window_update
000000019053a8a0 (__TEXT,__text) external _nghttp2_option_set_no_closed_streams
000000019053a878 (__TEXT,__text) external _nghttp2_option_set_no_http_messaging
000000019053a88c (__TEXT,__text) external _nghttp2_option_set_no_http_semantics
00000001905430c0 (__TEXT,__text) external _nghttp2_option_set_no_recv_client_magic
