0000000182f71a14 (__TEXT,__text) external _CreateLSTMBreakEngine
0000000182f719d8 (__TEXT,__text) external _CreateLSTMData
0000000182f71884 (__TEXT,__text) external _CreateLSTMDataForScript
0000000182f71bc8 (__TEXT,__text) external _DeleteLSTMData
0000000182f71c14 (__TEXT,__text) external _LSTMDataName
0000000182f50a98 (__TEXT,__text) external _T_CString_int64ToString
0000000182f509c8 (__TEXT,__text) external _T_CString_integerToString
0000000182f50b6c (__TEXT,__text) external _T_CString_stringToInteger
0000000182f50970 (__TEXT,__text) external _T_CString_toLowerCase
0000000182f5099c (__TEXT,__text) external _T_CString_toUpperCase
0000000182fbcb3c (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
0000000182fbc8a8 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
0000000182fbc780 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
0000000182fbc9e8 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
0000000182fbd0ac (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
0000000182fbd054 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
0000000182fbc8a4 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
0000000182fbd078 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
                 (undefined) external __DefaultRuneLocale (from libSystem)
000000018300a118 (__TEXT,__text) external __Z30uscript_getSampleUnicodeString11UScriptCode
000000018317a99c (__TEXT,__text) external __Z31uspoof_getSkeletonUnicodeStringPK13USpoofCheckerjRKN3icu13UnicodeStringERS3_P10UErrorCode
0000000182f47d90 (__TEXT,__text) external __ZN3icu10Appendable12appendStringEPKDsi
0000000182f47cac (__TEXT,__text) external __ZN3icu10Appendable15appendCodePointEi
0000000182f47e54 (__TEXT,__text) external __ZN3icu10Appendable15getAppendBufferEiiPDsiPi
0000000182f47e4c (__TEXT,__text) external __ZN3icu10Appendable21reserveAppendCapacityEi
0000000182f47ca8 (__TEXT,__text) external __ZN3icu10AppendableD0Ev
0000000182f47ca4 (__TEXT,__text) external __ZN3icu10AppendableD1Ev
0000000182f47ca0 (__TEXT,__text) external __ZN3icu10AppendableD2Ev
0000000183035820 (__TEXT,__text) external __ZN3icu10CECalendar6ceToJDEiiii
0000000183035960 (__TEXT,__text) external __ZN3icu10CECalendar6jdToCEEiiRiS1_S1_
00000001830356cc (__TEXT,__text) external __ZN3icu10CECalendarC2ERKNS_6LocaleER10UErrorCode
0000000183035748 (__TEXT,__text) external __ZN3icu10CECalendarC2ERKS0_
0000000183035784 (__TEXT,__text) external __ZN3icu10CECalendarD0Ev
0000000183035780 (__TEXT,__text) external __ZN3icu10CECalendarD1Ev
000000018303577c (__TEXT,__text) external __ZN3icu10CECalendarD2Ev
0000000183035788 (__TEXT,__text) external __ZN3icu10CECalendaraSERKS0_
0000000182f501d4 (__TEXT,__text) external __ZN3icu10CharString12appendNumberEiR10UErrorCode
