                 (undefined) external _OSSpinLockLock (from libsystem_platform)
                 (undefined) external _OSSpinLockUnlock (from libsystem_platform)
                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff80b0fc01a (__TEXT,__text) external ___absvdi2
00007ff80b0fc04d (__TEXT,__text) external ___absvsi2
00007ff80b0fc076 (__TEXT,__text) external ___absvti2
00007ff80b0fc0b6 (__TEXT,__text) external ___addvdi3
00007ff80b0fc0fc (__TEXT,__text) external ___addvsi3
00007ff80b0fc13e (__TEXT,__text) external ___addvti3
00007ff80b0fc19b (__TEXT,__text) external ___ashldi3
00007ff80b0fc1c7 (__TEXT,__text) external ___ashlti3
00007ff80b0fc1ef (__TEXT,__text) external ___ashrdi3
00007ff80b0fc220 (__TEXT,__text) external ___ashrti3
                 (undefined) external ___assert_rtn (from libsystem_c)
00007ff80b0fc4c8 (__TEXT,__text) external ___atomic_compare_exchange
00007ff80b0fca20 (__TEXT,__text) external ___atomic_compare_exchange_1
00007ff80b0fca6c (__TEXT,__text) external ___atomic_compare_exchange_2
00007ff80b0fcab8 (__TEXT,__text) external ___atomic_compare_exchange_4
00007ff80b0fcb04 (__TEXT,__text) external ___atomic_compare_exchange_8
00007ff80b0fc70c (__TEXT,__text) external ___atomic_exchange
00007ff80b0fc952 (__TEXT,__text) external ___atomic_exchange_1
00007ff80b0fc988 (__TEXT,__text) external ___atomic_exchange_2
00007ff80b0fc9bc (__TEXT,__text) external ___atomic_exchange_4
00007ff80b0fc9ec (__TEXT,__text) external ___atomic_exchange_8
00007ff80b0fcb50 (__TEXT,__text) external ___atomic_fetch_add_1
00007ff80b0fcb88 (__TEXT,__text) external ___atomic_fetch_add_2
00007ff80b0fcbbc (__TEXT,__text) external ___atomic_fetch_add_4
00007ff80b0fcbf0 (__TEXT,__text) external ___atomic_fetch_add_8
00007ff80b0fcd00 (__TEXT,__text) external ___atomic_fetch_and_1
00007ff80b0fcd78 (__TEXT,__text) external ___atomic_fetch_and_2
00007ff80b0fcdf8 (__TEXT,__text) external ___atomic_fetch_and_4
00007ff80b0fce68 (__TEXT,__text) external ___atomic_fetch_and_8
00007ff80b0fceec (__TEXT,__text) external ___atomic_fetch_or_1
00007ff80b0fcf64 (__TEXT,__text) external ___atomic_fetch_or_2
00007ff80b0fcfe4 (__TEXT,__text) external ___atomic_fetch_or_4
00007ff80b0fd054 (__TEXT,__text) external ___atomic_fetch_or_8
00007ff80b0fcc24 (__TEXT,__text) external ___atomic_fetch_sub_1
00007ff80b0fcc5c (__TEXT,__text) external ___atomic_fetch_sub_2
00007ff80b0fcc94 (__TEXT,__text) external ___atomic_fetch_sub_4
00007ff80b0fccc8 (__TEXT,__text) external ___atomic_fetch_sub_8
00007ff80b0fd0d8 (__TEXT,__text) external ___atomic_fetch_xor_1
00007ff80b0fd150 (__TEXT,__text) external ___atomic_fetch_xor_2
00007ff80b0fd1d0 (__TEXT,__text) external ___atomic_fetch_xor_4
00007ff80b0fd240 (__TEXT,__text) external ___atomic_fetch_xor_8
00007ff80b0fc250 (__TEXT,__text) external ___atomic_is_lock_free
00007ff80b0fc2a4 (__TEXT,__text) external ___atomic_load
00007ff80b0fc8cc (__TEXT,__text) external ___atomic_load_1
00007ff80b0fc8dd (__TEXT,__text) external ___atomic_load_2
00007ff80b0fc8ef (__TEXT,__text) external ___atomic_load_4
00007ff80b0fc8fd (__TEXT,__text) external ___atomic_load_8
00007ff80b0fc3a4 (__TEXT,__text) external ___atomic_store
00007ff80b0fc90c (__TEXT,__text) external ___atomic_store_1
00007ff80b0fc91e (__TEXT,__text) external ___atomic_store_2
00007ff80b0fc930 (__TEXT,__text) external ___atomic_store_4
00007ff80b0fc940 (__TEXT,__text) external ___atomic_store_8
                 (indirect) external ___chkstk_darwin (for ____chkstk_darwin)
00007ff80b0fd374 (__TEXT,__text) external ___clear_cache
00007ff80b0fd375 (__TEXT,__text) external ___clzdi2
00007ff80b0fd390 (__TEXT,__text) external ___clzsi2
00007ff80b0fd3fe (__TEXT,__text) external ___clzti2
00007ff80b0fd417 (__TEXT,__text) external ___cmpdi2
00007ff80b0fd446 (__TEXT,__text) external ___cmpti2
00007ff80b0ff498 (__TEXT,__text) non-external (was a private external) ___compilerrt_abort_impl
00007ff80b0fd46a (__TEXT,__text) external ___ctzdi2
00007ff80b0fd484 (__TEXT,__text) external ___ctzsi2
00007ff80b0fd4e5 (__TEXT,__text) external ___ctzti2
00007ff80b0fd4fb (__TEXT,__text) external ___divdc3
00007ff80b0fbf8f (__TEXT,__text) external ___divdi3
00007ff80b0fdb6f (__TEXT,__text) external ___divsc3
00007ff80b0fbfca (__TEXT,__text) external ___divti3
00007ff80b0fe11b (__TEXT,__text) external ___divxc3
00007ff80b0fe466 (__TEXT,__text) external ___enable_execute_stack
00007ff80b0fe487 (__TEXT,__text) external ___extendhfsf2
00007ff80b0fe4f5 (__TEXT,__text) external ___ffsdi2
00007ff80b0fe511 (__TEXT,__text) external ___ffsti2
00007ff80b0fe52d (__TEXT,__text) external ___fixdfdi
