                 (undefined) external _XML_ErrorString (from libexpat)
                 (undefined) external _XML_GetErrorCode (from libexpat)
                 (undefined) external _XML_Parse (from libexpat)
                 (undefined) external _XML_ParserCreate (from libexpat)
                 (undefined) external _XML_ParserFree (from libexpat)
                 (undefined) external _XML_SetCharacterDataHandler (from libexpat)
                 (undefined) external _XML_SetElementHandler (from libexpat)
                 (undefined) external _XML_SetEntityDeclHandler (from libexpat)
                 (undefined) external _XML_SetUserData (from libexpat)
                 (undefined) external _XML_StopParser (from libexpat)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcat_chk (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
0000000209a7fc28 (__TEXT,__text) external __crypt_blowfish_rn
0000000209a820ac (__TEXT,__text) external __crypt_gensalt_blowfish_rn
0000000209a7fbd4 (__TEXT,__text) external __crypt_output_magic
                 (undefined) external _abort (from libSystem)
                 (undefined) external _apr_allocator_alloc (from libapr-1)
                 (undefined) external _apr_allocator_free (from libapr-1)
                 (undefined) external _apr_array_make (from libapr-1)
                 (undefined) external _apr_array_push (from libapr-1)
                 (undefined) external _apr_atoi64 (from libapr-1)
                 (undefined) external _apr_atomic_dec32 (from libapr-1)
                 (undefined) external _apr_atomic_inc32 (from libapr-1)
                 (undefined) external _apr_atomic_read32 (from libapr-1)
                 (undefined) external _apr_atomic_set32 (from libapr-1)
0000000209a849d4 (__TEXT,__text) external _apr_base64_decode
0000000209a849fc (__TEXT,__text) external _apr_base64_decode_binary
0000000209a84990 (__TEXT,__text) external _apr_base64_decode_len
0000000209a84b50 (__TEXT,__text) external _apr_base64_encode
0000000209a84b54 (__TEXT,__text) external _apr_base64_encode_binary
0000000209a84b28 (__TEXT,__text) external _apr_base64_encode_len
0000000209a7eb34 (__TEXT,__text) external _apr_bcrypt_encode
0000000209a7a7f0 (__TEXT,__text) external _apr_brigade_cleanup
0000000209a7a8c4 (__TEXT,__text) external _apr_brigade_create
0000000209a7a860 (__TEXT,__text) external _apr_brigade_destroy
0000000209a7ac20 (__TEXT,__text) external _apr_brigade_flatten
0000000209a7b764 (__TEXT,__text) external _apr_brigade_insert_file
0000000209a7ab6c (__TEXT,__text) external _apr_brigade_length
0000000209a7aa40 (__TEXT,__text) external _apr_brigade_partition
0000000209a7acf0 (__TEXT,__text) external _apr_brigade_pflatten
0000000209a7b608 (__TEXT,__text) external _apr_brigade_printf
0000000209a7b550 (__TEXT,__text) external _apr_brigade_putc
0000000209a7b57c (__TEXT,__text) external _apr_brigade_puts
0000000209a7b5dc (__TEXT,__text) external _apr_brigade_putstrs
0000000209a7aa38 (__TEXT,__text) external _apr_brigade_split
0000000209a7a940 (__TEXT,__text) external _apr_brigade_split_ex
0000000209a7ad6c (__TEXT,__text) external _apr_brigade_split_line
0000000209a7b0b0 (__TEXT,__text) external _apr_brigade_to_iovec
0000000209a7b634 (__TEXT,__text) external _apr_brigade_vprintf
0000000209a7b15c (__TEXT,__text) external _apr_brigade_vputstrs
0000000209a7aefc (__TEXT,__text) external _apr_brigade_write
0000000209a7b258 (__TEXT,__text) external _apr_brigade_writev
0000000209a7b938 (__TEXT,__text) external _apr_bucket_alloc
0000000209a7b7ec (__TEXT,__text) external _apr_bucket_alloc_create
0000000209a7b874 (__TEXT,__text) external _apr_bucket_alloc_create_ex
0000000209a7b8e0 (__TEXT,__text) external _apr_bucket_alloc_destroy
0000000209a7b7dc (__TEXT,__text) external _apr_bucket_copy_notimpl
0000000209a7b7e8 (__TEXT,__text) external _apr_bucket_destroy_noop
0000000209a7ba34 (__TEXT,__text) external _apr_bucket_eos_create
0000000209a7ba20 (__TEXT,__text) external _apr_bucket_eos_make
0000000209a7bb10 (__TEXT,__text) external _apr_bucket_file_create
0000000209a7bbb0 (__TEXT,__text) external _apr_bucket_file_enable_mmap
0000000209a7ba98 (__TEXT,__text) external _apr_bucket_file_make
0000000209a7bf0c (__TEXT,__text) external _apr_bucket_flush_create
0000000209a7bef8 (__TEXT,__text) external _apr_bucket_flush_make
0000000209a7b9f0 (__TEXT,__text) external _apr_bucket_free
0000000209a7c030 (__TEXT,__text) external _apr_bucket_heap_create
0000000209a7bf70 (__TEXT,__text) external _apr_bucket_heap_make
0000000209a7c9a8 (__TEXT,__text) external _apr_bucket_immortal_create
0000000209a7c994 (__TEXT,__text) external _apr_bucket_immortal_make
0000000209a7c1c0 (__TEXT,__text) external _apr_bucket_mmap_create
0000000209a7c118 (__TEXT,__text) external _apr_bucket_mmap_make
0000000209a7c3c0 (__TEXT,__text) external _apr_bucket_pipe_create
0000000209a7c3a8 (__TEXT,__text) external _apr_bucket_pipe_make
0000000209a7c6c4 (__TEXT,__text) external _apr_bucket_pool_create
0000000209a7c5c0 (__TEXT,__text) external _apr_bucket_pool_make
0000000209a7b7bc (__TEXT,__text) external _apr_bucket_setaside_noop
0000000209a7b7c4 (__TEXT,__text) external _apr_bucket_setaside_notimpl
0000000209a7c848 (__TEXT,__text) external _apr_bucket_shared_copy
0000000209a7c87c (__TEXT,__text) external _apr_bucket_shared_destroy
0000000209a7c890 (__TEXT,__text) external _apr_bucket_shared_make
