00007ff814b43845 (__TEXT,__const) non-external _KW_ANY
00007ff814b437a9 (__TEXT,__const) non-external _KW_ATTLIST
00007ff814b437f8 (__TEXT,__const) non-external _KW_CDATA
00007ff814b4378c (__TEXT,__const) non-external _KW_DOCTYPE
00007ff814b437b1 (__TEXT,__const) non-external _KW_ELEMENT
00007ff814b4383f (__TEXT,__const) non-external _KW_EMPTY
00007ff814b4380e (__TEXT,__const) non-external _KW_ENTITIES
00007ff814b437a2 (__TEXT,__const) non-external _KW_ENTITY
00007ff814b43839 (__TEXT,__const) non-external _KW_FIXED
00007ff814b437fe (__TEXT,__const) non-external _KW_ID
00007ff814b43801 (__TEXT,__const) non-external _KW_IDREF
00007ff814b43807 (__TEXT,__const) non-external _KW_IDREFS
00007ff814b437ca (__TEXT,__const) non-external _KW_IGNORE
00007ff814b43828 (__TEXT,__const) non-external _KW_IMPLIED
00007ff814b437c2 (__TEXT,__const) non-external _KW_INCLUDE
00007ff814b43f60 (__TEXT,__const) non-external _KW_ISO_8859_1
00007ff814b437d1 (__TEXT,__const) non-external _KW_NDATA
00007ff814b43817 (__TEXT,__const) non-external _KW_NMTOKEN
00007ff814b4381f (__TEXT,__const) non-external _KW_NMTOKENS
00007ff814b437b9 (__TEXT,__const) non-external _KW_NOTATION
00007ff814b43849 (__TEXT,__const) non-external _KW_PCDATA
00007ff814b4379b (__TEXT,__const) non-external _KW_PUBLIC
00007ff814b43830 (__TEXT,__const) non-external _KW_REQUIRED
00007ff814b43794 (__TEXT,__const) non-external _KW_SYSTEM
00007ff814b43f6b (__TEXT,__const) non-external _KW_US_ASCII
00007ff814b43f7a (__TEXT,__const) non-external _KW_UTF_16
00007ff814b43f81 (__TEXT,__const) non-external _KW_UTF_16BE
00007ff814b43f8a (__TEXT,__const) non-external _KW_UTF_16LE
00007ff814b43f74 (__TEXT,__const) non-external _KW_UTF_8
00007ff814b43fa1 (__TEXT,__const) non-external _KW_encoding
00007ff814b43fb9 (__TEXT,__const) non-external _KW_no
00007ff814b43faa (__TEXT,__const) non-external _KW_standalone
00007ff814b43f99 (__TEXT,__const) non-external _KW_version
00007ff814b43fb5 (__TEXT,__const) non-external _KW_yes
00007ff814b2c9f6 (__TEXT,__text) external _XML_DefaultCurrent
00007ff814b2cb11 (__TEXT,__text) external _XML_ErrorString
00007ff814b2cb32 (__TEXT,__text) external _XML_ExpatVersion
00007ff814b2cb3f (__TEXT,__text) external _XML_ExpatVersionInfo
00007ff814b2af66 (__TEXT,__text) external _XML_ExternalEntityParserCreate
00007ff814b2c99b (__TEXT,__text) external _XML_FreeContentModel
00007ff814b2bdd9 (__TEXT,__text) external _XML_GetBase
00007ff814b2c231 (__TEXT,__text) external _XML_GetBuffer
00007ff814b2c88a (__TEXT,__text) external _XML_GetCurrentByteCount
00007ff814b2c861 (__TEXT,__text) external _XML_GetCurrentByteIndex
00007ff814b2c945 (__TEXT,__text) external _XML_GetCurrentColumnNumber
00007ff814b2c8ec (__TEXT,__text) external _XML_GetCurrentLineNumber
00007ff814b2c849 (__TEXT,__text) external _XML_GetErrorCode
00007ff814b2cb54 (__TEXT,__text) external _XML_GetFeatureList
00007ff841701d80 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
00007ff814b2be07 (__TEXT,__text) external _XML_GetIdAttributeIndex
00007ff814b2c8b3 (__TEXT,__text) external _XML_GetInputContext
00007ff814b2c82b (__TEXT,__text) external _XML_GetParsingStatus
00007ff814b430b4 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
00007ff814b2bdef (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
00007ff814b2c9e1 (__TEXT,__text) external _XML_MemFree
00007ff814b2c9b0 (__TEXT,__text) external _XML_MemMalloc
00007ff814b2c9c7 (__TEXT,__text) external _XML_MemRealloc
00007ff814b2c0a9 (__TEXT,__text) external _XML_Parse
00007ff814b4306e (__TEXT,__text) non-external _XML_Parse.cold.1
00007ff814b2c447 (__TEXT,__text) external _XML_ParseBuffer
00007ff814b2a528 (__TEXT,__text) external _XML_ParserCreate
00007ff814b2a544 (__TEXT,__text) external _XML_ParserCreateNS
00007ff814b2a538 (__TEXT,__text) external _XML_ParserCreate_MM
00007ff814b2b877 (__TEXT,__text) external _XML_ParserFree
00007ff814b2a85f (__TEXT,__text) external _XML_ParserReset
00007ff814b2c758 (__TEXT,__text) external _XML_ResumeParser
00007ff814b2c013 (__TEXT,__text) external _XML_SetAttlistDeclHandler
00007ff814b2bd31 (__TEXT,__text) external _XML_SetBase
00007ff814b2cb9b (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
