00007ffc12729e5e (__TEXT,__text) external _AAAFSCGetMetadata
00007ffc1272a1db (__TEXT,__text) external _AAAFSCSetMetadata
00007ffc12729278 (__TEXT,__text) external _AAAFSCStreamOpen
00007ffc12729966 (__TEXT,__text) external _AAAFSCStreamOpenWithMetadata
00007ffc12729a6e (__TEXT,__text) external _AAAFSCStreamOpenWithState
00007ffc126b0f5f (__TEXT,__text) external _AAArchiveStreamCancel
00007ffc126b0f28 (__TEXT,__text) external _AAArchiveStreamClose
00007ffc126c701c (__TEXT,__text) external _AAArchiveStreamProcess
00007ffc126b0eda (__TEXT,__text) external _AAArchiveStreamReadBlob
00007ffc126b0ec0 (__TEXT,__text) external _AAArchiveStreamReadHeader
00007ffc126b0f0e (__TEXT,__text) external _AAArchiveStreamWriteBlob
00007ffc126b0ef4 (__TEXT,__text) external _AAArchiveStreamWriteHeader
00007ffc126b2527 (__TEXT,__text) external _AAArchiveStreamWritePathList
00007ffc126b62c3 (__TEXT,__text) external _AAAssetBuilderAddFilter
00007ffc126b61fb (__TEXT,__text) external _AAAssetBuilderAddVariantArchive
00007ffc126b613c (__TEXT,__text) external _AAAssetBuilderCreate
00007ffc126b61ea (__TEXT,__text) external _AAAssetBuilderDestroy
00007ffc1271ee20 (__TEXT,__text) external _AAAssetBuilderGenerate
00007ffc126b6360 (__TEXT,__text) external _AAAssetBuilderGetParameter
00007ffc126b62ce (__TEXT,__text) external _AAAssetBuilderSetParameter
00007ffc126b69b6 (__TEXT,__text) external _AAAssetExtractorCreate
00007ffc126b6fa1 (__TEXT,__text) external _AAAssetExtractorDestroy
00007ffc126b79ad (__TEXT,__text) external _AAAssetExtractorSetParameterCallback
00007ffc126b7938 (__TEXT,__text) external _AAAssetExtractorSetParameterPtr
00007ffc126b7489 (__TEXT,__text) external _AAAssetExtractorWrite
00007ffc12731962 (__TEXT,__text) external _AAAsyncByteStreamCancel
00007ffc12731977 (__TEXT,__text) external _AAAsyncByteStreamClose
00007ffc12731353 (__TEXT,__text) external _AAAsyncByteStreamGetRange
00007ffc12731800 (__TEXT,__text) external _AAAsyncByteStreamProcess
00007ffc126e7ef1 (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
00007ffc126c7f26 (__TEXT,__text) external _AAByteRangeAdd
00007ffc126c7e2e (__TEXT,__text) external _AAByteRangeClone
00007ffc126c7d92 (__TEXT,__text) external _AAByteRangeCreate
00007ffc126c7e08 (__TEXT,__text) external _AAByteRangeDestroy
00007ffc126c80f4 (__TEXT,__text) external _AAByteRangeFirst
00007ffc126c8201 (__TEXT,__text) external _AAByteRangeNext
00007ffc126c8086 (__TEXT,__text) external _AAByteRangeOffsetAtSize
00007ffc126c8014 (__TEXT,__text) external _AAByteRangeSizeAtOffset
00007ffc126c7fa2 (__TEXT,__text) external _AAByteRangeSub
00007ffc12728374 (__TEXT,__text) external _AAByteStreamCancel
00007ffc12728389 (__TEXT,__text) external _AAByteStreamClose
00007ffc127283c0 (__TEXT,__text) external _AAByteStreamCloseWithState
00007ffc12728409 (__TEXT,__text) external _AAByteStreamFlush
00007ffc1272833c (__TEXT,__text) external _AAByteStreamPRead
00007ffc1272843d (__TEXT,__text) external _AAByteStreamPReadAsync
00007ffc12728304 (__TEXT,__text) external _AAByteStreamPWrite
00007ffc127015b1 (__TEXT,__text) external _AAByteStreamProcess
00007ffc12728320 (__TEXT,__text) external _AAByteStreamRead
00007ffc12728358 (__TEXT,__text) external _AAByteStreamSeek
00007ffc12728423 (__TEXT,__text) external _AAByteStreamTruncate
00007ffc12728259 (__TEXT,__text) external _AAByteStreamWrite
00007ffc126e6374 (__TEXT,__text) external _AAChunkAsyncStreamOpen
00007ffc126e5a73 (__TEXT,__text) external _AAChunkInputStreamOpen
00007ffc126fe366 (__TEXT,__text) external _AAChunkOutputStreamOpen
00007ffc1272ccc6 (__TEXT,__text) external _AACompressionOutputStreamOpen
00007ffc1272d62a (__TEXT,__text) external _AACompressionOutputStreamOpenExisting
00007ffc126efa00 (__TEXT,__text) external _AAConvertArchiveOutputStreamOpen
00007ffc126b0f74 (__TEXT,__text) external _AACustomArchiveStreamOpen
00007ffc126b0fed (__TEXT,__text) external _AACustomArchiveStreamSetCancelProc
00007ffc126b0fe3 (__TEXT,__text) external _AACustomArchiveStreamSetCloseProc
00007ffc126b0fda (__TEXT,__text) external _AACustomArchiveStreamSetData
00007ffc126b1015 (__TEXT,__text) external _AACustomArchiveStreamSetReadBlobProc
00007ffc126b100b (__TEXT,__text) external _AACustomArchiveStreamSetReadHeaderProc
00007ffc126b1001 (__TEXT,__text) external _AACustomArchiveStreamSetWriteBlobProc
00007ffc126b0ff7 (__TEXT,__text) external _AACustomArchiveStreamSetWriteHeaderProc
00007ffc127291d1 (__TEXT,__text) external _AACustomByteStreamOpen
00007ffc1272926b (__TEXT,__text) external _AACustomByteStreamSetCancelProc
00007ffc1272922f (__TEXT,__text) external _AACustomByteStreamSetCloseProc
00007ffc12729226 (__TEXT,__text) external _AACustomByteStreamSetData
00007ffc12729243 (__TEXT,__text) external _AACustomByteStreamSetPReadProc
00007ffc12729257 (__TEXT,__text) external _AACustomByteStreamSetPWriteProc
00007ffc12729239 (__TEXT,__text) external _AACustomByteStreamSetReadProc
00007ffc12729261 (__TEXT,__text) external _AACustomByteStreamSetSeekProc
00007ffc1272924d (__TEXT,__text) external _AACustomByteStreamSetWriteProc
00007ffc12727773 (__TEXT,__text) external _AADecodeArchiveInputStreamOpen
00007ffc12728bef (__TEXT,__text) external _AADecompressionInputStreamOpen
00007ffc1273092d (__TEXT,__text) external _AADecompressionRandomAccessInputStreamOpen
00007ffc1272593f (__TEXT,__text) external _AAEncodeArchiveOutputStreamOpen
00007ffc1271d945 (__TEXT,__text) external _AAEntryACLBlobAppendEntry
00007ffc1271e6d4 (__TEXT,__text) external _AAEntryACLBlobApplyToPath
00007ffc1271e6c3 (__TEXT,__text) external _AAEntryACLBlobClear
00007ffc1271e570 (__TEXT,__text) external _AAEntryACLBlobCreate
00007ffc1271e630 (__TEXT,__text) external _AAEntryACLBlobCreateWithEncodedData
00007ffc1271e677 (__TEXT,__text) external _AAEntryACLBlobCreateWithPath
00007ffc1271e5d6 (__TEXT,__text) external _AAEntryACLBlobDestroy
00007ffc1271ee14 (__TEXT,__text) external _AAEntryACLBlobGetEncodedData
00007ffc1271ee0a (__TEXT,__text) external _AAEntryACLBlobGetEncodedSize
00007ffc1271e81e (__TEXT,__text) external _AAEntryACLBlobGetEntry
00007ffc1271e816 (__TEXT,__text) external _AAEntryACLBlobGetEntryCount
00007ffc1271ed42 (__TEXT,__text) external _AAEntryACLBlobRemoveEntry
00007ffc1271e9cb (__TEXT,__text) external _AAEntryACLBlobSetEntry
00007ffc1271a941 (__TEXT,__text) external _AAEntryXATBlobAppendEntry
00007ffc1271b166 (__TEXT,__text) external _AAEntryXATBlobApplyToPath
00007ffc1271b155 (__TEXT,__text) external _AAEntryXATBlobClear
