0000000180fb100c (__TEXT,__text) external _OSAtomicAdd32
0000000180fb1018 (__TEXT,__text) external _OSAtomicAdd32Barrier
0000000180fb1064 (__TEXT,__text) external _OSAtomicAdd64
0000000180fb1070 (__TEXT,__text) external _OSAtomicAdd64Barrier
0000000180fb10bc (__TEXT,__text) external _OSAtomicAnd32
0000000180fb10cc (__TEXT,__text) external _OSAtomicAnd32Barrier
0000000180fb10dc (__TEXT,__text) external _OSAtomicAnd32Orig
0000000180fb10e8 (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
0000000180fb1144 (__TEXT,__text) external _OSAtomicCompareAndSwap32
0000000180fb1158 (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
0000000180fb11e4 (__TEXT,__text) external _OSAtomicCompareAndSwap64
0000000180fb11f8 (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
0000000180fb1194 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
0000000180fb11a8 (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
0000000180fb11bc (__TEXT,__text) external _OSAtomicCompareAndSwapLong
0000000180fb11d0 (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
0000000180fb116c (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
0000000180fb1180 (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
0000000180fb1044 (__TEXT,__text) external _OSAtomicDecrement32
0000000180fb1054 (__TEXT,__text) external _OSAtomicDecrement32Barrier
0000000180fb109c (__TEXT,__text) external _OSAtomicDecrement64
0000000180fb10ac (__TEXT,__text) external _OSAtomicDecrement64Barrier
0000000180fb13ec (__TEXT,__text) external _OSAtomicDequeue
0000000180fb130c (__TEXT,__text) external _OSAtomicEnqueue
0000000180faf344 (__TEXT,__text) external _OSAtomicFifoDequeue
0000000180fb3294 (__TEXT,__text) non-external _OSAtomicFifoDequeue.cold.1
0000000180faf2d8 (__TEXT,__text) external _OSAtomicFifoEnqueue
0000000180fb3294 (__TEXT,__text) non-external _OSAtomicFifoEnqueue.cold.1
0000000180fb1024 (__TEXT,__text) external _OSAtomicIncrement32
0000000180fb1034 (__TEXT,__text) external _OSAtomicIncrement32Barrier
0000000180fb107c (__TEXT,__text) external _OSAtomicIncrement64
0000000180fb108c (__TEXT,__text) external _OSAtomicIncrement64Barrier
0000000180fb10f4 (__TEXT,__text) external _OSAtomicOr32
0000000180fb1100 (__TEXT,__text) external _OSAtomicOr32Barrier
0000000180fb110c (__TEXT,__text) external _OSAtomicOr32Orig
0000000180fb1114 (__TEXT,__text) external _OSAtomicOr32OrigBarrier
0000000180fb128c (__TEXT,__text) external _OSAtomicTestAndClear
0000000180fb12cc (__TEXT,__text) external _OSAtomicTestAndClearBarrier
0000000180fb120c (__TEXT,__text) external _OSAtomicTestAndSet
0000000180fb124c (__TEXT,__text) external _OSAtomicTestAndSetBarrier
0000000180fb111c (__TEXT,__text) external _OSAtomicXor32
0000000180fb1128 (__TEXT,__text) external _OSAtomicXor32Barrier
0000000180fb1134 (__TEXT,__text) external _OSAtomicXor32Orig
0000000180fb113c (__TEXT,__text) external _OSAtomicXor32OrigBarrier
0000000180fb1448 (__TEXT,__text) external _OSMemoryBarrier
0000000180faf994 (__TEXT,__text) external _OSSpinLockLock
0000000180faf9b0 (__TEXT,__text) external _OSSpinLockTry
0000000180faf9e0 (__TEXT,__text) external _OSSpinLockUnlock
0000000180fb3bfc (__TEXT,__cstring) non-external __0x
0000000180fb3bda (__TEXT,__cstring) non-external __H
0000000180fb1484 (__TEXT,__text) non-external __OSAtomicDequeue_misalign
0000000180fb1450 (__TEXT,__text) non-external __OSAtomicDequeue_misalign_mte
0000000180fb137c (__TEXT,__text) non-external __OSAtomicDequeue_mte
0000000180fb13ec (__TEXT,__text) non-external __OSAtomicDequeue_plain
0000000180fb1354 (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
0000000180faf854 (__TEXT,__text) external __OSSpinLockLockSlow
0000000180faf8c8 (__TEXT,__text) non-external __OSSpinLockLockYield
0000000180fb26a0 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
0000000183030068 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
0000000180fad000 (__TEXT,__text) external ___libplatform_init
0000000180fb0390 (__TEXT,__text) external ___os_once_reset
0000000180faf4b8 (__TEXT,__text) non-external (was a private external) ___os_security_config_init
0000000180fb32bc (__TEXT,__text) non-external ___os_security_config_init.cold.1
0000000180fb32dc (__TEXT,__text) non-external ___os_security_config_init.cold.2
0000000180fb3304 (__TEXT,__text) non-external ___os_security_config_init.cold.3
0000000180fb332c (__TEXT,__text) non-external ___os_security_config_init.cold.4
0000000180faf200 (__TEXT,__text) non-external (was a private external) ___pfz_setup
0000000180fb3b38 (__TEXT,__const) non-external (was a private external) ___platformVersionNumber
0000000180fb3b00 (__TEXT,__const) non-external (was a private external) ___platformVersionString
0000000180fb14c4 (__TEXT,__text) external ___platform_sigaction
0000000183020000 (__DATA,__script_config) non-external (was a private external) ___restrictions_config
0000000183030050 (__DATA_DIRTY,__data) non-external (was a private external) ___security_config
                 (undefined) external ___sigaction (from libsystem_kernel)
                 (undefined) external ___sigaltstack (from libsystem_kernel)
                 (undefined) external ___sigreturn (from libsystem_kernel)
0000000180fad518 (__TEXT,__text) non-external ___simple_bprintf
0000000180fb1998 (__TEXT,__text) external ___sme_memchr
0000000180fb1d38 (__TEXT,__text) external ___sme_memcpy
0000000180fb1e18 (__TEXT,__text) external ___sme_memmove
0000000180fb2b6c (__TEXT,__text) external ___sme_memset
                 (undefined) external ___ulock_wait (from libsystem_kernel)
                 (undefined) external ___ulock_wait2 (from libsystem_kernel)
                 (undefined) external ___ulock_wake (from libsystem_kernel)
0000000180fb2de8 (__TEXT,__text) external __ctx_done
0000000180fb3110 (__TEXT,__text) non-external (was a private external) __ctx_start
0000000180fadfb4 (__TEXT,__text) non-external __enlarge
0000000180fb3244 (__TEXT,__text) non-external __enlarge.cold.1
                 (undefined) external __exit (from libsystem_kernel)
0000000180fade84 (__TEXT,__text) non-external __flush
0000000180fad4e8 (__TEXT,__text) non-external __flush_reset
0000000180fb3beb (__TEXT,__cstring) non-external __h
0000000180fb15a0 (__TEXT,__text) external __longjmp
0000000180fb09e4 (__TEXT,__text) non-external __os_alloc
0000000180fb35b0 (__TEXT,__text) non-external __os_alloc.cold.1
0000000183030060 (__DATA_DIRTY,__common) non-external (was a private external) __os_alloc_heap
0000000180fb0994 (__TEXT,__text) external __os_alloc_once
0000000180fb0aa0 (__TEXT,__text) non-external __os_alloc_slow
0000000180fb3354 (__TEXT,__text) non-external (was a private external) __os_lock_corruption_abort
0000000180fafa30 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_lock
0000000180fafa80 (__TEXT,__text) non-external __os_lock_handoff_lock_slow
0000000180fafa54 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_trylock
0000000180fafa74 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_unlock
