00000001800da32c (__TEXT,__text) external _NSAddImage
00000001800da2bc (__TEXT,__text) external _NSAddLibrary
00000001800da2f4 (__TEXT,__text) external _NSAddLibraryWithSearching
00000001800d9c70 (__TEXT,__text) external _NSAddressOfSymbol
00000001800d9e58 (__TEXT,__text) external _NSCreateObjectFileImageFromFile
00000001800d9b88 (__TEXT,__text) external _NSCreateObjectFileImageFromMemory
00000001800d9e8c (__TEXT,__text) external _NSDestroyObjectFileImage
00000001800d9bf8 (__TEXT,__text) external _NSGetSectionDataInObjectFileImage
00000001800da27c (__TEXT,__text) external _NSInstallLinkEditErrorHandlers
00000001800d9fbc (__TEXT,__text) external _NSIsSymbolDefinedInObjectFileImage
00000001800da084 (__TEXT,__text) external _NSIsSymbolNameDefined
00000001800da0e8 (__TEXT,__text) external _NSIsSymbolNameDefinedInImage
00000001800da0b4 (__TEXT,__text) external _NSIsSymbolNameDefinedWithHint
00000001800da020 (__TEXT,__text) external _NSLibraryNameForModule
00000001800da238 (__TEXT,__text) external _NSLinkEditError
00000001800d9bc0 (__TEXT,__text) external _NSLinkModule
00000001800da11c (__TEXT,__text) external _NSLookupAndBindSymbol
00000001800da14c (__TEXT,__text) external _NSLookupAndBindSymbolWithHint
00000001800da180 (__TEXT,__text) external _NSLookupSymbolInImage
00000001800d9c34 (__TEXT,__text) external _NSLookupSymbolInModule
00000001800da200 (__TEXT,__text) external _NSModuleForSymbol
00000001800d9ff0 (__TEXT,__text) external _NSNameOfModule
00000001800da1c0 (__TEXT,__text) external _NSNameOfSymbol
00000001800d9ebc (__TEXT,__text) external _NSSymbolDefinitionCountInObjectFileImage
00000001800d9efc (__TEXT,__text) external _NSSymbolDefinitionNameInObjectFileImage
00000001800d9f3c (__TEXT,__text) external _NSSymbolReferenceCountInObjectFileImage
00000001800d9f7c (__TEXT,__text) external _NSSymbolReferenceNameInObjectFileImage
00000001800da050 (__TEXT,__text) external _NSUnLinkModule
00000001800d92d4 (__TEXT,__text) external _NSVersionOfLinkTimeLibrary
00000001800d9410 (__TEXT,__text) external _NSVersionOfRunTimeLibrary
00000001ec79d210 (__DATA_DIRTY,__common) external _NXArgc
00000001ec79d218 (__DATA_DIRTY,__common) external _NXArgv
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
00000001800d8ff0 (__TEXT,__text) external __NSGetExecutablePath
