                 (undefined) external _CGAffineTransformMakeScale (from CoreGraphics)
                 (undefined) external _CGBitmapContextCreate (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetData (from CoreGraphics)
                 (undefined) external _CGColorSpaceCreateWithName (from CoreGraphics)
                 (undefined) external _CGImageGetHeight (from CoreGraphics)
                 (undefined) external _CGImageGetWidth (from CoreGraphics)
                 (undefined) external _CNActionTypeAudioCall (from Contacts)
                 (undefined) external _CNActionTypeMessage (from Contacts)
                 (undefined) external _CNActionTypeVideoCall (from Contacts)
                 (undefined) external _OBJC_CLASS_$_CIContext (from CoreImage)
                 (undefined) external _OBJC_CLASS_$_CIFilter (from CoreImage)
                 (undefined) external _OBJC_CLASS_$_CIImage (from CoreImage)
                 (undefined) external _OBJC_CLASS_$_CNContact (from Contacts)
                 (undefined) external _OBJC_CLASS_$_CNPhoneNumber (from Contacts)
                 (undefined) external _OBJC_CLASS_$_CNUIUserActionDiscoveringEnvironment (from ContactsUICore)
                 (undefined) external _OBJC_CLASS_$_CNUIUserActionListDataSource (from ContactsUICore)
                 (undefined) external _OBJC_CLASS_$_NSColor (from AppKit)
                 (undefined) external _OBJC_CLASS_$_NSImage (from AppKit)
                 (undefined) external _OBJC_CLASS_$_NSLock (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableOrderedSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_OS_dispatch_queue (from libSystem)
                 (undefined) external _OBJC_CLASS_$_OS_os_log (from libSystem)
                 (undefined) external _OBJC_CLASS_$_SABaseCommand (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAUIAppPunchOut (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_TUCallCapabilities (from TelephonyUtilities)
                 (undefined) external _OBJC_CLASS_$_TUCallCenter (from TelephonyUtilities)
                 (undefined) external _OBJC_CLASS_$_TUDialRequest (from TelephonyUtilities)
                 (undefined) external _OBJC_CLASS_$_VNGenerateObjectnessBasedSaliencyImageRequest (from Vision)
                 (undefined) external _OBJC_CLASS_$_VNImageRequestHandler (from Vision)
                 (undefined) external _OBJC_CLASS_$_VNRequest (from Vision)
                 (undefined) external _OBJC_CLASS_$_VNSaliencyImageObservation (from Vision)
0000000299cf3120 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$__TtC14SiriContactsUI37GetContactQuickActionButtonsViewModel
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
0000000299cf3b08 (__AUTH,__data) non-external (was a private external) _OBJC_METACLASS_$__TtC14SiriContactsUI37GetContactQuickActionButtonsViewModel
0000000299cf37c0 (__AUTH,__data) non-external (was a private external) _OBJC_METACLASS_$__TtC14SiriContactsUIP33_EE8D036EF65EE047C0558F6317C12EBB41MockGetContactQuickActionButtonsViewModel
0000000268c3625c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000268c36298 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000268c36298 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000268c36298 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000268c371cc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000268c38e4c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000268c38e6c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000268c38e6c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000268c38e6c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000268c3fcc8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000268c40a2c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000268c47530 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000268c4f6ec (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000268c519ac (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000268c53db4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000268c5fe28 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000268c3626c (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000268c36298 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000268c36298 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000268c36298 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000268c36298 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000268c36298 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000268c38e6c (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000268c396e0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000268c39748 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000268c39748 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
