00007ffa056af97a (__TEXT,__text) non-external +[NFPromise new]
00007ffa056b0ef9 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withError:]
00007ffa056b0d1a (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withValue:]
00007ffa056b0ccd (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withError:]
00007ffa056b0c80 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withValue:]
00007ffa056b0bb6 (__TEXT,__text) non-external +[NFPromise(Firstly) firstly:]
00007ffa056b0c33 (__TEXT,__text) non-external +[NFPromise(Void) asVoid:]
00007ffa056b0be3 (__TEXT,__text) non-external +[NFPromise(Void) asVoid]
00007ffa056b20a1 (__TEXT,__text) non-external +[NFReachability sharedInstance]
00007ffa056adb3f (__TEXT,__text) non-external +[NSError(NFStateMachine) fc_createStateMachineErrorForCode:userInfo:]
00007ffa056af25e (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withData:]
00007ffa056af2ea (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withFile:]
00007ffa056af378 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withData:]
00007ffa056af41f (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withFile:]
00007ffa056b1138 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_compareObject:toObject:]
00007ffa056b10b3 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_object:isEqualToObject:]
00007ffa056b3a8c (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGRect:]
00007ffa056ad7c0 (__TEXT,__text) non-external -[NFArchiver archiveDirectory:toLocation:]
00007ffa056ad9d1 (__TEXT,__text) non-external -[NFArchiver unarchive:toLocation:]
00007ffa056ad65e (__TEXT,__text) non-external -[NFEventManager .cxx_destruct]
00007ffa056acf28 (__TEXT,__text) non-external -[NFEventManager attemptTriggersForCurrentEvent:]
00007ffa056ad64a (__TEXT,__text) non-external -[NFEventManager events]
00007ffa056ac777 (__TEXT,__text) non-external -[NFEventManager fireEvent:]
