00007ffa1db60d30 (__TEXT,__text) external _ARMCompilationCallback
00007ffa1db60d40 (__TEXT,__text) external _ARMCompilationCallbackC
00007ffa1e26fe60 (__TEXT,__text) external _ConvertUTF16toUTF32
00007ffa1e26ff40 (__TEXT,__text) external _ConvertUTF16toUTF8
00007ffa1e26fd70 (__TEXT,__text) external _ConvertUTF32toUTF16
00007ffa1e2700e0 (__TEXT,__text) external _ConvertUTF32toUTF8
00007ffa1e270420 (__TEXT,__text) external _ConvertUTF8toUTF16
00007ffa1e270840 (__TEXT,__text) external _ConvertUTF8toUTF32
00007ffa1e270660 (__TEXT,__text) non-external _ConvertUTF8toUTF32Impl
00007ffa1e270650 (__TEXT,__text) external _ConvertUTF8toUTF32Partial
00007ffa447b3148 (__DATA,__common) external _EnableARMEHABI
00007ffa447b2e88 (__DATA,__common) external _EnableARMLongCalls
00007ffa447b2c10 (__DATA,__common) external _ForceStackAlign
00007ffa1e07d920 (__TEXT,__text) external _LLVMABIAlignmentOfType
00007ffa1e07d8d0 (__TEXT,__text) external _LLVMABISizeOfType
00007ffa1ded5410 (__TEXT,__text) external _LLVMAddAggressiveDCEPass
00007ffa1e0b0d60 (__TEXT,__text) external _LLVMAddAlias
00007ffa1d875dc0 (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00007ffa1e080ea0 (__TEXT,__text) external _LLVMAddAnalysisPasses
00007ffa1d875cd0 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
00007ffa1e0b1400 (__TEXT,__text) external _LLVMAddAttribute
00007ffa1d89f770 (__TEXT,__text) external _LLVMAddBBVectorizePass
00007ffa1ded5a00 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
00007ffa1ded5440 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
00007ffa1e0b28a0 (__TEXT,__text) external _LLVMAddCase
00007ffa1e0b28c0 (__TEXT,__text) external _LLVMAddClause
00007ffa1d875d00 (__TEXT,__text) external _LLVMAddConstantMergePass
00007ffa1ded58e0 (__TEXT,__text) external _LLVMAddConstantPropagationPass
00007ffa1ded5970 (__TEXT,__text) external _LLVMAddCorrelatedValuePropagationPass
