                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _printf (from libSystem)
000000021f1f69b0 (__TEXT,__text) non-external _sbuf_extend
000000021f1f6ac4 (__TEXT,__text) non-external _sbuf_put_byte
000000021f1f66b4 (__TEXT,__text) non-external _sbuf_put_bytes
                 (undefined) external _strlen (from libSystem)
000000021f1f6684 (__TEXT,__text) external _usbuf_bcat
000000021f1f67a8 (__TEXT,__text) external _usbuf_bcpy
000000021f1f67f0 (__TEXT,__text) external _usbuf_cat
000000021f1f6534 (__TEXT,__text) external _usbuf_clear
000000021f1f6508 (__TEXT,__text) external _usbuf_clear_flags
000000021f1f6578 (__TEXT,__text) external _usbuf_count_drain
000000021f1f6838 (__TEXT,__text) external _usbuf_cpy
000000021f1f6d14 (__TEXT,__text) external _usbuf_data
000000021f1f6d44 (__TEXT,__text) external _usbuf_delete
000000021f1f6dac (__TEXT,__text) external _usbuf_done
000000021f1f6594 (__TEXT,__text) external _usbuf_drain
000000021f1f6df0 (__TEXT,__text) external _usbuf_end_section
000000021f1f6c70 (__TEXT,__text) external _usbuf_error
000000021f1f6c78 (__TEXT,__text) external _usbuf_finish
000000021f1f6500 (__TEXT,__text) external _usbuf_get_flags
000000021f1f61b8 (__TEXT,__text) external _usbuf_hexdump
000000021f1f6d1c (__TEXT,__text) external _usbuf_len
000000021f1f6408 (__TEXT,__text) external _usbuf_new
000000021f1f6b6c (__TEXT,__text) external _usbuf_nl_terminate
000000021f1f6a64 (__TEXT,__text) external _usbuf_printf
000000021f1f63ac (__TEXT,__text) external _usbuf_printf_drain
000000021f1f637c (__TEXT,__text) external _usbuf_putbuf
000000021f1f6a90 (__TEXT,__text) external _usbuf_putc
000000021f1f658c (__TEXT,__text) external _usbuf_set_drain
000000021f1f6520 (__TEXT,__text) external _usbuf_set_flags
000000021f1f6550 (__TEXT,__text) external _usbuf_setpos
000000021f1f6db8 (__TEXT,__text) external _usbuf_start_section
000000021f1f6bcc (__TEXT,__text) external _usbuf_trim
000000021f1f6898 (__TEXT,__text) external _usbuf_vprintf
                 (undefined) external _vsnprintf (from libSystem)
