00000001ebe038d0 (__DATA,__data) external _NDR_record
0000000180450aa8 (__TEXT,__text) non-external __Xexception_raise
0000000180450990 (__TEXT,__text) non-external __Xexception_raise_state
0000000180450830 (__TEXT,__text) non-external __Xexception_raise_state_identity
000000018043e898 (__TEXT,__text) external _____sigwait_nocancel
0000000180465d18 (__TEXT,__const) external ____kernelVersionNumber
0000000180465ce0 (__TEXT,__const) external ____kernelVersionString
000000018043e8c4 (__TEXT,__text) external ___abort_with_payload
000000018043a464 (__TEXT,__text) external ___accept
000000018043e8f0 (__TEXT,__text) external ___accept_nocancel
000000018043e91c (__TEXT,__text) external ___access_extended
000000018043e948 (__TEXT,__text) external ___aio_suspend_nocancel
00000001804398c8 (__TEXT,__text) external ___bind
0000000180435990 (__TEXT,__text) external ___bsdthread_create
0000000180433958 (__TEXT,__text) external ___bsdthread_ctl
0000000180437a64 (__TEXT,__text) external ___bsdthread_register
0000000180434a34 (__TEXT,__text) external ___bsdthread_terminate
000000018043e0d8 (__TEXT,__text) external ___carbon_delete
000000018043e974 (__TEXT,__text) external ___channel_get_info
000000018043e9a0 (__TEXT,__text) external ___channel_get_opt
000000018043e9cc (__TEXT,__text) external ___channel_open
000000018043e9f8 (__TEXT,__text) external ___channel_set_opt
000000018043ea24 (__TEXT,__text) external ___channel_sync
00000001804358d8 (__TEXT,__text) external ___chmod
00000001804374fc (__TEXT,__text) external ___chmod_extended
000000018043343c (__TEXT,__text) external ___close_nocancel
000000018043ea50 (__TEXT,__text) external ___coalition
000000018043ea7c (__TEXT,__text) external ___coalition_info
000000018043eaa8 (__TEXT,__text) external ___coalition_ledger
0000000180433ab0 (__TEXT,__text) external ___commpage_gettimeofday
0000000180433ab8 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00000001804360f8 (__TEXT,__text) external ___connect
0000000180435f60 (__TEXT,__text) external ___connect_nocancel
000000018043ead4 (__TEXT,__text) external ___copyfile
000000018043eb00 (__TEXT,__text) external ___crossarch_trap
00000001804326cc (__TEXT,__text) external ___csrctl
00000001804488f8 (__TEXT,__text) external ___darwin_check_fd_set_overflow
000000018043eb2c (__TEXT,__text) external ___debug_syscall_reject
000000018043eb58 (__TEXT,__text) external ___debug_syscall_reject_config
000000018043e104 (__TEXT,__text) external ___delete
0000000180434a08 (__TEXT,__text) external ___disable_threadsignal
00000001804325fc (__TEXT,__text) external ___error
000000018043eb84 (__TEXT,__text) external ___execve
0000000180439308 (__TEXT,__text) external ___exit
00000001804363b4 (__TEXT,__text) external ___fchmod
000000018043760c (__TEXT,__text) external ___fchmod_extended
000000018043277c (__TEXT,__text) external ___fcntl
0000000180435f08 (__TEXT,__text) external ___fcntl_nocancel
0000000180439684 (__TEXT,__text) external ___fork
000000018043ebb0 (__TEXT,__text) external ___fs_snapshot
