00007ffd021bfa8c (__TEXT,__text) non-external +[CSSearchableIndex(PSUAdditions) psu_criticalIndexWithName:protectionClass:bundleIdentifier:]
00007ffd021bfa20 (__TEXT,__text) non-external +[PSUCurrentActivityManager sharedInstance]
00007ffd021bf0b4 (__TEXT,__text) non-external -[PSUCurrentActivityManager _hasLayoutInfo]
00007ffd021bf0bf (__TEXT,__text) non-external -[PSUCurrentActivityManager _isAppVisibleWithBundleId:]
00007ffd021bef88 (__TEXT,__text) non-external -[PSUCurrentActivityManager _visibilityForAppWithBundleId:completionHandler:]
00007ffd021bee9c (__TEXT,__text) non-external -[PSUCurrentActivityManager dealloc]
00007ffd021beecb (__TEXT,__text) non-external -[PSUCurrentActivityManager fetchUserActivityContentIdentifiersForBundleId:completionHandler:]
00007ffd021bee67 (__TEXT,__text) non-external -[PSUCurrentActivityManager init]
00007ffd021bee96 (__TEXT,__text) non-external -[PSUCurrentActivityManager prewarm]
00007ffd021be2c4 (__TEXT,__text) non-external -[PSUIntentMessageHistorySearcher recentMessagesSinceDate:conversationIdentifier:appBundleId:incomingMessageID:limit:options:completionHandler:]
00007ffd021bfef5 (__TEXT,__text) non-external -[PSUModeConfigurationService .cxx_destruct]
00007ffd021bfd92 (__TEXT,__text) non-external -[PSUModeConfigurationService _updateModesWithIntelligentBreakthroughEnabled]
00007ffd021bfcfa (__TEXT,__text) non-external -[PSUModeConfigurationService doesModeHaveIntelligentBreakthroughEnabled:]
00007ffd021bfb95 (__TEXT,__text) non-external -[PSUModeConfigurationService init]
00007ffd021bfce8 (__TEXT,__text) non-external -[PSUModeConfigurationService modeConfigurationService:didReceiveAvailableModesUpdate:]
00007ffd021be10e (__TEXT,__text) non-external -[PSUVIPManager emailVIPAddressesWithCompletion:]
00007ffd021f3d58 (__TEXT,__gcc_except_tab) non-external GCC_except_table36
00007ffd021f3d88 (__TEXT,__gcc_except_tab) non-external GCC_except_table37
00007ffd021f3da8 (__TEXT,__gcc_except_tab) non-external GCC_except_table44
00007ffd021f3dc0 (__TEXT,__gcc_except_tab) non-external GCC_except_table46
00007ffd021f3dd4 (__TEXT,__gcc_except_tab) non-external GCC_except_table47
00007ffd021f3d04 (__TEXT,__gcc_except_tab) non-external GCC_except_table9
