00007ff81edd7e86 (__TEXT,__text) external _MarcoAction
00007ff81edd7e8e (__TEXT,__text) external _MarcoActionWithUserInfo
00007ff81edd7e2e (__TEXT,__text) external _MarcoAddCallMetric
00007ff81edd7e36 (__TEXT,__text) external _MarcoAddCallMetric_Double
00007ff81edd7e3e (__TEXT,__text) external _MarcoAddCallMetric_Float
00007ff81edd7e46 (__TEXT,__text) external _MarcoAddCallMetric_Int
00007ff81edd7e4e (__TEXT,__text) external _MarcoAddCallMetric_Short
00007ff81edd7eb6 (__TEXT,__text) external _MarcoAddLogFile
00007ff81edd7e26 (__TEXT,__text) external _MarcoBeginSession
00007ff81edd7f2e (__TEXT,__text) external _MarcoCanLogMadridMessageBodies
00007ff81edd7f26 (__TEXT,__text) external _MarcoCanLogMadridMessageBodiesCF
00007ff81edd7dda (__TEXT,__text) external _MarcoConnect
00007ff81edd7de5 (__TEXT,__text) external _MarcoDiconnect
00007ff81edd7dca (__TEXT,__text) external _MarcoEndSession
00007ff81edd7e7e (__TEXT,__text) external _MarcoEvent
00007ff81edd7e6e (__TEXT,__text) external _MarcoLog
00007ff81edd7e5e (__TEXT,__text) external _MarcoLogCallInfo
00007ff81edd7f36 (__TEXT,__text) external _MarcoLogLocalPreview
00007ff81edd7f55 (__TEXT,__text) external _MarcoLogLocalPreviewEvent
00007ff81edd7ece (__TEXT,__text) external _MarcoLogMadrid
00007ff81edd7ed6 (__TEXT,__text) external _MarcoLogMadridCF
00007ff81edd7eee (__TEXT,__text) external _MarcoLogMadridCF_V
00007ff81edd7d9a (__TEXT,__text) external _MarcoLogMadridEvent
00007ff81edd7ede (__TEXT,__text) external _MarcoLogMadridEventCF
00007ff81edd7f06 (__TEXT,__text) external _MarcoLogMadridEventCF_V
00007ff81edd7dba (__TEXT,__text) external _MarcoLogMadridLevel
00007ff81edd7ef6 (__TEXT,__text) external _MarcoLogMadridLevelCF_V
00007ff81edd7ebe (__TEXT,__text) external _MarcoLogRegistration
00007ff81edd7da2 (__TEXT,__text) external _MarcoLoggingStringForMessageData
00007ff81edd7e06 (__TEXT,__text) external _MarcoMadridLogLevel
00007ff81edd7e66 (__TEXT,__text) external _MarcoNoteCheckpoint
00007ff81edd7e56 (__TEXT,__text) external _MarcoNoteQuality
00007ff81edd7e96 (__TEXT,__text) external _MarcoPerformSnapshot
00007ff81edd7e76 (__TEXT,__text) external _MarcoPulse
00007ff81edd7ea6 (__TEXT,__text) external _MarcoSetFailureReason
00007ff81edd7e9e (__TEXT,__text) external _MarcoSetInitiator
00007ff81edd7eae (__TEXT,__text) external _MarcoSetRecipient
00007ff81edd7db2 (__TEXT,__text) external _MarcoShouldLog
00007ff81edd7e0e (__TEXT,__text) external _MarcoShouldLogCallMetric
00007ff81edd7dd2 (__TEXT,__text) external _MarcoShouldLogCheckpoints
00007ff81edd7dc2 (__TEXT,__text) external _MarcoShouldLogLocalPreview
00007ff81edd7dfe (__TEXT,__text) external _MarcoShouldLogMadrid
00007ff81edd7f16 (__TEXT,__text) external _MarcoShouldLogMadridCF
00007ff81edd7daa (__TEXT,__text) external _MarcoShouldLogMadridEvent
00007ff81edd7f1e (__TEXT,__text) external _MarcoShouldLogMadridEventCF
00007ff81edd7d8a (__TEXT,__text) external _MarcoShouldLogMadridLevel
00007ff81edd7efe (__TEXT,__text) external _MarcoShouldLogMadridLevelCF
00007ff81edd7e16 (__TEXT,__text) external _MarcoShouldLogQuality
00007ff81edd7df6 (__TEXT,__text) external _MarcoShouldLogRegistration
00007ff81edd7e1e (__TEXT,__text) external _MarcoStartPing
00007ff81edd7df0 (__TEXT,__text) external _MarcoSyncLoggingsPreferences
00007ff81edd7f4a (__TEXT,__text) external _MarcoWarnLocalPreview
00007ff81edd7d92 (__TEXT,__text) external _MarcoWarnMadrid
00007ff81edd7ee6 (__TEXT,__text) external _MarcoWarnMadridCF
00007ff81edd7f0e (__TEXT,__text) external _MarcoWarnMadridCF_V
00007ff81edd7ec6 (__TEXT,__text) external _MarcoWarnRegistration
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
