00007fff77a4468f (__TEXT,__text) external _AAArchiveStreamCancel
00007fff77a44658 (__TEXT,__text) external _AAArchiveStreamClose
00007fff77a52cc1 (__TEXT,__text) external _AAArchiveStreamProcess
00007fff77a4460a (__TEXT,__text) external _AAArchiveStreamReadBlob
00007fff77a445f0 (__TEXT,__text) external _AAArchiveStreamReadHeader
00007fff77a4463e (__TEXT,__text) external _AAArchiveStreamWriteBlob
00007fff77a44624 (__TEXT,__text) external _AAArchiveStreamWriteHeader
00007fff77a45722 (__TEXT,__text) external _AAArchiveStreamWritePathList
00007fff77a76e94 (__TEXT,__text) external _AAByteStreamCancel
00007fff77a76ea9 (__TEXT,__text) external _AAByteStreamClose
00007fff77a76e5c (__TEXT,__text) external _AAByteStreamPRead
00007fff77a76e24 (__TEXT,__text) external _AAByteStreamPWrite
00007fff77a66da7 (__TEXT,__text) external _AAByteStreamProcess
00007fff77a76e40 (__TEXT,__text) external _AAByteStreamRead
00007fff77a76e78 (__TEXT,__text) external _AAByteStreamSeek
00007fff77a76e08 (__TEXT,__text) external _AAByteStreamWrite
00007fff77a5ea25 (__TEXT,__text) external _AAChunkInputStreamOpen
00007fff77a6587e (__TEXT,__text) external _AAChunkOutputStreamOpen
00007fff77a77451 (__TEXT,__text) external _AACompressionOutputStreamOpen
00007fff77a77bbc (__TEXT,__text) external _AACompressionOutputStreamOpenExisting
00007fff77a61f50 (__TEXT,__text) external _AAConvertArchiveOutputStreamOpen
00007fff77a446a4 (__TEXT,__text) external _AACustomArchiveStreamOpen
00007fff77a44728 (__TEXT,__text) external _AACustomArchiveStreamSetCancelProc
00007fff77a4471e (__TEXT,__text) external _AACustomArchiveStreamSetCloseProc
00007fff77a44715 (__TEXT,__text) external _AACustomArchiveStreamSetData
00007fff77a44750 (__TEXT,__text) external _AACustomArchiveStreamSetReadBlobProc
00007fff77a44746 (__TEXT,__text) external _AACustomArchiveStreamSetReadHeaderProc
00007fff77a4473c (__TEXT,__text) external _AACustomArchiveStreamSetWriteBlobProc
00007fff77a44732 (__TEXT,__text) external _AACustomArchiveStreamSetWriteHeaderProc
00007fff77a773ad (__TEXT,__text) external _AACustomByteStreamOpen
00007fff77a77447 (__TEXT,__text) external _AACustomByteStreamSetCancelProc
00007fff77a7740b (__TEXT,__text) external _AACustomByteStreamSetCloseProc
00007fff77a77402 (__TEXT,__text) external _AACustomByteStreamSetData
00007fff77a7741f (__TEXT,__text) external _AACustomByteStreamSetPReadProc
00007fff77a77433 (__TEXT,__text) external _AACustomByteStreamSetPWriteProc
00007fff77a77415 (__TEXT,__text) external _AACustomByteStreamSetReadProc
